ebtodihvjh,pgyumzzmgb,ufmtbwwjke,gnjhqybgrc,iqgauwfzov,pizvpojpse
0.008,-0.2245,-101,0.041,dOg,0.2045
0.472,-382,wejjdwvlgm,wwlhtklera,wlvxvkdbfz,lrltdxdbci
njepduaxbv,-967,452,caT,CaT,cAT
0.4195,nyngmuohph,0.4495,836,-859,tmublhhndi
bkeyrosyrw,-688,ldapbonpri,ybmugprzbo,oiofyeesgm,dOg
-0.2715,greeqyztuv,0.276,ahocticywu,-0.104,-0.3455
CAt,-386,95,692,-0.4555,353
nwcpkmrndd,cAt,-140,0.313,luqyphmxoa,409
730,-0.171,jjieyjylkk,159,-0.084,caT
-472,0.0555,ogkvwtpsjg,0.3195,gkzebiwtyz,xgflzioicw
579,popgihtkrt,caT,642,eeluxkwsry,-320
-330,519,cAt,0.414,-549,qpnifrkqhh
219,617,666,959,623,CAt
-135,lqyhvlplmo,-0.296,rhxtomtdgy,-0.069,rcnzuhvaab
-431,-813,-0.2765,-0.0525,-702,xkmzomqywt
jpuzxfpjpx,-915,Dog,qvgtbclvda,xchgaapnke,eukaoidyyb
-0.0885,794,0.381,-532,316,0.0135
0.0305,gyivuxasjg,-0.4365,0.1785,-0.1905,cat
Cat,azzhwdbxni,-0.0545,0.3785,pkergyjpul,DoG
DOg,lknkkhtqys,cAt,-904,0.229,zqatsmcmev
-0.3615,-887,wyuwujzkid,-336,0.2145,-612
-737,qddpfiryut,rxeqmwtaiy,-379,918,sfeivtivgb
caT,-547,sctbeymbaj,xbpekhlyns,-0.168,whyxgznrdr
-393,phrttwccpr,ufjuafsnwh,doG,CAT,yffmbeqqib
367,-546,0.2835,CaT,71,doG
cAT,scbpacrjkp,CAT,-998,vlpmkacxsf,woxphlwcla
jjiisgadmb,0.47,-198,cAt,lqixpnbptf,-0.499
cat,ixcjpjpqfs,-659,cAT,jzdubdsgnp,-130
853,-0.299,mnucbksime,wzcmuorwnr,0.236,etrkwbutny
-642,caT,65,733,100,DOg
dog,Dog,zilrusmyfr,usaukzamla,-191,-947
Dog,626,-759,0.145,351,577
-126,zsoxhdaego,asokozfbsv,vkyrdmuush,-955,0.332
-378,nhmaracuyq,-218,lbghyohpun,-0.463,jigqkfcngn
933,-0.007,cat,hyamlqakjb,496,pcvydcwvts
0.051,nlgezhwmhr,-989,vxjrfhegss,0.0155,129
kogmzqegzx,957,-549,0.327,525,0.126
wrtrgpbmyp,idwzowpucx,-0.377,0.1605,caT,-943
riwlszgoal,851,eocwdnwown,-0.09,973,-889
qifkepbpuz,dOg,495,pwrklxndeu,bfsvbropzf,441
-0.2055,uavwsmrati,tbmsehmhtg,iovjzzfpst,vbmqmigxyo,0.0515
