okaesjrgqv,mbxpbtasvh,qeabugoxot,vlgxnphnru,uzxjpgwirx,pgwudrgvwx
rxdvlitzzt,trqkupmyxf,biosqnjfrf,DOG,ksohjojbxq,DOG
caT,599,-322,ubhvvtxtcd,hzfsxhdvjr,dOG
dog,924,-0.0905,-812,500,0.3025
Dog,636,DoG,0.278,dOG,doG
-362,gagzbdhiqp,0.1775,-415,-851,nutzzswbbr
ggdrpquued,0.1195,0.44,-247,auztfrgivw,-0.4475
-0.28,-0.456,CAt,-616,-99,0.1335
opgxlstfri,qdfhgjfezz,rhaergbidt,-0.023,-0.2245,sgbguoitri
dog,dOG,-216,-0.0805,-0.464,-0.4895
-525,0.093,-355,0.0945,Dog,-922
syyepttnpo,-0.4315,0.1345,xzloojydrv,kgngeajfqr,zesbkdejyg
-248,0.377,0.3525,bbeeryldoy,bbypqvllpx,-0.376
0.026,rnmvlkkfqj,0.215,dhwbfzilxt,-0.426,-0.28
-0.267,0.026,gecqrzaomz,0.3645,Cat,ulucplzavl
0.443,matmfczrvz,qozaqagbpz,-0.1655,-549,0.4345
Dog,0.414,DOg,-759,-0.039,kayzvpyqqn
davuolrggv,zoprbovtlo,kprnaszanq,-0.1585,-436,oghfnqpsmu
-876,rvbbtzkxdz,khikyaskul,67,vzhvjzhloq,416
295,bkwsibtmcz,-0.193,hqsvgccwfl,-719,pdwmsjxvfv
cAT,-0.0175,-414,0.1815,0.0485,-817
0.353,991,678,-0.417,-811,-943
281,Dog,905,-734,gekpzvolpi,0.1535
906,36,0.052,0.0295,-0.401,-536
-353,iydcvluupc,-286,-0.2955,0.324,0.4485
cAt,-18,-0.397,uxhwdtujuo,mhssgxyeok,-0.2235
0.107,-0.202,dOg,-421,-285,0.4685
365,-518,322,-701,-984,969
203,784,121,-814,CAT,0.218
5,yqfvilvqjy,Cat,nhgdzbltlx,xornjbiojt,595
-263,CAT,-0.2405,-0.303,-137,DoG
CaT,cAt,doG,-412,cbbkrghjqd,0.4105
-0.1055,-0.2085,cat,948,cAt,yngrrbudpd
880,-540,801,-420,czxowxzkdr,amakxivvqu
caT,ljiozljwmi,-309,-485,-0.1305,429
tonrtpuujl,cjjpbrwbem,0.17,-900,0.398,-0.0015
-0.4435,0.088,urjeybtvya,CAT,doG,owycimrxsn
996,-0.478,etwyurjbzm,0.122,japnbrumaq,-629
675,-582,-597,0.189,0.3235,-0.064
dOg,cAT,687,-244,-144,cAT
-0.2585,albdtstcid,0.1895,DoG,0.1165,dOg
cAt,CAt,egbgikmvej,Dog,0.2745,hesvzgyesi
0.353,-877,DoG,DoG,cat,ujbvdwhuqm
0.0615,-0.479,-0.2815,gxybvlbene,gbzaudkqap,zqhcfmbpjw
0.363,fmsdseksoh,cAT,0.0925,wfytkuambn,ldlwbhfdsy
omrsdbrzyw,dijuqhuwxh,ksskeymgyy,-591,dog,nvnuqxtqqn
861,phbbdruybp,doG,371,vfsxulhvgk,DOg
0.452,aknuuddwdz,hhnrwcirdr,-0.1525,caT,889
webhzpgfjl,-603,CAt,dog,Cat,cat
-776,-882,-0.111,-0.003,0.2905,-445
DOG,0.3885,CAT,-542,151,bwsipuhuea
cuzufbmwxu,CAt,0.0725,urlyoylhtv,184,0.07
-717,399,-0.3725,yyygxsjgil,364,-0.3805
108,0.426,663,uxrzmntvqo,-0.072,-0.0405
-171,-0.149,-0.116,etrccxxeyi,-0.2605,-751
-0.4635,-891,175,scllrexcrp,319,-0.0165
-0.1525,dog,Dog,510,dog,752
caT,doG,0.121,530,ugygdohruy,tvchylddpx
cAt,caT,-461,157,-0.006,nfpxhemcqf
283,gdzzdkpmrs,CaT,0.308,cAT,-0.068
cAT,0.19,jwwvzvhryu,cAT,-0.0105,kzcvfwxepi
CAt,DOg,-285,boolubdgvo,zgavykzwir,cAt
64,lyfmzkkntf,yqjrzrilgw,motfyojfki,doG,CAT
-185,mltpcdujpm,342,sxmyueqtlf,0.193,-433
