wwyummmrux,zvtwuvakeg,tkswamtovd,lvlfaaqvou,sclaehipen,jxlgaizjkg,fccdxpzfuw
-0.2815,-0.282,-207,-956,-87,cat,-0.161
jjppbjkeph,tfcwgafsox,azlypnxocm,678,-893,-0.143,0.3845
-0.425,459,-626,bzhzmroedq,-0.3625,brphsixttr,700
DoG,608,yuoczsrtcy,0.2765,tnvdazwmnf,shdynycbmx,abcmihitri
pqjtuupzkm,263,-0.0225,dzuhdezcjx,-889,-183,0.1625
-0.4195,cat,DOG,-793,-0.3285,jaycmysemk,-41
Cat,-555,-74,0.0015,-993,-0.259,CAT
-0.012,-265,hmeugmxxii,-0.318,-17,hmmbzajfwv,-942
nwyjwuuvlt,0.2115,ylvutmfibc,yhsxgpkvlo,-0.488,ajxhwkrsvr,0.233
0.3465,0.291,ykzdghxiay,DOG,0.354,0.488,612
952,7,0.102,CAT,DoG,sxwhqeiatd,DOg
76,760,-0.3375,0.301,0.1445,swwbqkbkkd,wqatwdlaus
-871,-458,doG,998,-434,ywxxjimowl,haimfddito
DoG,CaT,0.4635,-876,-0.3465,cat,DoG
-0.2725,205,0.118,0.4745,-579,-0.1325,0.021
