ujxvpgzumx,sitaogsipg,rkliczwigu,lzmrxkhkey,cgdafkuaei,kdwdnvumvn,oknnsshwjr
onsbkkkuyk,0.0755,qlyptmeaxt,tblgmakvgv,963,0.1835,cAt
yhkxtyjcet,-0.2845,uebcpahmex,661,cAt,dOg,-340
980,0.438,471,-870,quqvourwnd,dog,CAT
CaT,ffukcbvdii,-869,vpchwundtv,qzxuhmrikh,CAT,cAt
-0.477,dOg,CAT,fogwknvxfx,qubztysxmp,0.485,iuqitlwmna
0.296,yenbppzctv,dog,-254,0.1265,-214,zgoxozgdav
cAT,0.3655,jabswlhrkc,-813,-371,0.1685,cbrlrhptql
tggailklll,dbhikbqmkr,-0.27,mwmedsiucy,0.429,-534,dxjfvlokwq
toavmdyedp,0.2015,-0.476,-318,-0.0985,-144,DOG
-292,-825,0.279,nerslmrcbd,208,436,0.007
0.1695,-623,293,390,83,iffnkkcoyn,-376
-780,cAt,-0.446,rucqlaxjpk,qnrjhpyfpv,228,vwfkbgvbio
eiiywreihp,dOG,Cat,oldhirtwhz,-893,DOG,-0.044
-0.1745,0.448,avukhxfgfp,147,jmzsdunddj,-195,DoG
971,ayvzrdoyzm,ixatbyxqtj,-106,-400,pnxjdhfzuj,doG
xrzpxelsbg,-0.3695,-0.3285,-921,wuvhbnhoxx,CaT,-0.201
537,981,-0.4445,mwyvfnlmlb,-186,0.0155,CaT
ysqpiybkgo,212,tmehmxgsbf,nzawrqpbbd,0.0305,tbxvqdqyub,CaT
-0.2245,-0.4705,doG,266,cmtjkktuse,186,Cat
cAt,-0.0055,0.22,cAT,gbokxsaift,-0.152,-824
584,CAT,bhzrhmmbop,-772,motlzdgwhh,-0.4465,-0.1465
-0.4915,806,0.245,0.2985,0.2075,-710,Cat
dog,rgfrstwdlh,-75,-0.1435,Cat,qidexnpqbp,wljecwhslp
qdcnjmrami,-0.162,yslfqovjza,-0.032,oyxjkfrkvg,0.0235,372
-0.3135,udzpogirik,shviilvksh,-919,-0.2725,cAt,CAt
cat,18,964,0.3145,keqlibsfdm,-984,djfckvopck
xuufmnqlxn,vnyknjfzlr,-0.4685,ounlmzgfqi,nmrtvkcduo,0.0715,-0.319
-0.321,-631,-0.4135,-180,0.1105,ffevzhfpxk,-385
640,fudyihunbs,-0.1085,-140,0.0245,420,lntdimpzgf
0.287,0.4695,doG,lqxffzkkws,0.4665,0,-567
DOG,DOG,jscblrnikd,0.4505,-876,596,172
CaT,0.1105,612,96,hmjdobuiek,-882,ewxpbmguuf
-581,-0.2505,0.424,843,-874,dog,Dog
676,-777,qtxktwmeco,-0.422,umabraaryf,38,nhvqgmlkio
zdusherids,-0.302,0.4505,0.1145,-929,oicehnogxu,xzzuzcrfuf
-0.152,-879,-163,ilwgkjbcuj,jahlyoxxwk,0.379,136
931,910,iffujtfqjk,hbaucgocxr,350,-0.4795,Dog
0.348,-262,xhtogritzv,tochavogzg,-544,0.001,dog
882,-694,DoG,0.459,cat,CAT,doG
0.3765,mtkbjrtjqt,0.1285,0.3325,ywzktgvtid,DOG,DoG
lquddosiak,0.3395,0.2825,ubtgnfogpc,0.086,jxrenxuaxc,loejvjhqvn
dgrfgdrrfw,-707,-611,-0.343,mnemqzwlzr,672,caT
hjpddrgxuc,-0.196,541,ovckkdwnty,811,-0.2915,ulxvgyxttb
ypmsekoata,-821,geevvjtlxf,llrqhrsofx,icmufsxrgj,pooevwdcnp,0.1025
-530,0.482,Cat,hvagymcyjg,cAT,-506,-0.0285
835,0.489,yjxbiwnqja,qwzbnkycug,trnmtjiefy,95,-118
efsusprbos,DOG,CAt,-0.2935,rcewgbtgup,0.327,pibyakgnfi
