dsyyohvwwo,ltziegjpaq,fuggxjvrib,rrgmzpcvbe,jbbbkbxtsd,pet,jwneupacis
-0.104,zxodigaeny,bterwhzodb,cAT,xfmekpcnmm,CaT,-83
-0.4205,-862,bffdjrdrac,DOG,0.0175,caT,-0.054
-0.3395,890,CAT,-256,-0.1475,cAT,0.058
-0.063,-0.423,519,714,csqqzgvmyg,CAt,cAt
hjzxcwgcrg,717,0.2845,DoG,0.0395,caT,-652
ttxakswvit,0.124,qxenjkwopy,-655,evwimhjdnb,DoG,302
206,0.0345,DOG,dOG,0.286,CAt,-0.093
0.371,0.3185,ciakxahwyu,DOG,hsbtbjkmht,CAT,ulnmddctdv
khujzlnpig,182,832,dog,neevcakaat,dog,DoG
0.4445,904,-0.165,0.1175,336,Dog,0.273
-0.369,-0.0545,337,dog,523,cAt,-283
-579,lrjlnzybvq,pqyhisdgpk,CAt,0.3805,DOG,-0.158
-734,kweoiixvur,0.032,-0.1365,DOg,Cat,CaT
-998,caT,-38,-544,djxyzefgmx,DoG,-286
0.081,761,-0.444,-353,0.28,cqvzodatdn,-263
0.469,0.478,981,yjhrgdtcoh,hefflssuka,dOG,cAT
cAT,326,pkcnyhdycp,-0.2495,DOg,Dog,cAT
fozjrdxcvb,762,DOG,-906,DOg,-422,0.331
DoG,359,-0.2445,521,-0.0545,xwbvnozijq,-111
451,983,-773,-493,mggpgfsubj,DOg,-250
77,CaT,htijipipns,ttfdcjszin,bjnqfahtuf,DOG,mnfzlutvgj
-0.401,513,-0.1325,852,pmfqjfeudj,dOG,826
DoG,eqgeuucpnw,-0.4205,-0.364,-920,CAt,htzoxjsbxf
hvfxnewxly,CaT,CAt,-0.49,0.3045,-0.2885,-0.464
-414,-0.339,0.1795,mvsalrqovo,0.0625,dOg,caT
-0.2405,uzplzsiykv,azklbozmnv,681,fjmotgttvz,CAT,-125
yykxzrpjzv,-0.452,vxkfvkshqd,-805,-997,CAT,-425
0.2825,Dog,yrtniudgdi,-731,-0.007,DOG,cdzlyqdxkd
-0.374,302,wugwgpsitf,omsvwfttmh,-0.211,0.3775,1000
-240,-813,cddwidflhq,0.441,754,DOg,48
-242,0.2785,611,fzmymnoewe,tjyufmmxvw,yrewldcwhb,-0.2305
-816,-767,0.3915,-828,pcodygmxhr,dOg,0.239
437,-239,itmrrpmdha,471,-27,-984,226
rkplkptkia,DOG,asktbhoocj,caT,0.3415,CaT,tlpskorceg
Dog,CaT,cAt,969,-0.1185,jktvnwvhkw,0.18
266,567,zjsmcqppxt,lvhgqvlzdx,bzbdtckzxr,CaT,doG
417,-0.0115,0.169,qgzzogqjsf,-908,CAt,-0.3125
14,wlbthfpute,0.1405,kegoliercl,lnxzozlpxb,dOg,dOg
tkavkryyqf,cAT,ajmhgusnrb,wvqvsdfcel,rbwzrxnbyd,Cat,-887
ybzgtjyowa,-0.3065,0.164,cat,ocefnwzjfm,734,-0.3855
sorhdjhkyb,0.222,-787,-26,-0.106,caT,550
603,DOg,odphxaparu,tbmohrojhh,-0.3135,caT,-0.118
-0.1215,DOG,0.1235,46,doG,cvqgdnulbo,doG
-0.4705,0.1695,pkgcmmiddq,pfxmugrcqt,-746,cat,930
990,-0.319,-0.2235,-0.3195,249,DoG,bxgvcphyac
dOG,-272,-0.3635,pefspjscbj,799,nklrnyrdtb,dOG
