tyadrfvyje,ddaegvvgpr,qgzvfaqebx,ljhhjjypnz,ofissrdtpi,boueqgiykc,hljxgxyulg
668,gpemrkylgw,dog,-0.364,-250,ukgjezmwug,977
-0.127,0.4775,0.2985,terobepezk,jnyhbqqraf,154,606
DOG,-0.0965,789,maquadngcg,Dog,0.2875,pszfrpevph
726,kxhqbhkbzv,0.4135,-0.0495,-97,DOg,-0.3355
Cat,fmnmmeyznh,-0.3335,dog,-478,Cat,-2
DoG,0.1845,dOg,0.429,dog,DOG,DOg
wtirtiyzlg,656,iiawfvzcob,198,-0.134,yasneswlqu,-0.318
lwnwjqtfnt,etadwxxoig,310,-0.442,0.0385,dkbfcptkbi,drqvqwfwfq
0.4395,-0.1025,CAt,jampclvzef,CaT,nwtcnxinea,302
242,-0.054,jhczizaqrv,0.1835,-470,caT,870
hjepqjbkwk,0.163,-887,-416,-0.466,emgblmnuff,omhllcmbjc
dog,-321,xiscnyolgq,bzsasjhcqi,pvrwvhrbor,893,172
-0.4265,0.046,grwxwzjlru,0.3075,dfbnjsbsdj,202,Dog
785,DOG,tcyixmobsc,-650,2,cwgwagcfcx,vylfyrrrag
-860,caT,btxgxbnfbt,DOG,dog,-222,572
-0.4585,0.04,umiwmdnlfn,-52,-53,407,-0.3105
azxssxqyeq,dkdkczejci,gxoqhjmlft,0.14,-364,-922,cakxtjskiw
276,-723,-626,-0.3845,0.148,cAt,450
zvsaqcptgh,zoknfwwvih,DOG,0.049,aezcdnjosj,-622,Cat
cat,-365,-0.324,376,caT,616,0.2955
cat,doG,-0.2855,-0.3795,phlucyswaq,0.0195,Cat
caT,0.055,0.0045,tdhkneaeyn,cat,myjyjwvvdg,-583
0.4645,0.184,qunokvpbxh,0.3425,-0.2255,-770,-0.106
-0.2565,claklpkrry,DOG,DOg,-762,-635,887
-971,gylkfqqehv,967,502,caT,uvezanmmdf,CaT
bvslccdrlw,DOg,-0.315,DOg,cat,0.402,0.2565
exsfsdwymm,0.23,969,549,-0.245,-0.001,dog
-0.213,wlqozinony,-307,ljjsgpjbfm,-451,DOG,Cat
389,287,-0.056,-118,DOG,dOG,CAt
zktbgteupg,CAt,0.4425,0.121,-987,zmbstsraxi,ckbkxlgdnp
atmbvcqpjv,eahcblbolw,-73,gwxgnfdfol,kljtfznnce,dOg,dog
0.202,CAt,ccizhjneia,doG,-390,cAT,0.406
-0.1595,-0.1525,-628,cAT,0.1775,505,dgyxhvzriy
Dog,hldplugnwf,-463,DOG,doG,-896,ktcifhehyh
-0.4355,0.252,aujmvcgxfl,0.173,hpcgpuseqt,-0.224,hpvxdzgefh
rxwookfrkn,Dog,vhfykgymfz,0.39,-0.146,164,ymnsqiylmn
-0.46,433,DoG,-0.242,xocegbpnqu,-0.321,dOG
-588,wcgeomtrxj,Cat,spwdtvaodp,-944,0.4275,-0.0505
doG,ynoslusezd,lscfctiuou,-0.321,-0.1125,0.057,0.088
0.1305,xyejakgfqy,-0.3465,0.0915,-880,-0.0385,dOg
-89,vshyerhpxg,-318,24,-0.0895,-866,-677
892,-0.0495,cjngdkzfjb,0.4775,974,390,CAT
-427,qmomlcovef,-0.374,opvxdxbcpt,gvlddnpbun,-0.04,-279
vweiktuvwy,120,DoG,0.0565,jkfmgoxkov,wjevscxphn,-996
-0.1165,-641,jhfgtwjbcn,0.299,dog,-0.2615,CaT
0.0945,-395,0.325,-215,izikfbrwqe,614,0.112
786,dog,701,Cat,-286,324,ivrbnevebj
doG,-851,ssxawknrii,-61,tmwldcqsyu,-0.051,-0.163
amhktdnlxr,nmnyurblgk,vortmcufrc,CAt,0.451,gymmzldjgb,CaT
cat,-658,-132,DOG,rxziurqxzd,mvhzxlpghq,jpgzdpgmsb
0.361,0.441,kyvsqhzqpz,pbqvhsmctu,0.1825,sehfmtzbav,-0.0685
okvntroijn,-0.4945,wfaxgrvjta,axusnjsxja,cat,CAt,998
cAt,cggpqfdqrc,-0.4465,-799,caT,peuwvysefe,-0.485
-444,-315,huzezzjlbo,0.0545,yqiistqzkz,rvjznsiyvd,huozscbyyp
yfeeojmetx,qbdizwrlmo,121,DOG,774,cAt,pvswgbrvrs
-53,xgfnhpelck,ahjuzsarxq,-109,-0.181,cAt,-0.397
-0.1765,0.2795,caT,cAT,bhaltrchdl,xmmuyflnvk,0.126
0.458,-449,xnittkmuqa,-0.404,-691,884,221
0.1545,kuibtofwpt,wzbjlkbqnp,txnjatsgmf,0.0095,DOG,-0.4595
cAt,911,0.395,DOg,joqgiqrmja,-0.473,DoG
