vsiqldptrj,PET,ophiekxgak,emctwfomie,aqvfbdepla,tlvnxsmjlw
764,jxlugptbsr,864,edxequnykk,-0.1435,tnwopuytdq
swzjdebfgk,cAT,-0.328,0.454,doG,guwgvkbovp
CaT,CAt,xevejtvull,-0.2335,0.3625,xhznxopuwf
493,Cat,sctyuvftoy,0.353,-773,dOG
CAT,0.1905,bkznhikefu,dOg,-761,-551
969,dog,-575,cat,vnrcwligrm,rrldfwbhru
znmkfkotkh,Cat,tptgnegxou,0.441,nahhhcnlwo,-0.134
DoG,dog,-0.0415,hclkrjapcf,211,-389
qlbgbdqfwk,DOg,fcozqxojpw,lxhfvaevcn,hpsbucljwv,dOg
0.3405,dog,-0.1585,kbabfkfvct,dOG,epilrvfjdm
hukdtvdbcw,czksllporx,0.3245,-0.1345,-0.2855,CAt
Dog,dOg,dOG,-460,0.243,doG
-194,cAt,tgqvtptwdn,cat,caT,caT
0.1315,CAT,0.4695,0.282,-0.3445,cAT
-0.345,cnvixmjlzo,-348,aumbyzhbod,637,qpikmgkyjd
isrwhsxszp,0.4965,-741,zcuhomzxxz,iiegdujvwa,-0.0235
832,DOg,dfbsivzcmb,0.417,CAT,CaT
ryvhbonpge,CaT,0.4965,-0.3945,599,lptfpxgejm
0.0765,Dog,ktwirlmhri,-810,-0.1735,857
pvarcrjoyo,cat,dwigzgjeqo,ishmejohou,cAT,77
ibjvkjzzuo,Dog,-0.1505,-0.1485,0.4095,0.236
-0.4675,DOg,-0.1515,jhngauyiby,-0.43,0.4415
-0.4375,dOg,CAt,-0.466,DoG,xpelxswrgv
bjctwhcdht,dOg,0.0535,ggvqmltuqq,0.4855,fpfngktlxn
cAt,DOG,dynnclvzge,0.3655,0.0455,0.4095
-133,doG,-212,dog,750,hvbfpuurmd
0.2355,hldnbwsumr,161,cAT,-971,CAt
dOg,dog,-0.4355,393,0.241,0.471
0.445,CAT,qmhpcxhlam,0.029,-0.2745,DoG
-0.2125,doG,221,872,rlfxizzncp,thqgaezgro
DOg,CaT,dOg,374,ybeqndqrmr,sbzoglamuh
-0.2685,dOG,aeehazkfwd,CAt,-0.012,dOG
fcljvclgpb,Cat,0.1425,-652,awoalqkoti,-799
-0.467,sjrvdqehwi,-290,CAt,DOg,-846
111,-383,850,-188,kcpyiwjbyn,572
DoG,DOG,ojnbibbjiy,183,-0.485,bkpzjyxpva
zsdvkqryiu,DoG,229,-0.2715,0.298,CAT
Cat,DOg,29,-392,CaT,dulvetkqui
0.105,qguoekhgre,pldrvjilad,-0.224,0.1025,-0.2515
0.0435,DoG,300,jwqabdegee,993,581
-0.4275,-29,oboeftjmiw,416,rfstupcbdu,tsxpysnnfj
0.122,CAT,-0.4005,-0.1135,cAT,wftqyhkrbj
dOG,cat,-54,dOg,aotxmouqra,-0.3795
DOG,dog,-317,CAT,tgadhtiswz,coykfqypuj
707,DOG,118,0.191,caT,DOg
-0.365,-253,-75,0.2405,-350,tbojvmqnuh
574,CAT,-611,937,0.0185,Dog
CaT,-541,0.0015,0.3295,encayouiav,619
CAT,Cat,DoG,-0.0845,-624,bqpfmytddq
dzbqorlajc,-541,161,Cat,mmvzddobot,imkpsznldu
CAT,0.048,700,0.2215,yqkwvddlhi,-0.2915
-214,0.118,247,pdvyffbehz,cAt,180
917,CaT,774,losdunddmu,uffngonuup,-0.1545
icbmaksufe,cAt,vhjusioqxx,fmrxzycslt,-0.462,ejsyexykdz
0.175,cat,0.4495,dog,-0.15,DoG
