pet,jlhgyewaht,usbdomtsqs,oxmpmgxuir,hgypxtcemv,ilgqdsujrn,yuzddpsbfi
CAt,395,lykljtnwro,45,ytcfclhgxh,-280,zeewvvyzuu
dOg,516,ecxdgljrkn,0.0215,-305,cat,pvgowtszkw
cAT,DoG,-870,cyyigxkxuz,DoG,DoG,-409
doG,dog,seedzixmic,Dog,-0.24,hyojxiddcr,328
caT,oyrcxiijdk,645,-524,802,CAt,0.4935
Dog,67,-0.0095,0.4545,-670,606,DOg
Dog,-0.3305,mxmbrovwvq,dyvxayjflh,xqqxmgfvjn,uqdzdnyksu,aqxkwupyju
cAT,-670,-264,aigdnvuszj,7,0.061,xrwjxuggbk
dOG,0.3595,Cat,0.067,386,-0.121,-0.2925
DoG,0.019,0.3535,caT,jmvzzjklby,-954,jokqzmfzja
cat,-548,wiykglfpmg,nrnysxufzt,DOG,0.419,Dog
jgjgvbgerr,-0.248,-148,fpcrvarqni,0.266,-104,ihetryhyec
wuldtmzmyy,-0.336,718,0.4025,dOg,fqonrnxcwq,-0.0835
cat,551,-664,0.3065,tklghpxdvq,0.1245,xoropeewks
dOg,-541,caT,dOg,nkmpuclpxy,-0.036,hfymszqoyf
DOg,-0.194,947,0.0655,122,-932,0.262
caT,-888,0.005,dOg,0.156,DoG,mjlfkipgig
DOg,0.0905,0,0.493,-0.432,CAT,-218
doG,DoG,-653,-234,Dog,0.089,-0.472
0.494,-0.0905,-0.4745,0.017,0.3875,doG,713
CAt,jlsqvflleb,foxwcsnabg,341,325,CaT,-0.078
DOG,nkuxcbigwd,uasikfbpvs,cngyucqedb,789,0.344,hgivhtigjp
cAT,533,123,xfxiosmzwk,0.452,dOg,nvqzihmxjd
cat,926,dog,-0.3895,405,0.0135,caT
cat,doG,suttjclmlj,gvdjdcfiep,berbglitcx,-0.4245,0.056
DOg,332,911,-817,0.207,-0.3685,695
cat,DOG,suefpqxpoa,0.35,xvupdklrrg,rgttqfcoex,fjbirlxjwy
DoG,xtayiyhfaa,-0.182,-0.0335,0.478,-744,-0.0665
CAT,ygzhzdoasx,dog,919,0.495,kpcfturvsb,izygiquxgj
Dog,CaT,48,0.4,-554,orcaoambdm,34
CAt,uaefrllkxn,-0.237,-0.174,CaT,-23,coenklczpn
-0.124,690,CAt,qjdrejweaj,tzqorcutlc,-351,Dog
DOg,320,ayutjdjclr,dtftqqnjvi,-0.1065,-0.1165,cAt
626,cat,-976,-718,cAt,-0.36,0.47
-0.0015,464,DoG,87,jefidlbevo,-0.0985,cAt
564,-0.3585,gftnuoumtz,112,0.4765,odvgiuuaab,xsrptgtbsj
caT,725,-79,0.306,0.4475,0.0395,0.3465
dOg,-81,-218,971,0.092,148,-0.105
0.02,0.0485,xydihnqbrq,0.414,DOG,cat,wmmieivadx
CaT,782,-0.23,-0.039,-0.443,drqxcilefj,704
