sgdavcmccn,sxjadggdkk,xioufxgoir,pkvcnamoyr,wtjblrjefn,bvoypyixcb,gtydoawrzn
cAt,dog,fvagpwzccx,-0.376,-880,laxworzayp,583
144,-443,-0.119,465,rsilcdzqih,-533,Cat
-117,0.1945,985,cat,zecrawflml,-452,vfcyoqztay
cat,CAT,qrtrzezgyj,qvfqgyqhuz,54,-0.12,-0.413
dog,0.0335,-855,DOg,cAt,cAT,-0.4855
Cat,zfjzmlqfvi,0.2425,-284,cAT,dOG,mzorcmkoce
cepqmoiltl,doG,cAT,qpfwjxsfvd,0.2125,-438,cnlxzzlpsm
-0.4245,0.3145,-0.291,-0.434,-794,454,CAt
CAT,rcjreoyope,sdtmnjwfvg,0.1045,-422,-0.0165,0.4175
-0.292,-67,368,gwtxhlymzn,qmkrnttgkv,-0.4985,992
0.277,0.2335,DOG,-252,-563,0.219,0.301
0.456,nacskytpvr,-0.4435,284,-774,wqfvcezmbe,509
0.4165,-0.394,lwowegeyih,jjtjjkaeil,dcdeuefpgu,-0.461,-0.1695
-0.338,cAt,-0.314,-0.0015,-0.4715,yyaifvisft,436
906,-148,-0.0225,0.473,-0.0195,846,780
0.4575,qkcrdvqxpq,dOg,0.1425,psendcxocm,bcjocnxjzh,-0.352
0.059,0.3575,491,0.3625,-871,-760,wpqsoxmyjz
-0.336,CaT,778,0.0245,0.136,-0.045,0.191
-295,-0.318,0.1035,caT,-333,0.2705,nbfarmmntb
inshehhejk,952,hpznrnegrs,550,sykquepeyi,515,-0.21
0.139,46,dcjqwhpwop,kmwgebblik,Dog,-0.11,0.1645
0.2905,-154,0.311,258,-0.495,-0.2615,904
Cat,133,CaT,wznnijxelb,-0.136,-160,cAt
sifykpkore,-145,jrdixthfnd,-0.2325,624,0.236,630
tzpadgryri,0.161,0.1445,-0.2045,-36,418,sjtsrblacl
yigiphkvoh,0.397,-191,-654,Cat,ogloefilkh,0.077
0.4655,-0.0135,CAT,omyptsrfeh,-165,0.301,DOG
caT,coqsmfgdub,0.053,dxkmpzdtva,plxmbaawlx,kgvbirnmgh,doG
-0.423,591,uezjpcvenc,0.107,maokrapsbk,ssylmizohw,394
zpqhzzmumc,270,416,-0.378,-0.4955,CAt,219
0.419,dog,0.325,-645,-964,rplnacdfiw,lmvvlbkgqa
-102,-228,cAT,lsftagjqol,-0.0135,cAt,jkcfpydzei
0.2755,gblvahwxze,-99,krfajnbibo,781,-401,380
dOG,0.0625,212,-0.021,qlevgwpeub,dog,257
kpkiceneqz,izdouzvgds,hsngjipuso,iiuxuanxsv,0.4665,jsuajikkvo,0.2795
mtsnwefqkk,-0.307,utwbpcilfw,-0.073,-0.289,jnejabuiuf,dOg
-956,cywjgdujlj,vrecisqfje,CAt,-668,-975,0.1495
-0.327,CAt,mealgpkjyp,pannmbuaov,0.3255,216,-707
caT,0.1885,734,cat,ahmxbyzfya,-290,401
kmlpucxghl,caT,DOG,0.3605,volscrrpob,yvfgycvebl,nxphfddtfi
awqgxlohpb,-346,frdkvlirxc,jprfwwcrrl,459,kiyjupwmso,-0.44
vuawyxozzd,-624,0.3815,359,gpodnlojex,0.1625,0.2945
-508,cquhhkdnek,qacogghzug,0.0135,0.0805,xswhvbgoez,539
