bubdicpwcc,kzarizksds,fjkgclnzue,gdmvghinhc,dvjuweyxqn,vbwrzonqcs
hxtyaoccwe,938,0.453,ykgykbkoxb,CAt,340
-798,-644,865,frazlrfali,ecyggwtzex,797
weietavhyz,-597,-746,0.1055,tnkywfcxuu,0.477
cat,844,0.1775,-0.3785,-0.0845,ccjvbcefch
tobteuxzby,psxjhmotqd,ideltdtxky,dOG,-771,utxcizwktm
dOg,pxaetxvbwo,0.306,Cat,-768,-714
0.3395,-0.2895,etmaokfqnt,grjhblcaso,0.0145,Cat
qjhanavfqk,0.1745,-122,occrnvpxtj,689,97
CAT,jfpwrlypkr,10,ikqjcujcwg,rqpyzbrtyb,-499
-0.1145,0.415,-0.4955,guezjmeuvw,timmyzlxij,-620
0.09,827,0.017,-677,lhwabsknra,-791
nnlucaciqo,CaT,-566,hoinusztwx,561,gzbadisdzn
-702,110,-0.4125,0.265,0.401,-0.0765
333,0.124,smgzzeppdg,-0.1055,-19,dOg
Dog,ytqopzmwih,-0.097,-0.4535,-376,726
-0.045,yqnonjzusy,bdchnjwysk,-0.198,zktdvfjonm,-0.1675
0.285,lrcoxpiqkl,-973,0.084,-19,-358
cAT,DOG,-0.0905,-0.1585,612,Dog
-0.358,-772,0.101,-0.0595,-110,-711
zprgdtggwu,gnvjfqplgk,caT,CaT,yrrmjrlkfb,ykottlzwth
-0.1075,-513,-537,-0.2135,371,lpmdzkwptz
-0.091,dOG,jwsrypygqz,0.1785,huotmwmkro,cAT
Cat,-907,yfujsukpon,623,nstlqspjij,cAt
niaheybiyn,-800,-749,-370,-632,-0.441
ylafsvzjqo,-8,ibceioeyjp,761,811,-0.141
ghdiqcyxfj,-0.445,-0.4055,sbalpubumx,cgiqoqccyb,-747
jonddnfwce,-0.1495,0.303,-0.1805,hyfacbjtgx,-0.2805
-0.295,DoG,DOg,hyvcqjtaht,jigsktneah,sdwvrqevjw
rypimmpxgd,425,dlfaqqlbzg,876,DOG,bhkuqlsyiu
906,-146,535,76,-0.4845,eutzjtqowp
696,yvoblkdxly,qwlhancvfv,gvqdwpklwy,yfjlgwcvug,-0.232
568,doG,865,dOg,grvlhinycx,DOG
55,-0.3525,0.494,77,-0.1575,0.083
ircajlwbkt,caT,-0.032,948,caT,-884
lpdvufswdn,fscsgfojax,sulmnazbvk,-160,-0.1615,hoppujducd
-0.0165,0.2865,cAT,-564,zuddefoudy,CAT
ezfpztwvfe,-0.4415,DOg,bjcxlaqzbx,-0.464,-0.082
-0.2835,xmakghpmuf,dOg,-691,0.2905,-40
caalitzdnj,yyzphzlxzz,ntantjtype,-0.0165,cAt,dcbpfxafbf
0.3,965,-0.0885,972,786,DOg
Dog,879,0.302,gwjgsimipu,ftzcwsrmjk,0.0175
192,0.0145,-395,jwxyiicidm,ezmvdfdsal,0.1255
-0.182,0.291,398,-846,0.0415,CAt
tlwrbmprbi,986,leqcfpcrvg,cesqcxfzst,640,475
ofqjeilkxl,ylpazwkwse,0.2835,256,-0.418,0.1815
doG,dog,-640,-0.079,0.002,dOG
pmxfdngxpn,-199,19,346,-460,nbqucyigza
183,CAt,rulcgsavqf,-714,0.168,-0.2185
-402,239,cAT,Dog,-55,caqqfuakpf
450,314,0.346,-555,0.3125,pkkdykgfop
-17,CaT,wizquohhia,-0.2105,CAT,483
-0.109,rbrmwnvssy,onthicerja,CaT,-625,-0.3075
onvaxwcsdk,qecnbeectw,61,ekgbgccqea,0.126,28
