jfjrmjzcct,PEt,wpzmqoenlq,jmljpendwc,gdnnqjlxaw,ssszdsxeut
qtdmwpygiw,cAt,dOg,doG,0.084,CAT
meeoiybwyz,doG,-0.3315,772,-0.312,pzolfqeauf
juqxugmwvn,DoG,dOG,zlkvdehqlm,tiamrmomnu,-0.0835
smpgegbypd,0.316,-419,0.253,890,nsrtwrgpkc
euamypftoz,497,anzmwcxmnl,-769,aviylyggkb,-0.0465
0.0085,cAT,asymrpfjcz,-580,-0.143,270
hixemlmwdu,uxbvbdrimm,wulmirjpah,0.2565,wiuuzhupoi,-389
kaobezsfly,517,dtlrpyllvn,CAT,dOG,-748
0.123,CAt,134,neguhhhjbv,CAt,unazfdnphe
-672,cAt,cAt,0.3845,Cat,hdbohlnyys
-947,Dog,779,0.011,-0.0875,sehbfbtuxh
sohpgfzbqs,pzqjxcbxvo,tghatpunmh,gspkebdntu,906,qwpeetgrjb
ankwjdlcph,Cat,-102,tlncfukhgq,119,xdisuxbvwc
CaT,dOg,526,dOg,-0.1955,197
-103,dOG,Dog,wdfdakunng,zecgwwegka,-54
qdvbuvgfpt,CaT,-98,0.123,cAT,iigvszcecp
CAT,cat,-0.121,0.211,-14,-0.276
823,CaT,0.3985,508,0.4195,qnyklwajdk
Cat,dOg,406,ilragtlcmp,dOG,-0.1895
0.436,DOg,992,dOg,-0.2075,-0.0945
CaT,CAT,-0.104,-871,-0.337,rlbzjoaqrq
0.347,dOG,-0.2715,caT,CaT,-0.2765
-0.3295,knsefoaaua,ohixnwfbyz,cat,0.224,doG
nfvocimxqn,DoG,cAt,-511,242,Cat
tbvbagegyj,cAT,kxpsvfrrfo,eixrraafvy,cAt,DOg
0.24,DoG,CaT,dog,-0.3895,-0.45
dOG,DOg,-700,CAt,xswofeuevs,caT
-486,-0.1025,denlnavgie,-0.337,-49,-0.343
-299,cAT,-808,CAT,-805,leofnbpixp
0.288,764,97,duzzupitfq,-0.472,CAt
DOG,0.2,-0.448,0.3725,DoG,0.399
-685,151,CaT,caT,522,-259
DoG,cAT,shtxqegzdk,-431,0.3995,-0.309
