necbyklnxg,pnkxvmfcly,ixutktisxp,ofjmizbjhx,xvdssbqeop,dpdwntrpcm,sobpyqjsvk
998,pgcouimpcw,-0.0995,468,dog,-0.241,540
385,545,archdatwff,139,-0.3715,-693,lkcwyjiazj
-496,-744,0.2285,299,CAT,-0.389,ffflfmnnoa
jdjesausye,DOg,-0.458,0.025,246,0.4795,355
0.4555,pomxbvurdx,cAT,-0.114,bfdpjusvtz,dog,-0.4985
dOG,-528,513,345,-0.025,rkyepvlamp,-0.4255
jarbvrgljv,clrohnthvh,0.034,cAT,0.337,656,kmmwnctxjw
625,-0.384,CAt,ziyhntptdk,doG,6,-0.353
iahvafeekx,-0.0755,161,-463,Dog,0.1005,-0.149
0.183,CaT,CAT,-0.045,254,-0.024,0.3965
ytlxaoohhf,633,tzylcpbkka,doG,xuvbvhohwh,fjvqwgvvwt,CAt
nkfoyfkygx,tkqusiypyl,cAt,CAt,-407,945,0.3745
-0.067,yefvcpkcem,21,dOg,-0.107,349,yhndoxrmjd
CAT,-0.4115,314,-0.265,-0.2005,-525,qipknvodyf
0.2375,bztebrwhcl,sbkvrtxxtu,wpdivdajox,-0.0765,mfczpoityx,390
-233,CAT,-0.066,636,-0.137,CAT,0.1945
-259,557,-819,73,rssrisrprb,-363,0.313
-515,-0.0395,-0.1895,nizpstfkmb,-0.183,tosiygepot,-847
-0.4945,-0.2075,mzfpzsijqc,898,lhrixszgfr,-158,DOg
CaT,ukgxuxwhwk,-767,-0.111,105,-23,hxsoentdyo
0.2205,-220,zwzkhkhmfo,-372,0.3765,-5,xavrzbhfxa
lakzwrpufe,eijkvlnbcd,dog,504,0.475,doG,nvoimxsjdb
-590,-0.1885,CAT,elflskzxos,887,-73,824
-0.489,dxpbdmzqmf,-0.381,-0.117,ryxywewtcg,DoG,abixssakia
DOg,-317,0.0805,-0.173,543,-0.2965,xtuvwaswmf
0.297,-654,jjupqltyzo,0.008,-497,zfkhlbsixe,-959
cadattyevh,-0.1885,-0.155,CAt,dog,zualxgysao,978
453,588,dOG,nlcpoiztwv,0.0085,574,-0.058
0.119,-0.1965,cAT,466,vlpyhgstpe,bfdeodcstv,285
fnbhspnfhh,-0.4645,403,rvfozdqaay,glblgwiemq,-0.379,-0.269
-856,0.4865,-312,0.327,ndayncjkdb,7,0.3495
565,epgwepagkn,dtsfvbqoew,0.097,0.1175,kglfhyhdfj,0.0015
kezhhnntnc,952,tgstyeyzno,Dog,0.1905,djqlcdcvoz,0.3935
881,0.125,gvgxmuhnec,804,-182,bzhoadktsl,-0.3645
qeetljhbtl,386,437,-680,589,CAt,DoG
316,CAT,0.458,0.1345,-0.146,-509,ftzhdxipxg
0.123,bgvqtzmezk,5,0.3095,0.1535,aslhfhpaze,602
-0.3955,imvnlhqypk,667,-392,kvhwknjmlf,doG,gkhnfkbzoq
-0.1485,609,lmdyjqckcy,-818,-0.1885,pjkhlupfeh,dOG
