gzjtuuxity,peT,bdwidpcxez,eicyqepuxc,mygplrolak,glyoytbryv
mtlikokeyi,CaT,-0.3,-0.43,-0.035,0.061
rchnhymlgj,cat,-0.272,CaT,zlbhsaajxe,DoG
-0.3365,doG,0.317,-801,cat,306
dOg,DOg,xwuohadxdr,-0.049,-761,-0.262
-426,aduhhhmnme,393,cAt,517,-144
kccnkpsegh,caT,-480,zrsoyagnej,-0.2965,0.1775
uelddgybfz,dOG,0.33,-0.305,0.023,cAt
-0.386,DOg,rbqmaycscb,hezgerhyym,250,0.358
vsbqnfdsak,dOG,ghgwctcteh,924,0.103,buktskdink
lyocqxdofa,544,0.0035,kdmiujqbqq,882,255
DoG,cAt,lckviywdul,0.0875,-184,478
xjexwwobyr,Cat,tpsvpuszue,Cat,-410,-0.3815
gdibqylhux,CAT,254,-0.127,0.073,267
0.449,dOg,489,oivfafmjbp,-0.162,DoG
209,cat,0.2905,ihjclwiobu,0.281,vkbfvavede
425,-545,fhthmjgbnr,-0.2805,outmerupqi,caT
pqncvwerzz,114,424,wrpowdrscr,-0.197,dog
caT,cAT,-418,953,dOG,sobkakhcor
0.235,DoG,0.221,ivlocnatkf,-0.421,DOG
carxinetfe,cAt,wrinvhyjoo,-66,Cat,-128
-0.369,DOG,0.2425,cnfycpwbdk,qjldqmkrpr,-314
plrswzytlj,0.302,mauhwxwhjf,xkogvhydco,-41,0.2035
0.4245,-0.3505,nndwyuckax,639,ijfhpivwkq,-308
0.011,cAt,dOg,688,-405,tgxsdzgvrd
