krblqyclmi,qemppzelci,dmlsyuizfm,uxiafwlmgr,peT,xcyqohseuy,znprwoahsv
xlssjjjvas,CAT,-0.1745,cat,CAt,-683,0.31
wjlgeahgsr,uyhuxxplpj,315,-0.336,Cat,-0.3545,0.4395
817,-0.0925,fubxexswjr,wfwfptsjzy,DOg,CAt,0.078
-0.0435,-800,ynpruhmxpa,-0.3405,DOG,-0.046,ozibegkoak
blbrqohbyl,0.117,-0.411,myccshrric,0.2255,rceoupybpl,-886
0.234,xnbdlplwfl,riwxiaknrh,-409,-0.183,cAt,jgfwrimgvh
doG,787,-994,yntpxzpccd,cAT,276,-0.2305
doG,ufieeuntej,-697,405,Cat,CaT,455
0.4075,gosnvjzdbe,0.137,-578,CaT,0.47,znbinqpucu
ntmftqpehs,doG,CaT,-760,CAt,cAt,0.157
0.0505,0.4355,Dog,dOg,doG,CAt,-0.027
dOG,iotbpvlgzs,DOG,-947,doG,nmlgkgopoa,445
caT,doG,Dog,hhiltaofxu,dOG,cAT,DoG
mulwaqkgui,-0.1955,128,0.3415,cat,-90,10
odwfuijndv,qjwxsuorhj,815,-136,cat,0.369,Cat
azvskopetv,ehejhpniwr,ogbadrrkpp,-0.3205,djlyfsipxm,0.294,whdivamlqp
-0.3875,scptqjgvmr,grhliqqozg,ydcuuiqtnd,-182,doG,794
ytndnhyerz,-200,mrcksvkcgu,-0.1165,cAt,dOg,dvfowhgaoz
jaxetdwvwz,ffwvgnlwxh,-0.359,DoG,CAT,0.373,dpggjmlmey
Dog,zuubuscznv,378,-304,854,CAT,DOg
ivrvvnxwan,840,6,0.068,cat,Dog,cAt
-856,-0.3855,DOG,dOG,CAT,0.0235,-381
slzjnhoqlr,-0.0705,484,doG,dog,mafbjeqcbb,-44
gjwbatywgj,-0.099,-495,0.348,CAT,Dog,DoG
-0.4805,fvxstqampi,oxoaezsaat,474,cAt,0.0345,-112
bcqbirzpgv,wccspnwhne,-412,0.2655,CAt,gphztiqkwj,iwzumyjaur
-0.261,-591,-0.27,0.366,fmiaieevxb,dOg,cxvdabsjrr
hgjevemwkr,-0.016,-0.3365,0.2645,DOG,bhoqkwxntq,ljfpzhgcbz
-0.3065,0.1225,cAt,631,CAt,flvhwcebce,cat
269,0.4755,0.474,498,cat,cAT,DoG
llhnmmntet,0.1365,-0.2525,CAt,-45,0.35,enlaenchwi
qznvscuhkg,0.0495,-0.197,miryzemyts,721,296,-0.2575
icvwgaieta,-948,-0.068,-0.008,cAT,Cat,nmjftndrud
iaaryfowsx,-0.1115,uxymmclakk,-387,CAT,rmzvqbmyxi,-230
-598,-667,-208,-539,cAt,dOG,-248
180,qerbyvhymh,-646,-558,-40,-384,-0.466
xeqozgtdlu,397,-263,0.355,dOg,0.4655,codmigudoh
-215,-347,0.245,0.3115,-0.282,-663,kvidtntmli
-563,DOG,-0.0115,-0.462,caT,tvvjgmgrak,-0.457
0.207,-12,997,0.0065,Dog,Dog,-0.483
anlpnmagsp,-0.0595,0.2905,0.1675,dOG,qghlqpqnnm,-255
263,-988,-528,-0.132,-380,uvetjbnxld,32
-0.002,135,913,597,cAT,cAt,-0.429
cat,0.3155,-0.102,450,doG,cat,-0.1035
0.25,-39,rfqqjldrvv,25,DOG,cAT,894
-672,180,caT,Dog,617,0.1925,-949
0.0455,-24,0.3915,creieteuyy,dog,654,dOG
rcugfawxdf,-623,ayrdngbhky,aodqzxzzif,CAt,doG,-0.08
cAT,cAT,-392,cat,DOG,0.349,kwtecqdhpb
0.483,849,DOG,-0.3315,Cat,0.413,-0.0425
