abdlgzxhyn,pgarxqttht,rdusczddld,cjmfhsulwd,akskaazidg,kuxkfekpxl,utvntymkcg
czwdlngpnd,russlwuxyg,763,doG,-99,dOg,tpaianrfiw
0.0225,-772,0.0025,Dog,-129,qbwsmrlzaw,-0.3045
-627,-0.1285,fipwnxshld,-0.316,902,bdhzztmado,-0.3215
-0.486,rkpxdlnkcz,asaxuhhmvq,DOg,0.3095,-230,cAt
-809,xwupznplfq,107,972,ubhjbixxdl,Cat,-0.241
jylsoybyid,-0.039,DOG,-0.2955,mpgaejxexo,ordjnnavvk,-0.253
brkexfjbll,0.212,rncrhigsrg,-892,-475,wniizploee,0.436
-886,0.2885,0.1875,-0.2765,-0.465,wswmmajtba,0.005
-0.086,-0.4965,xdqbklmqss,vijuiiejvy,0.1725,fajpiogpvm,-0.436
386,cAt,idhziwggmc,Cat,505,982,-0.366
508,dgfrluwawt,CAt,964,cdrokjrstw,0.366,ovpfrsbhqq
CAt,idonovfceq,0.306,avdisbrhxc,0.375,0.011,-0.3585
0.199,tfxdyoxamz,jburovnsjn,rtphmcrfla,CAT,dbxunhgrav,0.2545
wqzzcasdaz,505,324,-0.111,pxevyhzais,966,-489
bytwpznoci,0.42,957,0.258,0.1,-623,0.1725
792,prmqdhghdz,DOG,szugrammvv,ezyppxvxwh,ciruuudxks,-0.4035
0.3235,217,CAt,-370,mfdyldvvxs,bulbgqjcda,doG
-266,762,ykvvupbeaq,-0.075,cAT,988,evhtiswwdy
CAt,tjhvduhxyx,CAt,dOG,209,-759,-836
-945,axhbxukamn,0.256,-516,-0.052,ukmlshbaho,rppfhoxidc
851,0.1825,276,0.3885,-202,739,xmjxnbgdlx
0.201,0.223,559,dOG,CaT,0,yjxuytzvvh
-0.393,-291,371,jepdoyptqf,yoznjxxdky,-527,yanjjquosv
0.495,99,551,0.444,0.216,gedzacezxw,-0.4405
nqbeqdybdo,iukdwltaoh,773,jnkuwiqxuf,0.358,0.1375,ccrgsjkdzi
ailsabhyuc,cAT,910,0.1165,0.4955,ivcddlpwjn,odbjwyhker
qrxauqhhte,0.238,97,-0.347,acvvotuwrc,144,mcjgxdimfc
-1,-598,CAt,-933,0.207,-0.468,foeogvhdof
-757,0.4095,DOG,-290,0.3405,0.013,cAt
pvwnlwxyvy,lwtwfgzxya,doG,caT,pnpougpjlj,-0.457,cAT
agznjdvzfc,0.057,wxryvyoayw,0.088,-596,-409,-0.141
vpbmzusunz,-0.1135,548,-765,590,dOG,-906
npfmfmwfca,895,cAT,vqxolnkarx,-864,CaT,pdmrbtidui
-0.3725,-121,-0.0655,dog,0.261,DoG,DOg
-231,rltgjbxfrw,0.462,0.151,ckfujodrik,lpevztcenm,-941
cAt,-966,0.465,-0.187,607,530,342
-63,-12,wzqhovcjvl,253,0.218,CaT,qffzrtbluh
315,-155,CAT,-834,553,cAT,423
DOG,cAT,0.2715,-935,drtyjjhhes,-0.466,pipxvywwtd
juruoweixt,0.038,618,469,imnhcypwgy,eauuxiyjsv,emcumqefly
dog,0.216,effxuyorxx,udaabawifk,-695,rfwtdeecpy,ayjnuduopm
0.4165,-925,xfkvagdaal,0.4485,-194,vwafcoltfu,-0.1925
ejepbocuet,-0.32,doG,uxsmkqgedn,caT,0.4485,-289
488,gxlrytrejg,245,-0.2145,-0.1045,uhbygyvzfv,716
lfyjescsqd,-0.3395,laoikjmqxm,0.433,xrnlzyjpff,-279,ngjumwmzhl
-560,dOG,-662,-0.451,0.0305,-0.354,cat
hhymxcsvsp,-0.198,raxbxbbdac,doG,0.259,ibgwlwwpaj,hrhmyxauwb
-523,0.3325,95,-0.3485,hrvcyiwopq,0.3445,dog
0.5,laiclbchaw,ymppmozyou,-665,122,bjhxtkonvu,0.001
