ivmxzyvksz,ceabugzlog,vywrzteaaj,uzyqmqudse,claxvoyvxx,iaafyhjryw,PeT
kjvwbeuqmu,0.1825,168,-543,dOg,hesvbajqeq,Dog
vmzzdynvmn,947,pqfrxplecv,638,cat,mksueyytfz,13
0.2225,234,0.295,0.236,cAT,aiivuyvmkn,-0.0295
-0.292,0.4515,894,CAt,ptswfyvtyt,dog,0.369
ucjvbpsluk,0.052,CAT,Dog,ggcfmjfbjz,CAT,dOG
qenhpcditj,-864,-149,cat,kvadifuewa,0.4905,DOG
-343,edhvblykon,DoG,677,370,292,-761
zompzlxllp,CaT,zrqmkdjhoj,ukyxvfvnol,87,-0.4655,dog
cat,diybgrcgri,uwreorahrb,32,zfqapwkpet,-877,CAt
-0.1715,0.419,cAt,-0.3185,crwzrnakae,608,rtimctclth
cAT,632,539,rxyumqkrol,905,956,DoG
107,pplytyanjz,kcxachnhet,-643,DOg,0.0145,DoG
-0.5,893,112,rsqkjuzerg,-543,-0.3885,-237
-0.1585,-0.3225,nwrldkbsax,-161,Dog,659,DOG
Cat,-916,rwdopvxcdm,0.0725,-0.1485,-920,Cat
jyrjxusfoa,-251,-0.2825,-0.329,-814,Cat,dOg
cat,-0.0265,scwcbpqkvb,eewixsjpri,0.264,qdfnjcvupp,igkwwwsxdw
DOG,878,cAT,lvurbzhaic,-0.095,neevnfxytq,cat
971,cat,0.4435,-0.2065,-308,578,211
-521,296,tkcdwvomrv,yfxqutsmdb,-809,0.1025,CaT
0.1565,0.2345,-371,0.115,326,-641,0.472
zqwhkdwjnv,-129,lbpglexgbm,-720,-0.2125,-402,798
nkbwscazww,-420,-0.1635,bmrzttrlyj,Cat,dog,DOG
-108,-0.3795,-0.2785,-502,Dog,-0.185,CAt
-415,325,0.4485,jfewesnowm,-644,-0.439,DoG
-0.4935,hthksoonir,557,mczpsjvcwl,dOg,Cat,cAt
DOg,caT,kqotqiadjn,DOg,jsdexjfujx,821,CAt
dslgnwxkao,muvzkakthh,0.3765,0.3925,DoG,0.17,cAt
835,-0.3225,iaxcutuhdz,CAT,57,DoG,-0.1015
0.229,CaT,bizbnfbguj,333,llhcdffytv,-0.33,524
ijimnufzhn,-0.296,0.0,0.4245,ikbshesxpx,DOG,yvsfwmtcvl
