chqfhmunmp,PET,acvvzovtcj,bgzjkgzuwj,sbdlbopbhx,nrikbjyckc
Cat,doG,-0.3125,-0.4695,-0.473,dOG
-0.3555,DOg,mijqxiihlr,0.4405,-0.1735,0.461
xbgdbooile,dOG,vhbsqjlubo,389,caT,dog
0.3085,CAT,-0.3,-0.0015,-0.1765,DOg
CAT,CaT,0.4865,-713,0.241,0.481
-0.25,cAt,0.247,dog,0.432,360
-0.207,caT,jdzhvzverx,0.054,-0.064,rlpwezdqpv
-0.214,eckkszfskl,cat,mcwrkztynj,0.2395,vdefxjaihu
291,Cat,-171,-0.4755,449,139
730,cAT,cgzitkvnmy,CAT,fhsuquaxkz,0.0995
DOg,Dog,934,0.244,nrkxknomln,201
0.247,0.4815,-0.0315,-0.3705,-0.002,iqojfbhavs
656,dOG,wrwzzhksyy,0.016,849,0.03
-510,DoG,-241,-0.205,musewmubgh,263
qlzpkwfpjl,DOg,0.261,272,znzojiwyve,-0.1035
kdsktmypnt,dOG,wwsvpdsapm,laigekrxla,-834,0.1565
xenwbwmpnl,cAt,-841,0.4835,tbptxzsizy,enjhqtyfaf
392,amosnylxsn,-621,-0.236,-906,CAt
doG,izfiutgezh,-415,qwzendoqia,CAT,-68
DOg,dOG,iohdmvgbws,0.241,jwemtrcyiq,108
-804,dOg,827,913,0.1775,111
-0.2765,dOG,cAT,-0.414,671,mjmjtedabm
-958,CAt,qiiesrxlci,xscazqrejm,0.0175,-262
0.404,-680,674,-430,0.329,-0.19
467,-490,brcizfmcsi,-188,-837,cAT
sepmrhwhox,cAT,-747,-0.209,vztiiaqkkg,590
848,Dog,cat,147,-0.024,0.244
979,icblwipjel,-3,-252,0.221,-755
cspmrbboao,Dog,-27,edkwikkdgy,fkivlrwruo,pnoagcdmyg
Dog,dOG,501,-527,vgcaocfgdt,0.1875
-689,dog,-585,eykzhnjtvc,-323,CAt
935,ymdhhfyylb,-0.257,xrhmgxepgq,0.4605,-0.2405
-978,Dog,748,0.3265,0.106,0.105
0.438,dog,802,625,llakbabott,567
DOg,355,doG,DOg,-133,-0.353
DOG,rvwtcrrqpg,wwdfljmfnr,doG,-0.3675,haxljeokcw
xkyhgifpcw,984,0.145,rnvnghhasw,frwmbgowpb,0.3115
0.446,0.3215,855,0.2345,-648,-801
-752,DoG,0.2825,457,931,DoG
-136,DOg,-0.089,699,ssoyssscrg,loioqmzbgj
-0.442,DOg,-983,oviglaacey,-364,-860
48,CAt,sgebjgpvul,cAt,DOG,0.2245
825,dOg,tlzlmwjome,-0.0845,-0.0885,902
olehuahwwd,pgjrpdlibg,963,DoG,0.3095,cAT
746,dOG,doG,-946,-0.301,-446
-262,-0.454,643,288,DoG,-0.009
Dog,cAT,359,0.17,-0.352,0.2485
353,caT,0.3455,384,-736,bzqoiuvgfd
0.119,caT,891,-604,-376,csdzbuymhw
0.4295,ixrojqzdkr,0.349,dOG,kvnorttqfc,drljvhkfoi
cAT,caT,dzefbuzppc,-0.4245,nfhwszfxny,arvhqxegev
-142,hkmgsjzpnw,-0.3245,0.425,0.1975,Dog
0.2325,dog,0.1115,xqoeiuwfqd,fnccmnvvic,caT
DOg,cAT,87,0.203,332,rllbcddxqa
