PEt,qrfdtipvxg,zassnimnkr,ixejljclrs,teuibjzqlm,vjmgaecsxo,wajrtjiuzy
doG,-690,655,zadkipwynf,-214,0.1545,nyuswphgtp
bmbvpfssku,dog,-552,0.0815,txvzixgxyj,CAt,0.4605
0.3325,0.385,186,dOG,gswhjizxtq,0.4935,dOg
-674,DOg,kjxsrnvqez,-0.2145,phigtrjnrv,0.1795,0.4655
498,0.1765,-514,DOG,165,-0.0965,0.1425
dOG,kbkvrpglmj,-566,0.0775,-0.0395,481,0.001
-506,ugbozerzyj,-0.2175,qwmhjlijnx,-0.407,-163,0.0885
DOG,CAT,-929,-415,10,swuayzzubq,770
doG,dOg,dgkinkjmlc,0.249,-161,294,qulnekvgxh
0.158,dog,cat,cAt,-758,-952,upbvphtgvt
292,inlinbhbnz,0.2695,-355,zswwdxlouo,516,0.3325
doG,-795,0.0775,-615,mykocxzupp,0.3445,CaT
egnljzgjru,CaT,dOg,-504,Dog,0.1465,0.189
pzrcdwxpht,-0.2715,eahgwnjvyy,dbinpojpil,-0.2045,-249,cat
dOg,-690,nddlyyzyjn,lasytnrnue,ycnazsuqmp,-793,ljuqwpavnm
-683,jsbypwkyij,uirernohkw,cAT,doG,cAT,rffgfrvflx
kfsmwunhlq,-963,CaT,0.101,cAT,-714,dOG
