jvqqswvemy,klxpvriczv,pkegnkfdte,ebuslpswnl,owrenzdrwl,kldtxxqujp,moluxkzjyh
zurdyfsobr,orqkpwcqtw,dOg,0.3385,ioatyhiqyf,qpcsudqtao,-0.069
396,0.297,rcnincqmqs,caT,cAt,dOg,CAT
cAT,-216,bvchyjdfjy,cAt,-583,807,537
-576,dog,doG,zwxedcbpgx,-0.1005,0.155,zboqrqjdqa
0.212,hrvyjmndpu,limxxxemjg,dog,0.2625,wzivdaprrw,-0.447
jhenvgognb,-0.0925,ddfspqekus,-0.447,941,89,-307
-668,0.196,lmcqpwrnkj,cAt,-971,ofehpieozo,-0.037
DOg,-714,801,-0.016,-801,-0.1545,btykqudeso
0.4195,vgiytrwefe,0.133,-648,filkazywtt,pbsxiwlsag,-812
222,0.2345,osftmocdnu,473,212,380,581
-0.2135,DOg,ofkdjobydc,eikfdbafxz,-0.0505,qhyypdgzor,oyphnkjvya
765,gbnnhvdjdd,dOg,361,93,343,936
-996,-834,udyqdijarf,dog,-57,ecnsamszcw,-379
aesxdnhgfb,-503,-0.398,wbkihoowmy,dog,-0.3535,-0.493
-0.182,0.4805,-223,0.1065,owamgzdvgo,cat,910
0.199,975,nkbjnmvrhl,725,idmczavbqu,psdafucaat,cfinvmhweb
0.099,alhzxdxvli,-0.481,842,0.299,854,dOg
-0.062,wnanlryzyg,0.3345,pbmsriwdal,505,-0.3735,qyvcudswkt
dog,Cat,837,0.441,DOg,baazirkkqr,lzrnihdtwb
jyjbegmfzv,586,doG,0.1165,doG,qwlcpottjy,-732
cAT,baysgmxvwu,0.0545,Cat,0.192,-821,-0.2895
caT,-103,sejflronqw,100,DOg,0.0825,-528
