xlxdwafjrg,ktuwzjdhrp,ynydhsiqxv,uqgrljtnfq,peT,iyvmeaxpqf
-0.119,elflqjezoa,kkkygfoaqw,dOg,cAt,CaT
plyjzghdak,eeiwjmjjms,-933,tpqizpndzx,-0.3935,cAT
ywqchrqkoj,-0.0975,tfrdpiqlle,-687,caT,cAt
0.3505,918,ugdbwwxtmx,focipyrpxg,-169,-483
dOg,678,636,bdoqohocwa,cAT,cAt
jyelutnkfx,0.318,ifolajhbvf,eclksohxva,CaT,841
doG,CAT,cAt,-9,cAT,-0.0405
0.395,0.232,mkzegihrss,idfcloluqb,0.442,-530
671,cAT,Cat,0.0,dOg,-0.4965
-0.0245,0.0745,0.2055,492,utprydrure,643
0.2305,155,733,-37,-0.015,-467
0.1425,300,bfjajslaph,ocfygkjtdt,Dog,0.2155
-660,tlvyszctgz,dog,353,DoG,lfmbsdjyaq
-594,993,807,caT,370,-495
0.3525,0.159,tniupennqn,caT,CAT,-928
0.286,299,0.3485,caT,cAT,0.459
-0.1215,cat,-161,-109,lvrsunwzbv,302
-0.379,-0.368,0.0775,-0.094,DoG,oaompijynz
cAt,842,0.1225,0.2025,caT,292
ofvctqzuue,hytrtztxke,cAT,CaT,DOG,858
-8,clkwfgvixz,-866,caT,-976,ewnsmkferj
DOG,-0.056,0.468,doG,dog,rvjmjktoiw
wipwuqnwhb,0.3435,382,-0.3585,cat,729
wlpkuxoafe,-181,978,-0.306,dOG,162
dOG,okonyqgiim,0.0625,cqnxketvub,374,944
0.165,cat,yixgnfbigl,0.308,CaT,njkurwhimv
tidnngqkvw,DoG,102,CAT,Dog,scfgpcjjij
dlnddzdnxa,0.373,mpweosvdra,lqaeoqtwgw,Cat,njtatqyqht
-0.0455,-858,cAT,jitqdpbmxl,Dog,853
-20,869,0.218,0.459,dOg,-0.392
-494,-776,826,znbqruwstp,cAT,-0.2615
426,-807,DOg,abbkppedtf,DoG,uvopccxysu
xcdbjqpder,gntxdzmhtz,DoG,0.3805,CAt,-0.2185
-0.2715,0.0805,-0.4075,-0.0775,CAT,-0.062
DOG,-806,253,968,CAT,-0.184
843,qvpgiwotel,japsaxoyhu,gymsaziigy,dog,redeuzdmqg
vcgfigxczq,lyoouwnled,-0.3675,-0.06,DoG,-40
ybkfwrxytm,0.4975,0.238,DOg,dOg,-833
-0.0235,0.2015,592,wprrkjsbit,hheevwhfuj,Cat
-127,oivesknvmf,mpuiouxriz,-0.387,DOG,oiatyvbivs
-121,mjlnvxxbcj,rjbwpofcxa,fdfdxneeye,dOg,-988
810,-0.084,-0.309,yfjvuswdzn,dOg,-0.148
-0.2135,250,-174,0.1575,doG,-0.259
dOG,caT,cAt,osbtjqeeyk,253,heeaohczvb
0.346,0.1035,0.46,-0.0495,DOG,huqwzfcxvr
lyhiqzgfez,-0.1135,0.476,wyitoowuqd,dog,0.221
uguzssgvyo,0.1045,olxoazsjmc,-654,cAt,-0.168
-660,DoG,CaT,849,cAT,-337
idvrykbzbs,cat,-499,0.06,-0.014,xssjffdiek
CAt,840,cAT,334,gucnjbgfvw,-0.333
fcljbmsptr,aqyqxsyklx,0.0535,doG,CAt,Cat
-0.3235,aipxmrgxfs,0.2685,gjwxxfeqky,caT,-0.497
105,-0.3915,0.078,daucdwhgki,DOG,kkgjqrvgpr
697,0.3685,dprxkulerk,vtkbraznoj,-661,-0.034
-991,ecjrsypoxz,lnbxmsdgwn,ykpszfxqui,dOG,togwstrkgw
450,-0.094,-0.298,-567,caT,caT
xoecfljvwt,ujiygkortr,626,-6,CAt,-0.1535
-0.183,-982,zctzntycmk,dOG,Dog,-0.246
233,0.38,0.262,-758,Dog,-0.086
