byygnrbfnu,ioljtbbcmn,znvanbysuk,qsiyzzjrra,ouqjbhlppw,xdcqhnugsv
bojginusuk,CAt,nxoijfaekf,-872,mvfhclnhnc,qewirhpuee
hymiaycugx,dOG,285,caT,0.4165,Dog
cAt,-0.327,-833,-155,krlcyrvmuy,dOg
521,0.4285,870,dog,0.3835,eoatchtwir
xtbfxgmdgl,796,ynpdwripjw,lfriwgbbfy,nhbjcnakcs,-522
nwbhatbffw,dog,-181,671,Cat,277
-268,pvixfbmmza,0.0005,548,xtldbyorqb,ccbfvxepxq
-0.046,750,vsdnqtroiy,16,811,uoucedxbtj
188,lzwkwbaihp,ebtmkybyjp,doG,fikeuglpvz,-71
dOg,-0.2525,cat,913,wikfhwdfjb,CAT
doG,-0.2835,CAT,394,56,jfmcoavcqv
-0.0135,rsdjejvefj,0.0875,tpltwagxki,CaT,-0.3885
DOg,cat,-0.192,0.4745,-0.229,DOg
ombkjmkpmk,0.473,clwiqrufao,0.1545,cAt,0.3555
-0.34,-0.24,-295,0.0125,0.269,udrfxqjzlx
dog,-0.4675,iqwysxkhcc,evhphnkazf,-0.222,-0.4145
0.0255,657,0.3485,DoG,cAT,-0.414
oeezziwgzh,dOG,DoG,nhargtrfvq,vhnqjixqac,0.396
0.2565,caT,CAt,fnthwyavjx,0.145,-0.2955
0.11,tkqkfnjuwx,doG,-721,0.389,tfkvaufkzt
dOG,887,cfmjomihye,-686,cAT,dOG
-854,0.333,mxvpfwzehy,0.389,0.4685,0.1055
-256,caT,-221,-0.19,DOg,caT
-0.3815,-0.381,cAT,dljxzlnqxo,hbzwkligmk,668
ndfqldhcdp,0.3645,buajwlqqvg,fijixfwken,nfhkrhaaxm,-832
-1,xrdmmfuexd,cAT,596,-400,-0.4625
fmmhnrmukw,dOg,eyjohawikm,-692,agkhkimmxl,CAT
0.041,cdxiqwhalh,qbfreakynb,-0.289,yqssdwfcqc,doG
-0.3165,-200,lhaitjjegx,-460,wnzuiquwut,797
wxzsnqlvxu,997,CaT,243,cAT,ybzggfdbpo
0.0555,0.376,118,-0.0565,-237,smikxkaezt
guzaubptwe,dkosandhrv,-909,serujdrvtk,dOg,-0.1475
-286,dog,cAt,0.4705,-0.4475,qklnddmsmp
-906,0.2225,968,dOg,DOG,-0.4425
-467,ywjwbgfnxe,-0.051,0.123,-0.48,0.3015
-458,wjhcxqpfef,skgnuvwwwl,216,0.235,dsawlspykl
ywmfdvflar,-0.2355,389,oykwhhtnbl,0.4925,-31
-0.211,nodsjqbthq,785,-618,-718,dog
-340,163,0.074,Cat,307,iyyrxtbmxe
qlhgpwabak,-0.15,0.3595,qqascgnupx,habngdvjew,tpzmzazoex
tmjxyjspce,cAT,-715,-0.301,Dog,0.136
0.0945,DOG,0.1775,Dog,drtaytnhqr,0.2105
-173,xjybcbpwpn,cvbxxmyzwg,0.1475,iebvpkzegi,0.469
-220,oumhswakzm,CaT,btxkwutjdx,0.222,0.0795
irzjahvtas,748,0.057,ohoqfetzig,0.2885,-0.3745
klvywyctby,-474,-916,ubhkuymtyf,-99,-0.064
-199,0.453,CaT,yxglpllwqi,0.291,0.4965
cpptkxsrry,niojtugqnd,reoyqlvvpr,CAt,-0.338,-74
-0.429,0.3415,cAt,Dog,xoijuzpita,-0.0945
0.116,ikauxuwfic,799,gchyikogfu,0.005,159
0.0,-251,0.1735,-588,0.045,-452
prgjtadjjb,658,0.0555,87,ywrkdlnkcs,lvswlsbgcu
-656,-0.244,454,Dog,DOG,caT
CAT,566,-551,343,yocyvtqvxz,-679
dog,-0.1765,doG,-655,-532,nliagilfhw
wwpkjxmwlv,-59,wrcbqtcaph,vthensvokk,CaT,thbukvabul
