vxnouzfxgz,qgvowemwoj,mmdbniwndc,hicopfumbe,PeT,nxgpzzavjg
oddmglxxxi,0.201,-0.252,CaT,Dog,fzvfsmyqmu
-256,-0.08,ecdzrehqzc,eawhozaibh,DOg,0.308
-93,mlgdfoodxy,-0.186,-0.349,-848,-702
0.373,-0.0565,475,Cat,DOg,bckyskmdlp
cAT,DOg,-0.3525,0.1045,DOg,-0.0615
152,qonrzwbbxz,yqxtqgtplh,Cat,dog,mkfejcnech
-99,0.1855,cAT,-708,Cat,Dog
dOg,nwewuywjdn,29,-0.174,caT,nuvktgsizu
-701,0.2045,CAT,gkcalnksdp,CaT,gphepupwql
-315,150,-508,0.089,144,0.134
enwfxwygnt,ekibdaogdx,0.041,553,cAt,-0.204
-0.494,888,covmfvffgx,CAt,DOG,0.3165
-941,yklchlxasc,dOG,75,doG,dvfqbrqazo
wkvyegdlme,0.208,537,-181,-0.07,-372
vlysretutc,317,thcwzmahwo,sgbiqfysco,DOG,-0.1875
-0.196,-15,urqhefvnjv,caT,CAT,hlzvbarzxv
-0.383,ovybhbubjn,725,CAT,CAt,-310
-579,-0.2935,rtmbfelydm,xporzdawlr,DOg,rqsrxqblva
kxhaofqtyg,dOg,-277,yhntcuznjo,DoG,DOG
dOG,dOG,252,DOg,CAT,-469
zvsfhvogqr,-113,911,CaT,0.2635,-74
-0.431,-465,gjaskqhakn,255,caT,-496
0.3385,-0.3755,DOG,caT,xqftvbyopx,-0.346
-0.3585,cAt,-0.0405,cAT,cAt,opkwdetpdm
rpnzkwdxga,CAT,-0.164,CAT,Dog,-0.2455
-0.0075,-0.327,-159,ubrfigjetp,-631,-0.1395
-0.355,-186,qxkjmxogle,qqgvuajmwr,-0.481,qmcgzstssx
-643,fqljailpzi,ymptmrzhnz,712,CAT,-655
bwliztmili,0.259,plfkasdsjj,0.088,dOG,sdmvaogliz
efdvfziyac,cAT,367,ngpasgxvmd,Cat,pimtmehjkk
qiheserymq,-232,ldfvlgtjun,mzhdpiumhg,CaT,0.391
qzfuuoglxg,dOg,DOG,CaT,CAt,xcebgvqmhg
xxvyxtyqfn,0.335,xhyyordvcz,iipzchnxio,CaT,-0.455
-0.439,0.4675,457,-0.2215,cAt,-649
galuwjaamz,Dog,cvlabbjwok,glrmxykxfs,dOg,fjcxruixtl
-832,DOg,-0.2825,wmdkfgraek,DoG,-806
-23,-0.436,-0.356,0.287,Cat,-0.145
-237,0.067,CAT,inyuekgete,cAt,0.212
472,DoG,cwygapergl,-426,CaT,-588
-0.084,cAT,CaT,ojwhbyqkew,cAt,0.151
dyfkollsdk,csmsxvloej,vyqmmgqouh,0.312,CaT,828
-510,-0.2655,dOg,262,caT,-0.4745
ymowwfrire,CAt,tgsqcgvpdm,lviztaecus,cAT,-781
0.028,0.1805,962,197,DoG,-0.3335
evwzrspfts,phcubysjwh,zdwvljxkkv,emqyqhjayn,CAT,wgumrcxbez
766,dvpknwszen,0.4715,Cat,-436,91
doG,DoG,ptfcfdpurl,-225,caT,0.231
-0.3015,sdwpcrmalj,dog,DoG,444,cAT
452,-816,clgqjgohgg,dOG,CAt,-17
mqngxqxoac,ojozkhhryc,DOg,CAt,CaT,kcggwpoufv
-593,doG,dog,0.436,CAt,-0.2865
-407,saqotuidrm,hzwxixjvvi,hivuwlwydi,epgiogjhzm,CAt
ozqeuemkie,ssunrvmxsg,cAT,0.3735,tabvyviegk,-0.1555
-697,0.268,tzkgzyzpwk,-0.443,dog,942
wlntvtfjth,416,cat,890,doG,484
0.4545,-0.3835,-144,dOg,qqpmthgbss,701
klzoubznui,-0.2445,cAt,612,-0.177,375
dkwjkowklb,zpijplyuht,dOg,0.1105,doG,675
DoG,gzxyksnuwe,-0.1945,peemfyxido,DOg,wvdfyiguef
