yenhahfdjr,mgldgqoqqo,jkbvlpsesl,yzrqqttizg,mnxmkmrzcm,fsgoueyewe,uvjxidxkqf
hhxempohcm,0.405,ibiuasezox,hcsemfqhpv,875,204,qdrhpzklwu
-0.205,-0.174,0.169,dOg,190,-429,DOG
-0.4155,0.168,-742,-468,0.3115,-0.382,nnldyepnoo
hqoorvvxsq,kjvhxnffel,891,xpfrzhldjk,abjoszvyic,809,-0.2395
xpthgrnkih,245,wgpethoxwi,teuzkvlaqs,snhovbollv,-140,-0.0365
-0.052,wptphsmmks,-0.1535,-741,xywzynwhnp,-641,-310
gurtegfiib,-0.1125,399,guxrpvqktt,551,0.434,-0.0045
isjernfqza,oiojzvbwwu,20,0.1515,-84,-136,-0.28
CAT,lwnsaxmeyi,975,-969,-0.4695,cAT,0.471
-0.197,-92,dsrclrhhok,0.3795,aesafbrazi,-0.344,-625
DoG,Dog,-149,doG,-968,-245,iioorgivfh
446,0.2005,dOG,-876,oyfgeqkozp,-870,0.03
-0.401,lfwtgtvykd,CAt,Cat,0.1765,-47,yrembhpkwe
CAT,vikmijwgts,-0.4425,-0.1525,0.2765,-0.485,zhdydaazlh
0.111,ehjnvxvwzd,694,-0.043,-721,-298,534
fznbcgksgf,cat,-320,cAt,xpppvopzcq,-0.0245,cat
caT,190,0.088,-0.1415,lyxezepibt,-739,0.0405
0.206,kkeggesszz,ijlvxyyngr,-328,mpgpjexmqv,kgehfiowll,caT
jzwmqngmup,643,-0.373,391,ragcawdwdu,-487,siaruhsayg
DoG,-0.238,CaT,ecyippbojr,-0.0295,166,0.2785
582,tylnpsyftr,mnrwacxnmh,-0.0685,xytmmahrgl,0.3925,0.1025
325,kayvstwqwd,mqkzofqrvr,-0.421,-973,0.4575,183
-0.0525,-0.214,rxwpnymmwb,204,-553,cbnswctlkv,726
0.2015,swqjaloyct,mbrrmkimnw,0.3075,-0.15,0.2565,0.2315
-953,pffbgspcro,CAt,tcpbceirni,356,835,0.082
-473,0.2125,zvntehvlpy,dOG,CAt,0.4835,dOG
gxabrqmemc,-178,0.027,-0.295,akxiwnkhlc,ihmixqdfku,cAt
dOG,moenjtqods,0.2785,Cat,kfupmtxzik,cAT,-189
