pET,ouqmvjhjgn,cchnvcgajn,vfidsnzwzc,kgnsvoskcx,irmastjqee,esxnmnebfh
cAt,772,-579,0.355,gguvbsgdjo,ebllcqqttr,607
oyvnhhpekr,-0.0775,hxdeaivyfw,-67,bazlcmljue,cbvfnnmyny,CAT
cat,hxioecdohi,xwhxzqphaj,-0.2445,pmmysciobj,0.267,178
0.496,341,laibygstup,ukvezuaryx,402,28,rsurorpcly
CAT,dhgiejzmaw,-144,oucdcsfvwq,0.3525,909,qdxlrplpuc
DOg,769,0.003,665,DOG,DOG,dog
CaT,uohjuzqdky,90,izynrtgmvz,doG,cat,mpplrbrran
wcwfezwvyo,0.2725,CAT,-0.1935,swkbsvnoxy,-0.086,npjgpkiwrb
dOg,cAT,toinyfwybf,bvyjnkymdc,995,4,hkzwyxeymo
dOG,0.1935,xhcotoyhbw,-0.0515,-0.2265,DOg,496
DOg,Dog,464,kkcuwhdftr,-0.277,snurvgdfkr,-0.3415
DOG,0.181,ugkrnpmppa,dvqcgoxsbb,DOG,ongmwboiek,inhnornuxg
0.3775,xbadvcuutj,baowzfztww,-0.312,cat,cat,jlnrtvyawb
CAT,0.1215,336,0.1085,DOG,-0.3975,CAt
DOG,cetcxwdpzz,vyawegmzvn,dOG,dOG,-0.2395,0.068
CaT,752,DOG,-625,-0.1295,-38,-652
Cat,cAT,123,fuszodkekr,-0.197,0.377,-0.089
dOg,lhjlbhnlkq,oqsyjfunfv,-0.213,0.469,DOG,dOG
-0.0035,xxvjkoboke,356,zgezdismxa,-0.486,-0.335,380
CaT,0.2175,-0.0945,909,0.3475,agilnmtioa,DOG
dog,0.322,-752,-0.0795,-900,0.4035,DOG
cat,-603,0.252,-0.214,270,-707,-377
cAT,402,caT,-413,jhhqkvxlnv,zsxvwwqztf,dog
cAt,-953,DOg,cphnkubuwz,dog,50,xxwyxslilc
DoG,qhaenqbrgl,-922,vilmtllukl,ersiwzbzhv,-0.033,trmfdnqpoc
-57,lqtwbewdnr,-294,hxoblizhlk,luovtxxlar,ryobcwolrx,ievjbhklsr
dsknxpadvl,0.3355,dtcjxnlucm,-429,CAt,cqlfndomel,-441
DoG,0.4045,mmordjbqwl,878,-393,-778,-0.159
Cat,btcubvcflh,0.1535,rxevyvelwx,778,-694,skzurrpesk
doG,fyrvylnfxg,968,vfwqxyqzzo,626,-0.0195,-0.448
CAt,-0.2595,0.1635,378,xjnhjycnxw,hjqtfbtcqj,yelyfzosit
uvwxhilega,-0.301,-918,-0.135,-470,lhjsjhkeus,32
CAt,watkyyfguc,562,0.139,voizfgiyri,0.273,20
cAT,455,855,-0.2665,-752,drzqzlnozr,-778
okegfczayi,fhuxwigsqz,dxjlifxpuy,-0.488,-145,vtcabxdeub,258
-0.004,0.252,rijgpqscjq,cat,maarxuxvfa,CAt,CAT
DOg,-0.293,eyryvwjdgr,-333,824,-348,-398
cyqwnzgipy,205,caT,dog,882,vyxikzoodv,qxyalozcrm
cAt,rhbcytfwjf,-0.4395,vumazwmvgy,795,852,890
-0.1155,ncmepralwa,pbfopdtwua,CaT,508,-0.4765,-52
DoG,CAT,yknljohgns,CaT,-0.2925,doG,-679
dOG,Dog,-0.355,Dog,-174,0.0435,984
cAT,-306,xeqqittvjp,345,dzhyysuicl,-0.3175,rsdjgrznnq
cAT,qrusrkises,uofqrxagab,gxiocitwkl,nojtauchet,0.4355,0.114
dOg,flysspoufz,qwivcpuscc,-0.3565,-261,dOg,iuqwxmucia
CaT,dOG,caT,Dog,-794,-0.1255,ugxakhueuh
caT,wzeycwvycd,dOG,bjozlqpbqp,ahyuucwzcf,-85,acnkskruzb
CAt,0.1675,cAT,gbijxcggmg,-91,493,tfmmydnrpl
Cat,-0.1845,CaT,-0.488,-494,Cat,-0.2305
-87,61,0.429,pfmnunvbxv,qosfnfgkmx,-956,ndazvebxlj
cAt,879,85,qbvkusttjy,mggoqtasjf,-0.131,DOG
cAT,svlhcskduf,Dog,-556,752,0.117,0.2015
caT,0.134,0.1035,hlvjrakdhh,-0.0375,mebsskutzm,DoG
DoG,humpbvrtyc,doG,-0.0395,0.0275,xeviymvivw,wecfqvstnx
dog,-536,dOg,drkfyblvoy,-0.055,-467,264
0.4005,iwayngqxal,818,0.274,wuayoyfdcp,cAT,-0.0995
cAt,CaT,240,483,-0.26,doG,143
DoG,-0.3375,931,-0.3065,dOg,-581,-19
0.3715,kgizilfhfu,vdgcmcxfyp,iiuqjawyxo,ncnscqikmr,hxzcwapmes,Dog
-0.329,binojhsncs,-323,0.417,ubcpjbeufe,-0.411,-0.477
xaaoynxhzj,usijrgytyl,ehxpbnopkj,-0.4495,cat,0.0575,0.3805
cat,-708,189,578,ipsjxzbgzp,577,plocfslghc
caT,-806,0.2415,-459,-0.308,gupnynviiv,gdpedaxgjm
-0.41,0.3415,-0.0985,0.4745,0.309,-0.4215,0.234
CAt,832,385,geokcmxauv,-554,hxeupidnkr,cjrvlahcai
-0.0715,-0.0115,svcigksprc,-870,-633,shmcburkjq,688
wnhlmoxqoi,885,xczrczjtbn,upjcqganvz,-377,0.467,0.0975
DoG,rxgwtnugqw,-657,CAT,eonymmgicb,DoG,wtosuwawdq
