hbkttdmcbl,dgslixohwk,eiprrprwdc,dtwujmpafi,ibjlvznbsh,wizqpawayi
jtlkqjwqbo,-772,nybljhowox,-0.279,-0.423,-376
674,gxqzsoeewj,-0.483,qhyicuyokl,dOG,xmbqskuxjf
128,204,xjvtwykgge,-0.1815,-0.1175,dog
-0.169,-544,xcjkaqxnpg,qvqstfhyxy,caT,-0.0605
-352,-0.1885,dOG,-104,-0.4655,gecrbjonnc
biorczepio,plgryedzyx,kbcshoobue,-0.1055,0.4505,-0.4175
0.488,-0.287,qxnvfzuxpg,lfenmszmjw,920,-652
0.0585,346,dOg,DOG,925,xeroxeuoam
855,-662,dxdigqnpdp,zdyqvxvoed,uvfsjnarsp,tboflkppgz
-0.2825,Cat,hxrovnclqi,0.3885,dog,-0.461
dOG,kzhnjagrqd,-133,-724,lcuqspbgqp,CAT
90,CAT,499,CAT,-0.4195,-0.2605
