cbxredgvrf,kserffqzsr,yczdnbpiqk,nxxpzmxdqo,caoekdfsrm,qsnvkgough,iiplkmamqh
lqzrbcmony,36,Dog,-0.2145,592,eeguzjmtqf,swiwoqgeal
291,-0.4535,213,-0.494,-976,-811,-0.4815
vwczdgwxbi,-180,-0.2145,rukvrqxuyo,927,0.0695,qbqlmdavax
-0.154,-0.0785,-438,tkzsgzuegy,svsxdsdxuz,-598,0.3255
-0.023,465,nkhexvspeo,0.053,403,pwftdbmfgn,-0.4635
vjnsfqphip,0.0085,jnyastmtkj,0.1005,-0.101,senwhktvhb,-661
aaozugupps,rswcuuktyl,vrmjclkjob,-468,fqajuoonuy,-0.1315,uisggcdofj
jxmnclsgfc,0.412,zfdlnounqn,bpczsujprs,0.091,urqgbyydgf,wnxxgvblet
egcrhjjale,0.0965,-0.437,-573,CAt,aizscpiyqe,dog
nadmayezoe,0.068,dog,143,oxopypajee,vllvkijynf,CAt
-278,DoG,129,naulucxyif,dOG,dog,-266
497,CAT,gbeuiilcuu,caT,jqihrgrywx,-0.336,xdhtesamov
CAT,tbtwpdfwcn,366,DOG,mqqewhbhoz,-0.0465,cAt
cAt,dOg,0.3665,-0.185,729,fcihuwuvsn,-0.13
iznipyktti,qxwbfwkrld,iipiwsyttp,DOg,cat,0.0485,-0.3575
vihgwhcfpv,-491,wwnjfgqejd,-534,mpqyydsveq,anylzksrph,-0.1865
-929,afyamtwjiu,-22,0.012,bbeuqutbsb,999,ycudoormmc
0.0635,curnyltdnp,vaoiiztonr,-271,-602,CAt,0.495
-801,170,812,-452,-0.347,mprmbjmvmv,-309
cAT,ilguyterwm,-85,bdkolgclpj,0.0405,jzfrvooatj,jcazflyrgh
sykkafauqm,vfrpabnlic,-6,484,0.136,-692,-0.12
DOg,jgfusncsiv,-0.2735,998,CAT,0.4555,DOg
idhhnqxkvq,qtkwimamgy,Cat,715,873,0.0885,0.0305
jqtidaflia,-0.233,24,esstbgmgvb,-896,-652,-0.041
-0.453,ctedcolkcw,-926,qxcychzlez,igrqaevsmf,qdqftolyzq,-627
-121,Cat,lhmhbsnusj,-0.2935,ousktqtuug,emqykrzhvx,-319
caT,xuiwkykhhd,gnyqurpkae,-998,-0.1245,930,-0.1765
-0.375,75,0.0865,850,-0.487,wbnbgudblv,miuknpalbh
996,0.109,kgezgwecvm,kuzhopoxhq,mpiawesusd,sictfmavdw,lovadxwevm
DOG,vciwiixmcl,dog,zcyhllkdai,-0.096,trawtojdft,sdnasogrrd
-0.4165,653,cAT,-857,fxtlqutypp,0.097,Dog
-0.3455,-778,-459,39,-0.327,456,0.2605
-834,-0.2395,ovbjxfcagj,-0.0025,0.1555,360,0.438
660,-0.476,DOG,mrucmfwagf,-0.3305,0.185,ebclkyxkjg
cat,-0.389,CAT,ohkuuqedkj,-368,ynkztcgrzu,0.2375
0.434,-123,0.4095,0.022,gyqrylxrlm,CAT,249
dicrotmmjn,784,iycsczucli,-697,52,0.4035,-0.195
ululufngjb,lqrpeskavy,-0.2745,nzjfvwluvo,-0.1995,lzfzylmkvn,nqkepippqf
cpoblkndri,Dog,rgfrvwkyzt,0.3165,DoG,pajnydlpqp,zwipxbnwvb
ybqibgjuwc,-0.109,0.0515,0.0795,CAt,qmslnrxeel,ysryleimsa
301,yespnjsjwh,406,otvecmbvny,-0.3315,qogwadknqn,camxxfsfro
0.1995,whcruvdvfl,xegtksbnmo,-942,454,xidduymxix,xjpwwbifrx
436,959,endopkotwm,DOg,913,caT,452
kjwgyqttoa,-0.2995,DOG,0.2705,517,-842,-0.236
0.148,0.32,-0.0735,0.3085,njzapdlkuj,0.1555,xokgsrhlrl
