nxnppvzdiw,ogateiagar,ypkpzizkhb,usqlgcrvae,zcocupofod,ifuhxlemig,lzduqspcli
0.1395,760,DOG,-0.097,989,-0.004,-468
-0.335,vghrohcpyl,uwocfqprzv,kxtrhhtcvl,624,-760,856
CAT,hzjgbqtqqv,0.1585,0.0275,806,62,-124
249,749,-914,-965,0.213,71,0.22
gcvgxbnbgx,0.332,yecgbmfjhu,mhegqjaviv,0.123,rvgevytdkd,-0.3735
580,-280,cat,-751,koqhtthwes,DoG,0.3275
0.265,ocuejtyaxi,DOG,DOg,0.229,cat,-407
ivubgmrxjd,zfzoafuebh,cAt,0.0205,36,-694,tnxnuhpyrz
-778,-122,jpyugaghht,Cat,0.112,iqcthlsuke,qivwyjrmhn
680,okpuoefzab,-0.09,cat,-0.3635,-0.063,0.178
0.1505,mvrxjkixiy,327,0.41,caxwsjsmwg,492,vzqoiyczkv
DOG,-0.449,cAT,DOG,pyflustwzn,-0.092,CAT
-575,dzmbxlrjiw,-586,-132,mhacfupjcs,0.458,caT
krkghdetle,-884,549,khdkimigmf,-96,587,530
-275,284,-0.273,glmfnlrici,wiuhbiptuk,-25,573
1,dzzbewjxfs,uvvuxmehcg,0.441,871,-639,antxsddbqw
0.406,-591,0.191,DOg,wofssiheyd,0.32,0.126
-0.3125,xxaypwrdpu,gnmsrbezfs,52,cAt,xgqhcmjlaa,xtoezchams
cuelxikrpm,0.193,-0.301,-638,kxozjnpckn,-760,0.055
dOg,-0.452,nvrsymqncu,cat,778,-0.4575,otxrzjnekt
471,xozxqthvie,burwwfbiqm,-276,gxtodsexap,498,-0.143
0.2945,0.0595,-394,bgazajcibo,hjaivsgqbo,Cat,pkhlchiukc
usphekdydv,-0.1265,737,hodqnuwnar,-0.1085,-95,-0.4385
-127,-0.415,zdjckorxyo,-0.157,DOg,lqaghshyeu,cmvgkfvnit
caT,-361,-786,gscupkmcjt,781,0.005,998
-0.324,0.2155,tltmauustq,0.2875,0.4625,-691,494
CaT,caT,tsqkssrpcd,-0.423,0.3985,Dog,404
dpdcjhovkv,-0.067,0.0515,-342,-75,734,DoG
ruwjoqgcsp,cbzykcxwpw,tmypwuuqqp,wwtkdhnqjj,0.031,CAt,exlzukqqdd
Cat,doG,385,wocvjozwqz,-223,-978,DOG
xwilymupda,0.2455,-0.248,dog,-677,0.31,pdsjexraob
trwvqlqxcj,dog,821,dog,pdiifupvuv,DOG,290
