ldrktggyet,wrxscyjwha,vyqwjshpho,czgofledeu,lzkvncemqx,trpuepmpge,abivzakhfz
0.3735,0.022,0.466,-609,mezcrkbbqd,yndeuunhnk,bunxizvaus
215,qmcwmorgvg,vadiekuctb,DOg,-727,lxzxzsgtfb,-707
fbmzuexijv,968,-0.4915,0.304,bumegwchkz,0.0845,0.361
-0.4075,-819,0.349,-189,438,doG,293
qsykvinrfw,CAt,0.274,143,-0.1105,155,849
723,39,-0.4685,-0.1155,-0.0885,489,-0.3175
alhgpwgmtx,DOG,0.499,-0.144,-477,fgjkzwjthg,-533
-0.3745,-309,-474,208,Cat,555,lejyeditvk
ztnxptmcoe,-858,-0.147,0.02,cAt,210,-959
0.225,-292,0.2155,xzbbcgjiif,-0.1555,310,caT
rlbskkjben,0.3955,nqojqfvxzc,991,dOG,22,Cat
sucicsmwsj,182,pwfdjubdzs,kejbqkpgko,-664,711,-385
-0.1785,mxhotzafzy,960,-213,aimzhmaiqq,apmdmvktbh,adzqmuazcl
dOG,-0.1495,Cat,dbnppmpeil,Dog,0.134,hireeuriyz
