qdrgqtdbeg,gpuwqdytgk,vqayukwsex,utwvciymhi,vdmvwiykwa,jemrbbdglj,bgsypzguzk
0.387,sctpwoqsnw,-535,eptyqgvyca,-537,-0.2355,-0.2755
0.4185,-0.092,iljzphaxuu,428,ulgeqohybx,dog,-277
xohkchhpvb,-931,68,vfbcsddlsj,268,-240,caT
0.3045,790,-0.3265,-949,-0.1315,ymsslpotes,0.371
0.4735,0.0655,aayuqkghar,-0.014,-0.2925,-0.0015,dog
cat,9,0.4595,0.2745,caT,huruvlchak,0.4545
-597,gvxvcypofd,mxuioznhbj,504,dog,-517,0.248
0.1305,CaT,CaT,aigcbjohig,dog,0.1425,evkwadaojh
DOg,-0.248,Dog,-933,crewbnzudr,0.1795,cfootynoxh
0.174,-656,rzapjtvtde,DoG,xaabboehjs,ndazkthzpf,DOG
eqkgopewxu,qnvnyxfpgv,918,973,163,vahuiudhin,-0.1105
doG,-0.128,Dog,292,502,CAT,-296
356,cat,dOG,sxzcvqtsvx,-0.0585,866,151
-43,fohzrgijqa,0.2645,-0.0735,-0.256,vnvyjpoivm,DOG
0.2695,-0.1125,uzhcbdyefc,doG,867,-930,0.4805
tmzdyafniy,jiotrfoykv,DOG,DoG,63,-13,0.485
747,-0.3285,522,-0.2665,-0.3935,fgiehwwrss,-78
cixigrljuw,-0.239,0.173,cpadlpwkpt,0.221,-946,-274
DoG,tobvldktiy,-346,-533,-116,gthdrfypgc,0.1505
-4,vukqqhfvac,0.422,810,0.455,-771,dog
vxoxguqdes,kezjhaespb,0.4695,-0.363,0.054,srlfndnbbj,bvnyevmmlr
0.2425,-0.155,doG,0.009,cAT,CAt,haqxancnpg
0.395,dog,-639,yjalbryyrq,tjfazbfmzr,DoG,136
ryacznlluh,clspwikslt,947,0.068,DOG,euzfdcynfw,-633
102,-0.407,jvzojvznaz,813,caT,dOg,0.104
gzrbttxndx,dydeikgsdt,cat,Cat,457,-0.407,0.4825
-0.4945,0.1625,-0.428,wssfnxntji,cAt,-876,lmadptaxmy
DOg,-390,doG,-0.113,caT,gonqsyuyiy,262
eekwxqiwvx,caT,dynbxmbboc,-0.368,sfxuoybmxu,-451,pxueevcomm
pnhnqogxdr,catwlkbike,665,-135,437,-0.0145,0.341
Dog,-220,11,-727,caT,doG,kcgmngoyac
-0.0905,-452,yrssywiyvb,0.3475,uvvbkauszu,CAt,xqhnybvmuo
-42,-128,DOg,DoG,mhykdqpxdy,-0.2,-0.1045
-0.07,883,334,eiggoencoa,cat,tbpdlvgkhn,66
qwfobpeygp,DOG,rivoiyimik,doG,DOG,0.202,doG
ulzagrvgsp,iuscxeupmc,Cat,otoekywyyn,zewpgjnpsb,DOg,1
266,-37,-480,pmlihdbnsk,eextadtyjp,uiboovqjpk,0.0725
mzoiuoibez,yeghejyyka,0.387,caT,eknwpcjkhy,800,0.2915
-630,dltvvesvfs,CaT,tuvcqfhvhi,xxowosvksq,-470,-0.1405
-0.381,wxikkzccwy,hcmmtprcip,-74,-0.005,CAt,-0.496
gifgvnfcgx,jsknkirvvr,-857,mgyussyicr,-0.1695,0.1585,-0.2425
