fxlirvtexq,cemxzeqsgp,jzkucikqsu,peT,fojhusegmq,aybrgkjvwi,ifnlvmqznu
DOG,-911,biecodlnow,Cat,avikugxwqc,539,ppituzsanp
0.06,0.2315,-0.454,DoG,-988,133,-420
369,-0.152,sligkcgwhs,Dog,CaT,mnuqbwabhh,cat
379,328,-342,Cat,pfigozwnhs,imxnwfgvmd,gawgehnpqx
onbhbdadvs,voepsqcfes,0.06,174,DOG,caT,kpvbmjszqq
761,yvfftkxtqb,-769,Cat,dOG,Cat,-0.1835
0.121,ngxgaxydcl,-716,0.3985,caT,0.4405,-0.4585
-0.2855,spyllsrjqe,xerfqztqsg,Dog,-924,0.426,432
wujgxndclh,CAT,-0.4985,CaT,-813,kdvzmqowaf,CaT
-0.4325,klizyiqmyh,doG,-857,0.167,dog,-20
orczkgxgfw,dOG,-0.184,-261,0.37,-0.1595,DOG
cAt,-0.4255,-0.004,-600,985,-212,210
-212,dog,954,caT,327,442,wakaqpgofr
0.3495,0.021,pqvzuoxfgd,dOG,caT,jwpstvtldm,DoG
0.014,zscjxijrhh,-604,DoG,0.0905,cAT,0.1415
cAT,-331,439,cAt,0.2005,-465,ckaccetykh
pcctbpdfhv,woowllxqjx,tazrqlrpgs,dog,-543,-0.3365,-412
wtayystcgu,328,-0.172,cjtjogkudv,-910,-426,0.176
-0.0825,smyjlaoqsv,-319,dOg,-0.156,0.045,-929
CAT,dywstfipfw,sqvbpgtjnk,CAT,DoG,spwchhadjp,191
577,-0.4275,mvfpbkgihc,gchihloipm,0.102,-0.053,Dog
-0.248,0.3555,hpvedsqbkd,-0.391,skmdfxlyob,cAT,dog
wddqsuqytq,-359,flidsbjjmp,CaT,qxtqcwygoz,spcjclogit,sheunybdfs
dOG,-342,ygmabjkmxv,-0.4505,cAt,wxwnersivy,Dog
0.4635,0.2085,xlysmwyzio,whhyggwbaw,lyqdnamwiv,296,-564
0.2375,doG,-239,cat,qtwvfnyynn,0.267,90
dog,407,-0.1925,CAT,Cat,dOg,dOG
-465,-488,0.486,dOG,11,303,-0.219
379,595,-0.136,-603,-875,258,cAT
otisxgnljj,573,-0.194,doG,0.3725,-0.3895,-0.277
cAt,-0.4555,0.478,fihtkiexpj,0.0335,906,0.3625
-0.0745,doG,-356,cAT,cAt,pwvytkbuub,nytljxwkqx
-161,0.3155,CaT,dog,jcgaxcvgnv,pbonnjixof,351
tnxjymycnx,drvzkpnaqh,vkmonkqvvt,dOg,0.4575,-354,-94
247,xxxivcwfoa,-887,cAT,-0.136,yqhnngiibc,zmmdtcuazs
nzfonugtuk,lgredczlbi,-0.3235,wcgsvrronh,-353,0.2275,0.208
-0.168,dkfxtphszp,bpgzjjmvxy,-0.368,997,-0.2285,Cat
0.1625,0.399,-0.404,cat,mfnwnlzfje,-934,lbdjaagvhq
-18,sxwsxfnvoc,tryzvmrpmy,DoG,-147,479,dOg
0.267,hhbugbpsjs,-0.172,-110,rgvflrhzlh,-437,-124
0.0415,0.414,cAt,cat,xebwtrcbko,-124,-0.2705
dog,0.2325,eqatqqixqu,-0.1595,0.3805,dOG,-45
cAT,dhoetignbf,-0.39,Dog,0.4185,0.3145,rwafuqxpoq
-0.156,mlncdwreyp,0.0675,CaT,DOg,cAt,0.4695
dog,doG,-47,cAT,adhzsyenyt,0.0005,CaT
cAt,texdlngdyw,esogntqwks,0.1375,0.199,777,-0.3915
cAt,bnebtrombe,-751,-727,0.2615,hbwbcjibec,cat
spkgwidjpt,-0.115,rchawalbat,cat,qzqlnoqana,-0.31,sdxrqiczmn
-163,-914,doG,cAT,osyqshcukp,424,-0.364
eiacfzrpps,-0.3245,fqjvfubhen,cat,-0.0585,-0.026,ohfxazcfnf
29,0.278,yquitzlkux,Cat,sznaacefvm,Dog,412
tgexlffydo,tqkljpcwrk,gnnmgvpbds,cAT,0.315,zkpsgfoomh,aecfcfhpqi
nyhwghqlds,tagqsnsxph,doG,DOg,cjyjjqndnt,yioksinfnd,wtnikucuhv
jmezxgjiyn,dOG,469,-43,caT,-0.0105,-0.264
0.3935,levqwsvkdj,225,cAt,878,963,511
cifksdqdlj,imnubrookd,0.3715,DOg,-908,-253,0.2285
-0.494,-0.215,-0.0585,dOg,0.287,0.0335,DOg
dog,-0.377,-0.2525,dog,820,-107,dOG
