eayymlvwuf,pmxenziimt,cbryhwpkhn,nooeywrucl,mjyxdbfrxw,qcejulflwk
-0.0125,-462,0.36,0.4235,Cat,-721
DoG,828,424,281,ehlvnzwmxr,-0.0735
0.213,-524,-645,gnpzywgzcp,uipdyksuhl,-0.07
-0.273,-0.0445,-0.479,dOG,0.0335,-496
0.109,-0.4115,-21,-172,0.1095,0.2705
CaT,-818,-351,469,cAT,iwpmiogrzm
0.4395,10,-269,0.196,-0.386,-0.1775
-0.254,gwjchpxlpm,kzbmfrgdzv,-306,-158,-487
-0.0075,545,-0.254,899,494,-0.241
rcsnydrnug,0.0675,462,232,caT,Dog
-0.4475,wbldhduzbk,-581,-0.066,-0.164,0.46
urkutplfwo,-527,247,867,qbdguwczsc,lirfvgzcdg
-335,vulrygdayh,-137,dOg,-0.273,lfnztpyzyj
Cat,idmvedaxml,-733,0.2825,zxnokdegpy,-106
eeijepybdj,CAT,doG,-0.3535,662,qkuwqnsocb
DoG,-0.4015,CAT,qddzmfvqjr,0.134,0.0265
rtsudybfad,699,0.333,-0.185,dog,688
wzintunleg,390,513,dog,cAT,svzcfyawnz
0.017,-139,-0.225,0.188,291,dOg
0.0035,CAT,gosxtwqtfd,0.404,0.285,cAt
0.1695,498,46,psuddvkmtv,-0.4495,-0.192
-0.3655,wkjgoencvb,-0.2105,0.1015,ffunudvant,kekshziasd
817,0.0875,-443,934,0.1585,-0.3545
765,nbuphyuypy,838,ddghyugtbo,dccsylaseh,-0.345
qvrgdlxrmz,atysdfrijk,0.2105,-800,hwqkklepxk,-995
780,601,-894,-0.405,lmtedajard,Dog
-357,lmsatiqmjp,0.097,-475,997,miuyzmjyyk
Cat,-0.279,0.1445,0.3735,xdraqfvvet,-386
cAt,aqhmjuwhwn,0.2545,mipiclcntj,tqmbhltjyp,dOG
-0.1415,996,sgyztvmfeo,-0.368,929,-669
0.389,0.472,ijvlvxisyf,-383,0.327,-643
tcsvwhvlhd,824,-962,jptmvfbhcs,-0.177,-0.1
dog,583,440,-909,507,qnzgdbobte
-0.0935,CAt,lkilobdscs,ntwnublmej,hcktnxhlwz,634
xgydwknojc,-0.3115,-0.467,0.396,DoG,ofhmevkxgi
exvlbczvgo,iiigszsrua,msrltqjybx,aabdrrpvfr,DoG,227
0.3845,0.188,0.418,mazskxvroe,-0.423,dOg
