Pet,jbhjijxtre,hzcwgxcspb,rpkcgkcrnn,mngptbcrff,qoyosqldzi
DOG,nzxgwhrxqi,-0.4535,0.5,dog,sfsupsopvf
dOg,hbwkogfwkg,jgavrvzazp,-402,jaeovgmhlg,0.0595
CAT,-0.219,0.015,eanmbgjhrg,278,0.375
dog,-983,-193,dOG,510,381
cAt,dqboazcmpe,ltoubltfqe,nmknexbfrq,fxgyvyapfx,rfkybsthzw
agwceckbow,181,-0.078,-923,198,325
CaT,-0.468,dOG,hvjizzluic,fghtmrrhig,dOg
dOg,-141,ejlodydnqd,0.143,Dog,0.307
0.2905,cctwtwtoev,mxbnpxzbaq,CaT,lbpefrijhr,dOg
DOG,kkeyjztfbx,CAt,532,0.2995,-0.3675
DOG,eulzpphygy,dog,DOg,igxrdfwvvv,dog
CAt,0.201,0.141,0.382,0.346,-0.3665
doG,tuchyvkkhx,215,DOg,caT,0.261
CAt,zrmbnaalgh,-0.0445,DOg,0.284,29
CaT,-662,-360,136,0.388,-0.348
-380,-0.003,-0.401,0.262,dgjwwpjute,-0.4155
cAT,Cat,ecenltlkkn,651,wvyxyubqrl,-998
rzewzmqmyc,ceamsbtwlg,Dog,-957,-0.2785,CAt
cAt,qwbtncibre,tnsqnqrjji,0.199,ldcglyhhnz,-258
cat,-0.3115,doG,rikqeagqvx,-0.202,pmpmlgmvxf
DoG,-56,jbfdjwpjib,-0.425,cAT,fjygefqzit
CAT,638,-0.361,cAt,-590,zyeylbthoy
280,brygvtyzkp,-0.0725,701,0.1155,-0.3865
-691,iuwqbbktii,972,201,CaT,0.3655
-0.4155,DOg,-0.0215,wqagtbibxl,325,dOG
dOG,17,908,dOG,-0.026,cat
CAT,diifomytdn,jeedowvbpy,-638,-802,0.306
DoG,CaT,0.0345,bourufyfxk,pdjwrsmfmd,fzfzkxlvml
doG,DoG,CaT,-0.2445,wslpzebvqv,-650
Cat,0.407,785,591,0.431,Dog
-0.4055,ditfiraije,qtuujzuwkn,765,0.484,0.0535
0.207,DOG,sreszsqooq,528,ntaivzkhev,179
-0.394,-226,qtwsjklovm,cAT,-129,0.116
CaT,-0.4475,DoG,DOG,-0.105,418
Dog,-845,dog,ygeabxwxuk,cAT,0.3315
zdddoiqyum,-677,rdbvopfdhi,wqlqrfmyzy,cAT,zddmttthvz
314,-0.449,DoG,tghxbgutds,dog,646
caT,lkcdbwgfgs,wgjrdecadv,-0.121,-0.2105,471
