rnqfbgxcta,scyfvdcapm,nwdxnhrjlu,mmedtsdlfd,hkkdhfhkxb,vzbpcbaypq,zizpxrfmrf
cAt,jpoidexsab,-0.1505,hdoddhcxzd,dOg,jenvkxqhce,-0.026
37,0.416,-0.0905,dOg,-902,-398,xvhktumjno
-183,jpjqvzrfjx,dmzcqyshby,901,259,CAt,DoG
dog,0.044,CAt,ofkkqfqiay,CAT,-188,-951
412,zisapwqttx,tdjjbqcoqg,113,-0.4525,252,347
-0.065,hsqmbqshux,emuqwajvxj,-173,CAT,-756,jklxblstfo
-0.1435,cAT,mfikdppfur,794,sluzlxlugj,xlzhgjhdtl,75
-0.326,ycalszidvg,DOg,iwdpsufzlp,945,tfvcfiqvvy,jeafousbuk
sossejenyx,144,-0.336,tbgzmwxsqm,ssbdkqqyiz,874,717
papnthandd,-0.121,0.125,xfrcgvcock,0.28,dog,147
0.4215,cidmizlmls,inlxvxiilz,dOg,-23,DOg,dog
-42,cAT,0.1495,800,-0.37,DoG,vpwgoujvpi
-0.292,-750,-472,Cat,gnxvtxebdc,lazgkfhxks,oedikqtmue
qllcraofdv,lpewjnatif,-0.064,0.0295,806,251,0.135
-701,DOG,0.342,CAT,nftrhgsvuy,CaT,-160
omwcyjkfbs,814,wihujbzzoe,nmmauzepms,ogsgzvsuap,0.0285,0.2305
0.275,-0.2515,dog,565,0.181,hjudcdrhnh,459
-0.278,-480,-650,qmkmbohqyd,-807,opbmrjwzls,-654
-195,DoG,0.13,pwicnlevja,-186,0.2905,CaT
-0.325,lgbgyjfgym,900,-0.3365,ejpcbhajpq,Cat,vcaxtfgure
198,dOg,mzchfijolv,gefcuwqcfr,0.1415,0.258,322
105,mxkwaejfdb,oumppggkzi,0.0345,Cat,0.2675,cat
Cat,snqfvulygz,CaT,-982,-0.4315,iizsqafaec,ppitacbgam
295,uxghephazi,971,0.0665,caT,0.4185,0.19
0.2015,0.3865,0.0345,cilmylkbqr,zwxqwssslc,0.3635,0.3245
doG,780,121,0.4375,gbvtsebptw,0.0745,864
anjitdmate,-107,ujuztgtqzz,whntqcebzz,-478,-0.2615,phwaqmtjvd
-0.1085,0.3935,covzxvggdo,-325,-0.3125,-0.1905,247
0.3385,CAT,-0.2965,gxoybuszpg,bmzbxundeu,CAT,0.3955
rnlowikoko,-711,721,yyssxcgeqp,zhrhhbfslj,cAT,dog
-729,Cat,cAt,dqrmacafjj,0.279,uqrkhpaydm,dtaisthnwb
DoG,151,-0.1765,DOg,-128,cethojlien,-0.089
doG,ajjhguhdov,-0.279,caT,603,-735,nlagdujdic
doG,571,zwnxjjzvhz,nhpyaqltzg,0.286,-716,0.222
govzbmkbhg,929,0.142,-0.2785,636,uajjvqeyiu,39
DOG,0.0875,236,-972,CAt,-993,-0.3205
-0.18,557,-545,0.487,caT,Cat,464
0.302,-16,ktnmlvspnr,0.351,0.058,0.163,pvwdnpkskh
0.3605,dog,lontmpnuhb,0.3555,DOG,xlwabxyvfb,-0.143
213,CAT,0.255,-0.1325,cat,mimzlzpueq,CAt
-740,-0.209,97,kwpjtjikal,192,baakbmuouj,caT
DoG,246,adsuodxpoi,-682,diytilexec,gvfwsapjks,fgoofnuucv
hiqjuxiyzl,855,0.472,607,896,dog,-0.234
-953,-759,928,0.3535,970,cat,-0.3295
caT,qbakhvrwwh,0.0775,-0.2925,222,-483,caT
Dog,ahdowsovam,-0.1545,sfwcwaktrl,754,575,637
-48,dog,nejorucyrc,-0.4615,yvtfqahtmg,5,-649
-953,wfzxaeydjv,Dog,wmakcisskm,dkxnpyzrjp,hsazcxtzlf,DOg
-0.1245,0.394,0.4725,421,0.0425,nwxszztlkm,713
caT,0.4895,0.2855,0.1015,dOg,cAt,-799
tlzuaaiiaa,CaT,vuvrthoute,ekczuqktdl,isqmzwkgml,cAt,0.4985
