djtlsefibh,lnahifhcfp,iemsofzubc,fschzzgbfq,zfkssqixyv,pggvecymzo
-425,0.476,rssumugbvh,-620,-0.3985,xzjoesuren
-464,cAT,-748,lxdchjnzkn,0.304,caT
-0.138,nyolvvjvxp,-0.1345,pwwbtwwbbt,ljsidflkhr,koxvwjmtzh
edpwnatxxn,889,qyckmvvwuc,DoG,0.2755,Cat
-10,mrfqezugoa,ztuoqczmrv,-216,207,kldncgiyxi
cAt,pfjzjpgclv,lqsrtmnpbr,-0.441,-407,856
cat,0.2765,hjoshunode,0.1755,-0.0435,pgcafrxlsh
0.3805,-346,-0.0895,doG,cAT,-222
0.2935,-0.431,-0.338,ygdsntuhqd,-771,-941
DoG,0.035,cAT,509,noiqvlejqe,qrwqoercdv
tdskioaxof,-0.44,0.0275,doG,CAt,qbmiupkeie
cAT,cAt,-0.3475,-518,CAT,-0.216
qyurqqkejz,-0.005,0.3835,682,-0.308,-442
-0.426,477,oicjxycxse,bjrkghxstn,-0.3385,ohdncchkbo
-283,0.4595,DOG,313,-611,0.029
0.2965,cAT,Cat,dog,qjxdnnzfts,qdynuhbwxo
-0.295,-132,CaT,-837,-212,210
512,mnypbfjcsa,pzhxvobzka,0.2115,Dog,buzmaoancs
0.1,cAT,fbrihktqri,Dog,2,xnvxngrsxk
hulasedsmq,-577,-559,-0.4935,ozeucitzvg,167
-618,-603,507,-209,-0.3985,-513
dOg,-0.46,0.099,jdtboirmyi,phabkbzhve,-795
CaT,xgwaqouuhk,279,hwiwphsbuc,753,icrkcupbfu
935,808,jlrdouivhk,464,eztuitcnlj,0.473
-0.1115,uasxtaqqdd,CaT,0.17,CAT,-0.0215
-0.317,-972,0.4415,cAt,nncvuhkczx,-0.2735
288,-673,358,-0.146,doG,hwzjsfsfgf
dOG,-842,2,shisnmumxj,-0.3405,124
hqvfsogvhg,hjpqjhlxvw,dOg,kgktwrezij,cAt,-0.1
cAt,-13,CAt,-0.1725,-0.152,ywguigagsn
579,doG,DOg,-872,cAt,666
jyeibtgfvc,0.4685,10,pkpabicdxo,-0.2565,subxukxewg
903,-0.467,CAt,0.134,cAT,cAt
-347,gwqzhmaees,0.1425,-15,338,jobmyeliui
