ldsvuqflgl,roswisxges,msaycgpdwm,upjcyekfgw,gvmzhsohle,uygnanpcvc,xxegrogmhx
-256,gzjwheihvm,CAt,-0.025,0.1765,-141,hfcidzizls
-0.029,flurgsnxtf,yyquulzjea,-682,caT,unjvdtaiyw,-0.22
0.0265,926,doG,-864,-0.2245,yyhqazsjzq,940
bkbwkmvmnu,nyuonrjnrd,32,nurdothodu,ezzezrenwc,602,rlanxfjfjj
-0.327,DoG,0.358,-881,dog,DoG,-856
gaqpwdmnnp,-0.4935,0.1505,67,842,gkrwijfxha,-0.1605
187,-0.1055,Cat,0.347,wcxkjwxdaj,gdwruhbtvs,-875
izmbnwculv,751,Cat,pwqdnykjvj,-0.2065,0.2925,884
500,mfgvzlnmpc,364,981,0.257,CAT,rmznmmalqp
-0.4215,-0.467,bekkywtxnv,cefzyfkfdp,0.156,dOg,-0.057
fgvyxqodph,njfrngakej,-411,dOg,xjlrczjhmr,0.076,cAT
-201,jkzmydains,jfehljgdkt,sdjrmpbjga,349,rlqlitdjtv,0.0335
-35,otdlmvvuqh,-750,0.3185,-0.328,cAT,-0.452
0.4,-0.038,bfgsxqfzos,cfvcqvgppf,-0.3105,-847,-647
jbdnmzyzau,quzsurlcsk,oelngbrvyy,-0.231,-262,0.2925,fswjopeqva
0.4255,-826,-962,jzvqpqtbxh,-495,0.4765,279
0.0545,0.3395,CaT,212,-781,-0.044,0.2585
caT,0.4865,hlubeidywo,151,bdqbxcbvya,0.2905,bvzcqyezjf
405,-829,580,0.336,-0.0915,uounjoybuu,-241
jzofjmuerv,0.248,dog,-687,-0.296,mcdypoklza,upaokdxmkw
jgvfhfaeiu,CAt,-665,fhjywmedtj,382,0.3085,857
-26,25,dghtjgvcor,caT,0.073,mexujdlvhs,-480
0.081,0.1955,0.407,dog,0.3065,-625,pjajsaxncz
CAT,axvlgqakys,xiskhqhcke,0.45,871,0.4055,ptysyiminj
-0.448,-0.2725,prnrmzmbwe,-0.195,0.4355,-0.129,-106
CaT,znofsycoqz,0.079,-597,-0.0875,dOG,0.154
-402,0.255,jwrrfmkyxo,kycvtnkkpl,102,0.016,80
-154,irytxwzhbb,-281,730,lvuwyuyxto,593,DoG
-0.0795,-0.1275,-66,-0.386,urzrwopvsr,139,cAT
387,mretqfhkvm,nqhlqrpffi,0.0985,-0.147,0.2945,906
-0.2675,370,0.354,0.084,0.055,tteczbkhnt,300
caT,tmcabmqxlb,-562,0.1245,-0.1225,371,caT
-897,-344,caT,0.246,xstdxkxqya,-464,-0.2425
vmhefimsjj,312,0.305,cat,-0.458,669,mhabpdbccg
-0.1635,caT,-637,CAt,DOG,-0.4815,180
-0.146,0.309,DOG,-0.2475,0.3115,987,mrlobupraf
ivzkjeabvo,xouwpxobyi,-427,0.457,4,sigpebubyu,-0.0175
ouhdqplyqm,16,doG,blmdkbacod,Cat,0.103,DOg
cAt,jenpjgynfk,CAt,0.469,nxoelxjust,cAT,CaT
Dog,CAt,ztfzgndqfv,iucqjntaki,fvovwxnpzl,DoG,-852
