ajssfpflbd,wgobsucoql,usxpqzyhrc,edmmvyzeor,tefdcssfvp,rjlkrxgpfd
CAT,Cat,-571,-0.278,wsjbmsuxdx,-0.335
0.3135,-513,598,-221,-0.0515,-0.373
Cat,529,-0.138,-588,doG,0.206
0.456,-0.266,0.3455,775,-383,oxtttlqljx
-0.0085,-0.19,32,xvdoblkpmb,oajxfksdlk,muthswffpz
qajpoqnbty,hcybnoppyc,bbkazotxys,dekvtkixku,cAt,DoG
-0.4585,qynyrgxawk,-707,jakdmldprh,cAt,DOg
-84,-0.4265,qovidfwwxq,DOG,gfngbmexcm,jpiokykbqz
-716,182,-968,-0.302,caT,-69
-0.4825,-187,fkxnbgurev,wksfvydfmn,191,-0.014
0.4005,-0.0375,888,-730,0.2,501
-0.3635,cAT,aibrdibadc,602,qclcozzqtu,-504
DOG,0.324,0.1525,yfrnyiixev,bmfjbfbgas,DoG
DoG,fgvjcdymxg,cvvjbfwnvn,puaxohclvw,824,cxuckminfy
jerpnhszzh,dnkclajhvh,edfjigoteg,kzokcqifez,eismfdztgn,bwigyoqlhk
-859,orszsnkwzf,cAT,uqbnhdocho,ahtzeofnko,pssbpoecod
dOG,-670,kpfzskzeor,0.425,CAT,jasehhcddp
-0.2015,-0.126,-613,713,-0.3185,dog
dOg,nrllafjqvm,cAt,395,-0.181,DOG
DOg,fbhyajrbba,208,dOG,tbkqtlajjn,697
-158,witkzcbwki,626,-0.058,ebqhroevly,dog
bmlnrtesfd,-415,957,806,-220,-0.037
xyqgscdvid,0.485,bumtcqocwk,wpsdalorta,dfnbcyqkpd,-661
0.405,puarwrcvqs,-772,hlwsmsuqsa,0.3275,-0.2895
0.4225,caT,0.113,0.3005,lhwhuyetxm,-68
aqxgahxmve,-811,-0.099,qepafxwhah,hxfquevqvd,Cat
474,0.4445,303,714,532,181
ucbhzhegsq,dOg,853,-0.3485,51,hevniohhnb
DOG,0.481,-0.4935,-284,0.122,-0.4815
ajmffniyte,-0.2325,ktjxiwmrwu,249,-994,dog
lkjegbdohg,caT,-0.192,yvjmlsvlow,674,0.1515
-676,dOg,609,-0.473,bautvkdiom,apedisqfud
95,ortpddrogq,caT,bdcuzrexps,doG,igugnarwfj
743,-755,578,0.117,phvybesyti,dOg
703,DoG,831,-0.3115,kcghpzgtqv,dvawftxjzp
-0.2805,DOg,184,605,doG,458
-703,0.1985,mrlxhdyyod,CaT,zyjbpwpfrb,pplqhqmgbi
whzytwxaam,DOg,bmkyeovcep,644,dOG,-588
0.069,-0.0935,0.198,ioauttmush,796,0.105
dOg,0.0065,-691,-0.132,dog,CaT
Cat,-0.277,626,-268,cAT,urnwjqontz
0.06,jxhzjciiwy,92,0.2175,-0.494,0.424
-0.08,izyqjytlqd,-346,0.4465,-0.119,cat
-506,djghqccaib,njmxzbtxmu,0.3975,DOg,btfuwromhu
Cat,Dog,-0.4055,uihomwuprm,dzztyrjmxu,-25
0.4415,-699,0.3115,-966,-0.17,iaxfbzjqbv
yxsqvqydgr,0.0425,-779,bitfjipcpd,-402,xxmtlwhskp
-643,kjgdndsaua,eohtvismcr,382,476,jshiadiokn
