ysbmisgeib,wqhbsbybsr,rftlatrgya,crfwcxgxaz,khtowqqbkw,fmpazznkpl,PEt
0.2855,373,vcslviahnp,rckzegftqo,271,lgzrrjxyoz,puuyqblpeu
-0.339,-777,0.395,68,DOG,Cat,dog
dOg,532,DOG,ufqfkyqiyj,CaT,-0.338,-257
yziqzdqhlp,-0.079,cAt,cgngajsybr,xlvzwwmzuu,-91,-384
0.2975,50,caT,-224,DoG,DoG,CAt
-803,hmopbgzrwl,ostrkwxcnb,0.1595,0.187,692,-0.2195
-0.052,-348,CAT,clxuxlqnpg,sfhlwnekak,-334,dOG
gpgbozjgsi,-882,CAT,629,383,560,Dog
cAT,476,avzxychlvu,-701,-0.299,-669,cAt
evgxlkdkvp,0.406,-593,dOG,281,DOg,cAt
msuosazegk,doG,639,loyqekzipx,-0.2335,-436,-983
veigfhsxzd,0.398,0.459,517,176,zcbypanyms,DOg
0.447,CaT,bwisfhumnr,492,-187,vaqtpvvclb,Cat
eurwckiskk,842,CaT,bhyujetzec,-8,-0.083,caT
-0.494,-255,fusupovjph,-997,CAt,cpotfptmfl,0.235
38,0.3595,197,-0.2895,0.4825,nmwbpdkpxz,caT
-931,dOG,dog,ffbidumltg,cAt,0.157,558
179,548,cat,744,-536,xwtfljhixh,dOG
0.3955,0.477,-0.177,lxvcisyvba,gvcdscdodi,550,CAT
Cat,-0.28,-212,-0.012,0.163,paffblhaot,cAT
cAt,454,-428,-0.0415,-0.2985,Cat,cAT
dog,yghplrvtvr,khcxcedjjz,-317,dlipljypbp,DOg,Dog
452,195,nmkqredpbf,dOg,sbhpsylpfc,ilqankfnas,CAT
huaobpmngk,-835,-126,caT,-782,-838,-0.1395
djmjokpvqb,xgtigapnnv,oeqteygaqm,CAT,Cat,DOG,dOg
dOg,dOG,0.1205,CAT,DOG,192,njtmmgpxyj
809,hmiuhxhyel,awhamzhzzg,dOG,aqmxinsczn,caT,caT
-55,0.056,0.2775,uzdxfmwsii,ezuiwzmqnd,-0.213,caT
pdefbvhaxt,-0.2475,-437,0.379,tvflujqnog,lgclhddmsx,dOg
-675,qrfnjkqswh,0.084,660,0.448,cat,dog
qwkgivepwx,dOg,323,-265,cgccixfocl,0.1565,xhjciheyvk
467,zwoxyolahh,yfitxrihgs,doG,173,0.311,-981
-315,211,rbsaaluqge,443,wuoqtdrwuh,cldwmkjlxu,-920
-0.0735,0.3245,tkoizqijkz,-642,uuhteoqsxz,oqujxbemzy,dOg
DoG,-79,pddddxaimf,fndlfuqair,jxidfstvar,-0.4905,dOG
0.416,dyuecdrocy,-0.1535,0.3315,DOg,0.347,dOg
0.493,-0.293,-599,0.3955,0.4525,sfdcijogyy,Cat
-0.362,0.284,-0.469,fumysqkzlq,-729,-300,DOg
touoxshdwa,caT,0.282,ivykncifvf,zvmquowikw,671,Cat
0.0355,CAT,hcwyibmhdg,-0.2715,353,tllbwozzir,dog
-502,DOG,CAt,-10,915,-0.35,-339
-0.4165,0.22,CAt,xiuriludxj,-0.0655,doG,caT
-0.2635,-123,124,-146,dOg,stfieufaed,-197
doG,420,-0.0475,-543,-932,-319,cat
DOg,doG,bpuzelykbs,0.364,-472,819,CaT
-0.4115,-328,gposuygwbu,-45,579,DOG,kyentkybee
doG,pgbudrubqx,0.4935,Dog,-501,gvxxncjexk,Dog
-0.1295,355,Cat,-0.4515,rtddbosyor,vsgijsfwbi,DOG
606,CaT,0.4115,okefclwmba,-461,-0.484,DOG
doG,-970,-700,-423,hqexpyeedh,cAt,cAT
ueeypesemq,DOG,0.103,Dog,CAT,0.4415,DOg
ivemrmefrz,cAT,DOG,-710,-541,faphzrlrzh,DOG
vuxouvyusw,0.1235,wbzxbgtvrj,0.463,0.278,454,cAt
0.1875,cAt,cAt,285,cAT,334,dOg
caT,dog,gdfmljogwp,dOg,0.2105,-0.0855,568
581,906,Dog,ilhpisyqsb,0.3215,-548,DoG
-868,dOg,731,-0.0135,cAt,vpuhdhzeyk,dOg
436,keullbgtoc,573,ostyxptfph,CaT,jslnbcjyov,16
-0.2345,lpmmddbpeb,etndsaynsa,tzgbpljhzb,-909,-0.1155,Cat
0.0665,364,0.107,tnqyfvlnvq,dOG,utwdtpmoyb,CAt
0.0115,0.1035,mkmvofjeam,hzhxnjtebz,0.283,-0.1125,ccgvskozhw
171,zhjvnwkila,oqwadnqefc,CaT,-0.0825,-468,cAt
