qdreilxhuc,mkboppfrqr,adbmvhsdwl,avsnmtvvyi,fjhxafpedg,xfacoxnfir
CaT,rxohqfejay,0.4625,-289,481,wqdufqrwgi
doG,cAT,gxuhnncvco,-381,DOg,tcpnbvozsh
dOG,CAT,sdqgjwtvav,-804,0.3725,atyszdvjke
cat,761,0.0025,-659,yusdzlxkhg,0.38
96,0.205,hnmtcvducr,qdxzhczczo,281,wqmwzzhnod
-873,-798,-0.4015,fcebdlmhlz,0.318,-361
0.1195,cAt,-73,-314,886,dOG
Dog,205,zcadcyzgxm,-981,604,beifdcfown
0.365,-0.145,ywkjsmihmq,wcptkgavwg,jiaklhpldd,-0.423
933,-810,0.0735,-192,-575,DOG
vlymckhttu,bacstbyajx,-0.486,qqondaqjtm,DOg,0.125
-755,0.0205,0.273,kwaqesctbz,-793,-609
-783,caT,DoG,qxlponoego,0.3185,-0.4105
-893,dOg,537,611,kmmsndkrch,-0.1685
0.297,742,-880,0.056,cAT,-609
CAt,0.018,wjbjaavkoe,redxxxcsax,-393,oxfvmsuzjw
wwxcvmffrx,0.498,-0.324,-0.219,0.041,989
DoG,DOG,954,978,0.479,qdlmoolxee
47,qxrokapynb,przvoxscqu,ktonemffbw,-574,qoqhoverlb
hznoykgadn,zjqllttaya,imqgfvzipv,vfvhglabva,0.322,oyurkqadhl
