thnzewmnsk,fiapytvnbv,erhwccblqp,ogvkoklbss,quukunrpes,bnfmvwxyue,pfgtxnohdb
brrbbbbubs,CAt,-918,-0.474,-0.373,0.157,ognkkonddl
0.413,baczbewgvd,-0.0655,491,-0.076,dOg,obdygayndc
457,tcimmdgxoa,vvrzlflpuk,0.1875,gowqrntvkj,niicgyihfa,cAt
-984,-59,763,0.2185,hvmommgzex,orlgalidzo,jivzvefprh
gftdeslxcx,lmwxuyfabx,-0.094,-0.1385,0.1975,-383,0.075
dog,dosdjlvoqr,somswovpnx,qrftqvkedy,CAT,cAT,nwpqdbrquz
-426,0.282,cgymajnbfh,630,qfelimiukh,-61,-0.4915
cat,-0.2275,-135,upklpfktoy,CaT,phvujaxniq,970
qijvesgltv,-0.317,ribehpqvee,-282,0.0765,caT,603
xmpxnywxha,353,Cat,caT,lwccigchyo,866,-751
dOg,297,0.0865,-41,-465,0.142,-0.254
-0.205,malmnxhiil,0.001,-371,198,cvxxqsavmt,-0.0565
cAT,0.213,doG,wtoxsiwvxb,cmlxahirky,290,220
290,831,amazlpfkyg,75,0.417,ilwsbhanli,-293
iyxwilnqtu,-0.411,-0.276,DOG,0.237,176,-0.174
cojcyldbsk,149,fmnbyockke,ykzhjylxeg,0.4425,oaeuzoqtbc,0.3925
-595,ihiegvgree,cAt,0.0565,ogjhshbklm,rhkfkoqefv,Cat
0.123,856,707,cAT,-0.1665,-952,0.463
Cat,jvotvladgh,298,689,894,Cat,dighduaouw
-978,-0.122,cAt,wnxswrohpw,xshglelqzj,-0.3345,0.376
-240,0.1245,zdbgkzkjkz,CAt,-504,769,euqmfczwze
-747,pvyujioudj,-0.074,-0.044,jwjohewaul,nhxsqdstxq,296
CaT,clgexylvzy,-25,qsunrmkdza,lrlxyqheau,faimboxjln,727
uykmhutbff,0.364,-0.176,zwwunobicb,CAt,uwveotlxjt,-0.3275
0.058,-993,264,caT,-107,cAT,ywoedomqhm
-0.035,vdupdzsguz,0.358,Dog,566,cAt,-0.255
qhcteuyeoy,0.333,zkmilkvzhj,rcvsoyrkgf,-0.105,0.415,0.446
0.191,-0.145,dOG,-0.1235,jhemkpabuu,0.1535,cAt
