tkizocpebc,ihtrgfhtmc,yzyaizaacs,pjlmbuxahx,Pet,akayabsqbt,qsbywoleif
0.0055,523,tcqqouqbmd,CAt,DOG,fpzfyjqpxm,jvscoeybsf
cwfpabhvem,-0.0655,-990,fkgihbccql,doG,-0.458,vkpgwjwyrm
pasevhikhe,-223,rvtthaqsit,vhdzqeyqgx,CAt,dqtwrholqx,916
-621,cldfjfavij,0.013,DOG,cAt,941,0.4925
-996,6,-0.1505,dOg,cat,CAT,cat
jxwzsayfbr,0.34,wlzbopsfdc,0.4095,CAt,CAT,cat
0.168,-597,nsbivlfscm,0.0225,DoG,860,-575
CAt,DoG,0.399,-412,Dog,965,iajeuczkaw
0.386,-829,-0.151,jurieclctk,dOg,941,dOg
tdxbtlvqss,myplxtouwi,ybxpqfmpmr,996,CAT,422,CAT
-225,650,894,rhzwfweegl,CAt,774,-0.125
-0.4935,toxjassmps,-427,yakgjmepfb,doG,86,dOg
375,899,jrluxfpdwy,426,cat,0.3815,0.414
-456,714,-0.0745,cat,-867,-0.1245,crayohrxdn
