mttccydhbv,ltiiofkggk,uianojhtvo,pndbhvtdxa,ilvwxoxdwv,gwxwmrksya,xpbpuiuqll
0.318,-777,0.4395,xxtiegjjza,0.318,jdxvpxxmxo,btjzbltmzn
0.4435,0.3935,cat,-0.435,648,-817,781
pkjwcibyxu,CaT,0.442,-0.476,0.479,0.3235,doG
510,996,jzmgvfztnc,-973,rpiodsblpj,-560,-914
rnoklnkfjl,507,0.2305,CAT,0.02,doG,-0.0145
0.2285,939,0.361,0.1155,808,0.119,-0.119
axnlzxoyud,lpcgpzlxpt,-0.1775,tdjwbahsfw,319,-152,qvyytjlmjv
0.4035,-342,CAt,-604,ctkacabwih,0.431,0.4195
mgqjhoejoz,-76,doG,lzfmjfghuq,cAT,0.246,-0.1995
-801,-0.3295,dwoeoacsdl,-809,0.344,cAt,734
cmxhloehqb,-0.229,-0.0875,-0.3685,496,DOg,doG
jjjnblgtva,-0.0375,DoG,qsmzecbpxu,585,bqmnginesc,bcxqkdlvmq
gyoeonfscb,955,cjwjmkfzby,cAt,vjsuspyzrz,xceftgzkqz,qyjfveeyej
mbunspspig,100,rmmytfvtsn,DOG,-78,-0.237,0.232
doG,820,vhninxibwm,-549,caT,iorxgchhpv,dOg
39,-0.162,hxldydyvno,sljuqgkjkq,rzbktstdve,-880,cAt
0.1175,0.035,0.1065,kuthzpwsvt,dog,cat,Dog
0.1725,-434,dOg,CaT,-834,lrdxdjkrih,763
dog,-691,-0.032,xjywvetfbx,xgwtfhdawe,rhbgsaeynt,-0.383
caT,-910,-120,djpzobhofl,CAt,-0.0505,fkkqdxejmx
swvvbokwpy,cat,17,tgmniffoxf,667,0.494,thcmekpyhk
elqfbwseev,-763,174,ouggfxsyqw,0.146,-0.002,-0.354
508,0.0465,-939,cat,487,-0.307,gejflpjjab
963,remenmvafl,-0.4075,889,0.215,0.3895,0.411
CaT,512,0.1895,cAT,852,-739,bqlkdzcvrr
0.3725,-0.4585,969,nkpydycwnw,uhphroylic,421,cAt
hawpmjsyyg,0.478,Cat,dOG,rhytbjtozu,-619,0.411
nncnkxdefe,-440,0.2915,-0.1605,vtaujsfbbo,-0.032,566
wxpripsgyb,0.239,0.394,ruuwgsdovg,xjelnnbhgw,dog,rjesvlzswz
-0.218,339,-0.102,-874,valxzhbryb,-922,0.333
rafazvayqf,483,0.4355,abeqyynvnq,0.431,-642,uqlvndzotm
-473,qshxyvntti,793,CAT,dog,rqdsmvtizn,qxlhviwdkb
Dog,lhnegfferj,dOG,DoG,0.0795,wfuasainym,203
-0.5,-0.008,-301,DOg,0.168,bkxdgrpjwn,cAt
dOG,-0.31,0.249,jasgnvxbqf,0.043,tjgqtubtdp,shawotwyio
caT,qetbhqxrgx,0.448,-0.0425,0.3825,scmngmgwet,0.0705
338,jxvaqnjnsp,caT,-0.3725,0.414,0.483,0.061
-674,rwivymfuld,751,-419,yficbwuqvl,0.2125,-603
jdovzbhymh,-0.041,jjovewetxd,cAt,CAt,pevcjymyrt,vxgxzgpqzk
-0.4285,DOG,quheppdodt,0.1785,ksvxyvnrnl,wmfiuvdinq,-968
513,-999,DOG,0.283,-352,evfckfqjwc,CAT
cjyzhjbaiv,zuiawtwuzp,xkdmmejnmg,746,qnujfbjvgi,CaT,-0.036
eqwntcyviy,0.207,dvuussopfx,qukjvoigqr,parhxobtmw,740,doG
DoG,vyjjijummo,cat,-633,607,-815,-742
0.3035,-0.4505,0.3725,-403,CAT,-0.213,678
231,-512,-217,ibghsngkeu,icqpyywscr,hkmgdcmizr,kflbiaatdx
DOG,apjorrfocn,-0.194,-957,epqslbjouz,cat,-0.0245
0.2825,zxzvglsrbz,28,caT,pytrpgajdr,-0.2245,xevgkzvssl
ddtgoxhptf,-61,aztsgfqxmv,llsnbucfsx,caT,-826,hlqmfemcer
sygyqpptdt,935,xkxycsivsd,0.3875,vapuwgpmmg,-705,CAt
awbzswuypb,-979,474,-828,-0.237,Dog,-0.031
0.227,caT,wellfgthlv,hifwqqktla,tbjrxfyvzv,0.2045,-0.335
-0.054,ntogptzryd,0.213,-0.2095,0.33,828,CaT
-539,arargphmsp,-43,391,454,ykehsyzffb,ebdqfolnny
tqglelhnam,pnydsbthvl,-442,aoasfkuwup,0.089,-807,qzjdwpgqfo
-0.0985,42,-812,825,-0.3645,cpirxobbox,0.079
0.368,thmtsdsjux,Cat,454,-0.06,xcyodsyhtb,794
-743,720,-152,17,cAT,ugyitrtzjj,DOg
2,cAT,-0.012,-325,tnaoykhruv,0.005,zvkpaxieth
762,0.0505,ubgkcelpag,wyddnodpda,bptxefixxv,doG,0.36
Cat,CAt,0.43,ytjrrwuazl,vjeuqcinpo,-0.07,qouodrwxeu
-855,0.354,ydvnaxhmny,ngeyprnjgz,0.494,DOg,vjdarugdoc
-0.2545,-93,-971,-0.3905,-0.149,ydoizhjgll,DoG
-100,-466,-0.283,-732,-650,-461,-0.3885
-286,jycflmoxcj,-0.017,Dog,855,DoG,-0.101
650,-476,DoG,pkflsvnfye,-0.1785,0.183,dOg
haoygfpxso,-861,Dog,skvivjdoeu,dkqsaruxde,-241,0.3265
0.488,0.3415,cAt,246,-0.492,-158,dog
dog,mendvxksqs,uuvwqunyxa,-228,cAT,xxunjklkgm,cAT
