yhahwnawef,somghijsth,lrfwfaoekh,sglnjrrhqc,srvkydxkbp,kgtqzrmlrc,kexpglbuco
DOG,lcfvvmsrzz,pjkcepnjvp,Dog,0.0655,jewanafqta,-329
dbvdsetodx,576,CAT,pnhsqpazhg,608,671,tgykvqllac
xbyqvmqsqz,-0.091,0.092,joikkonxax,dOG,fuzflbwkcz,-0.0975
bumpohvqxz,hiixfsgswg,-172,doG,wwwzngorlt,DoG,0.407
0.3365,dpsctvbvka,0.265,dOG,pdxoyezjrc,jmzevjvqqx,foaznhhawn
DOg,-175,caT,kdqedswhbt,-0.338,xzmnldzytf,0.044
-187,-0.1685,-828,dog,-0.2085,dog,-908
dOg,-0.4515,kiojulmkjt,0.4045,igeyeyfejz,cAT,-0.2665
dyrbkzywzw,cat,wdvlcjqzrg,0.0835,702,-0.333,Cat
526,CaT,-0.354,kxjcdooysj,-394,-0.4665,0.014
rnrkmugnlz,-0.4095,DoG,ldngvqdiom,0.471,0.248,-0.1895
861,CaT,-0.2045,-327,0.4,CAT,rhjicrdwca
-552,DoG,415,-357,Cat,0.243,cAT
324,caT,dog,qaiqystind,-258,atvahhdvzh,cAt
-978,dvdouzktyg,-947,cAt,-362,mnfxvvokee,yinyrxzuqj
763,-0.0915,vdhovnrxib,Cat,cat,0.4635,fsujtbusbb
-6,qdweobpjfv,CAT,834,0.188,0.3315,cAt
CAT,-0.0235,-0.477,26,mcxttxrjjg,171,-37
dOg,331,gzfqrzqutl,457,vhmxpcynzi,Dog,-0.4805
330,qmudiuhyrb,245,-465,dog,cat,-951
-0.1855,wltaxsleem,-0.1045,93,-0.404,-805,dog
xkwdgsqphe,-409,fdvjwgdrag,0.3935,0.4155,zykjkzbvvu,vnitpjtmzy
qvijoroxvr,fvuwpvotsv,445,fwohcggpaf,0.0225,747,-0.0625
967,126,0.2155,232,-0.125,CaT,0.345
-0.1725,-185,0.4895,0.0115,ruoqqtkgbx,dydpnybbzx,DOG
-281,0.486,-0.2965,caT,ijcdoowynn,-335,0.0425
723,0.017,dOg,409,174,Dog,jtnmldonwk
-0.2455,dOG,cat,-0.147,0.1245,iaisxwbhfr,qpaqquxonc
ndxnqcntlp,hwwfgnrhrj,-763,-0.4395,DoG,dOG,CAT
0.1165,-0.048,0.288,693,zskhaztrnh,-0.462,quhrixktuw
CAt,0.476,213,-0.351,odwsdwccti,DOg,628
CAT,-0.0595,0.4985,qbheafwpsw,nivoxdlwwo,0.4685,884
-0.2525,bwyptrwkox,panxmcpllo,uhvinxibxf,mwsugqchwo,-786,cAT
sodiueglvv,tsxymhbodr,-0.4335,0.0385,295,0.4455,DOG
929,434,0.133,dOG,cat,548,-0.4815
-338,mxtglfacdq,-229,-265,gnmbpqlybp,Dog,0.1865
-432,cat,-0.222,-938,dhmvoxbpeu,zrqwermurr,0.314
