anksbwreps,wmukhijpjk,ixpufyfzrl,zgimlxgquq,rvgxmaqqix,tdixswlcnz
0.0795,0.196,alnbehyvdg,-0.1255,dog,DOg
iakrsdtvhj,-0.3665,-0.468,intnfqvjxb,951,0.5
qbanreyawk,0.1035,0.3205,caT,-0.327,-0.206
-0.339,0.114,yupnjedapm,287,-0.067,effvdvikoy
cAt,ceruooizlg,-252,174,tubpfmafzj,umbfatklsu
jfvkhkfxij,bubwovpgln,-137,cAt,823,-0.215
dhndzfhvij,0.252,edqcmcnfhh,-996,Dog,899
0.098,0.294,481,cAt,-0.182,doG
sgfxjkuynt,nuvdimlqgs,yheomqlxmw,-0.4335,cAT,111
-0.3365,CAt,942,emqwgpoikv,njtbipsoke,zhnbxqhrgz
caT,816,0.056,-0.2945,jkhangsbwk,822
-286,qdlbxguhqf,mojsbzlsyz,0.0695,caT,-104
CAT,fcgfngfxeu,-655,0.42,364,xxusuxvqjt
819,dOg,veghczmhqh,83,-11,CAT
vgqvvwhuds,640,copkjgurwk,gyefqvylli,-0.2035,cAt
CaT,721,0.3055,gtdqrhmptu,rlbewwbivk,sgukbsvsaa
CAt,-92,173,0.2185,caT,cAt
318,-431,dOG,DOg,ztnwbawgie,0.05
-0.156,eblovyfnuz,0.18,caT,366,0.179
cat,-213,-0.239,jlslgqrkcs,-570,0.0025
snumsbmgeb,dOg,0.297,0.4435,-924,0.478
dOG,0.2935,-247,opfhmbxkln,-0.0825,-496
0.4195,749,svunwvzuie,756,0.4795,234
-0.0875,-0.312,375,-0.079,-850,vwglkqflgp
ungjrubvpo,vlwspgbaey,495,-577,doG,602
444,0.3385,-623,-400,476,wejtzfposc
289,-233,-0.069,-0.408,CaT,cat
-911,0.1245,0.241,hndfdcptzc,958,-796
doG,0.0955,-11,-751,xhjojrtxqd,rnolvyyenw
nxqmylyyga,-0.364,-533,cizskrkpal,dOg,cdgulmpoly
doG,xrnevmduog,cgdkerwjpt,-0.43,wfrcqsnzmu,caT
fhetkuwwku,-0.097,CAt,bbmxujoimp,0.2105,spntbpgxzu
763,-0.0425,185,cAt,dOG,rjfehsdtpy
dOg,-576,zyyhpfdbjl,CAT,gnltlsawtj,-0.4525
0.016,423,bdrhhzapzk,sdvvptprge,997,0.092
eckbgyxlis,-0.228,hzlzcwfmzp,CAt,nlzdbadneo,wzptgyrkia
-0.0295,-0.1705,0.421,629,iinrvvtgyl,DOg
0.4135,189,ukeogwwkpk,rcgemzunox,0.035,dOG
-232,ajlunxkrwp,-0.034,-35,CaT,cAt
314,154,-0.1935,ynwjtargsa,CAT,-405
0.4205,-462,0.4405,DOG,fskxezlegh,saqffdbzqq
xhdobrlsgu,ihxqmiqany,-445,433,DOg,-305
oitgoqzlqj,-576,406,cAT,983,jywcvcdksu
0.0265,abioobftci,lxcmnrqucs,796,0.172,fsjanqihsn
-0.2185,972,cznvdkmccz,ipelrpjxvq,mgpemoglgj,dOG
-735,poqkrdpmxl,ybduxdgwnc,yrukdqeuvk,245,doG
gwpjjplvbh,696,0.4835,ruxitzhtwr,Dog,upjqdznsug
ldgfscqrhi,-0.4415,CAt,pvpdziumbl,317,770
cqbgbuzqxb,-343,uvmhbpnhjo,-211,-0.3245,-0.2415
caT,rnucabawfm,-0.165,zdgctnvnyc,owzdopkysa,DoG
