PET,xzmlfqbcsv,dqqpqizmic,tawtspgqtf,uxuoaxczwo,ufvytrggzt,kwbmmkvlrb
-0.079,lvmlgugbbm,dog,0.4355,0.2065,Cat,cAt
CAT,xomaseyenv,0.1225,dhfqstswix,CaT,-170,cat
cat,-337,cAT,cxbzvfdgda,-0.0785,ozvnamdnvq,0.36
Cat,-0.411,-721,0.117,DOg,-47,yktqgqelbb
caT,-561,155,0.441,cAt,doG,cAT
0.4965,0.3645,rslbhkbqqp,0.3725,0.401,faypmnocvm,-783
0.3395,0.0655,-0.4615,671,usfwozjkto,yyrvfbxdmv,733
CAT,etoxpymsuv,-317,-275,0.26,0.266,-680
rqjpiqmuzc,-45,-95,-0.253,778,416,909
CAt,87,cAt,DoG,-0.1865,rcjgtocpto,0.4235
