mvfattoyms,odqnubnigy,zchfjylcow,bkpvucmxyx,jgruvydsrh,nyvgvnqbus
ydeletmvnr,-0.088,-753,-881,603,0.041
366,fehpoqydsi,dmagapdqgm,-648,426,110
dOG,-0.469,nocmnpybip,dog,0.349,-0.4605
nrohwashld,ferivkwbee,kstrtignoj,-0.144,cAT,-0.4635
-79,CAt,837,120,-0.157,166
0.257,244,doG,cpyszdenug,-0.0235,-33
DoG,-74,129,jccyyodnvi,811,385
cAt,-54,-447,olcpgioaiz,0.4145,usssoabbck
dog,DoG,-0.482,-905,0.19,cat
vwdsloqjhy,0.05,Dog,plqabuhail,yqztjipdtd,cAt
zghohdviih,-419,-162,-0.054,-0.241,ydogbzslmi
dOg,fxqheqnzfi,-100,-782,cAT,-0.285
lsqcgypgpj,-0.3145,fmlgkjyums,-0.105,yphzawbffa,-412
-0.259,0.428,-0.0545,0.123,-175,-68
0.1145,oucnupsuqf,ctfxsfbzcb,0.474,0.1735,doG
omkbldizry,ewjbxzrwjb,0.0265,-0.042,278,zvivhlgowq
0.1675,smftiqptln,Dog,459,-0.098,cAt
dOg,-0.0975,709,758,-0.1885,0.226
-70,0.383,0.229,DOG,DOg,zsrabbhksi
yzatrdacmh,roklepjqeo,nkboyjemfq,-113,-0.191,xytasuhhzz
0.4185,kugnyhtupe,-0.2955,dnqecmzzra,yapemkduno,407
521,-988,dxwfwyjlfe,Dog,0.113,ypihzlprtm
gpfapeuunj,-0.2705,764,514,yrvigyjcql,doG
doG,oqldjiyyhs,0.042,hhsvccmimi,ynrfwvirik,bcszporubh
0.1755,tgftrmsztc,360,-900,304,-142
htfvzuttrr,0.2735,-0.155,dwjjzyxivi,xiykjehcfc,rjwugjneyu
cAT,-519,713,yhniygywgy,0.2525,glakespvvu
-0.2975,xhlcititvr,dOG,0.091,ocxkowzjxg,mxiihzuemb
hoqkotgtiy,-0.1975,-0.1935,DOg,0.1725,-190
-0.455,CAT,Cat,270,caT,0.0225
CaT,-0.3815,-133,caT,xgixjtvaek,whwgavljym
419,Cat,jximtaiabz,-678,264,hchwxrtfyn
