odaazkqjlb,fadqakebxa,zycaxsmaub,wphexfeffy,geyrmbxjpz,fpzwwhvien,PeT
bricachfrc,57,0.2905,flzxbzbkcn,-0.4495,-71,cAT
-43,tsttvyvifm,dOg,wovfvufyxw,caT,-0.2405,pgmktdpqfr
tgzyedtqlt,qjvwznpjpl,sdbxtjkffj,-762,dog,jkrstiohsw,rudzgokyub
CAt,-0.2565,278,ewrqlovegr,296,whwmsdixwy,CaT
-0.1025,oztlryrjqf,-0.3405,mylglnvrwf,-357,elaiguzsdq,Dog
iugxwshbvh,kyjwtluuds,25,0.2075,ngdpyykkzc,bbxuzyodwm,rdnoevizoj
tfnlmtfshv,370,-787,fwiunxkwna,-777,-0.013,DoG
-238,oictantnje,dOG,wajpemyvuc,0.351,ozwrrynlkx,ofudxaszuc
DOG,0.419,CAT,894,-0.361,0.2175,smoqagcpgk
-0.252,987,-0.43,CaT,-707,-839,paamcmmscb
-178,vfbfhyexan,dog,cAt,-0.2515,CAt,dOG
-0.497,-268,149,-0.028,xabcjqmpjx,dOg,0.3855
-177,CAT,adviihsung,-0.266,792,uafznnotkn,doG
xgytpyuloq,wvwdabmdyw,-748,954,-0.0655,-0.499,922
CAT,571,uaxvizxtna,fckhlnrsmp,240,337,0.137
lsstrouxgg,DOg,xvaahixulg,-0.1905,464,-0.1885,cAT
-760,150,-0.4935,-709,qpkujtdlnc,-839,504
Cat,Dog,-119,sngihcaxhg,svxsijocnu,-215,caT
0.038,511,674,dOG,-375,-396,dog
jpjinjpqhv,cat,afvxbdsvbh,CAt,mggassmuac,-144,DoG
Cat,-0.411,zffkwjohwo,-918,btxlcmpiwp,-0.396,0.353
kxxzxcbouv,-0.0415,-0.0415,jascnqpzzz,Dog,Dog,Dog
-0.3275,avchcqwqzu,842,-426,-0.3135,sjrbjkmppj,0.195
-0.4275,zcuvrqtnrm,-0.47,aigiyheaej,uuedcjtwdp,0.4855,0.2075
eukypoqjes,Cat,891,DoG,37,699,DOg
930,-451,fklmqrvfnk,-0.1525,0.203,-0.1285,doG
-0.3405,DOg,103,-6,0.312,adtniclquy,dOG
gdzgiwapng,0.2445,rkflxikujv,ixfyajeryd,dzaypppzhl,-0.154,DOg
nfbqlrunjp,648,caT,CAt,aenowohnzu,DOG,DoG
ugzqmmnxtl,-255,dog,-965,vqoxoggnvy,0.1025,dOG
-0.333,jdvdukqvfc,706,0.483,dOg,-0.0945,ffxfqtcjpx
0.349,-0.3575,ysanqueomp,CAT,fdkyrgjxvc,sxgtorgjtb,cAT
kphntsjief,smthdpcamw,DOg,0.0905,rlvshgzajp,0.4915,Dog
0.4185,CaT,DoG,-0.2995,tszscocxwa,doG,Dog
-932,0.1085,zbvxlflldi,ftmkncjlvq,dog,Dog,cat
708,-0.1425,-0.1525,641,tttyjymxbs,-186,ooyowvglkv
802,dOG,-657,342,CaT,vbavbrewhl,Dog
-0.007,0.464,dog,gttgqajwus,tqcnikkdzm,tzgnubegmm,DoG
-0.2485,sfoyskgxhi,515,ltcicvfyth,dOG,bectwcwdos,cat
-174,CaT,doG,0.358,nfjqxqnvqn,CaT,dOG
709,0.3275,elwclzuzqd,caT,0.407,eudkylmfnw,qqexbzmruw
-0.128,-0.2835,433,272,-0.191,doG,caT
DoG,rxqcpwsxhb,-0.1765,564,cAt,xvatwvdepf,CAt
-0.406,jmnfuysocy,-551,pvljinwmko,-420,dog,Cat
-986,dog,Dog,-0.0825,pzwyklkhqk,-670,wdspjemmfy
-325,0.15,racqipapiu,-215,374,poldzkkyos,0.183
-557,fwsdhvsomo,-0.1525,337,-546,-306,cat
-998,307,exukbqosyk,-179,eynjkzweyy,905,-992
dOg,609,-0.1445,-0.468,51,-0.24,CAT
-0.339,-930,ubxcrkdpkv,igqfvpxrah,-823,dOG,xkhsoavapz
DoG,847,0.43,0.479,214,745,dOG
esrmyffvne,-44,wqqxrgmdxw,caT,75,-0.466,kcwwejixyz
-0.221,0.331,DoG,izaumsfbwc,0.3385,-0.177,svhowbrams
lcuaakzpov,-301,spbodfqrrj,-511,-0.053,-0.431,rxjlqeeqml
atjhnjalab,713,CaT,pzmhzbapos,545,-364,CaT
522,0.3815,lgckhurdtg,sabcnljpot,-238,asthigutme,DoG
DOG,eskjpdcxuw,0.0955,julczosagz,cAT,658,doG
cat,DOG,0.437,0.295,yxtsodxqbk,sbqsulameg,doG
dOg,xdpdcdxfzb,isqqavgsjb,xmbplsigqb,88,-0.068,495
dog,467,cat,-347,orjqsfyduh,DoG,amorahsvhs
0.1465,rzryxsenfd,568,-226,533,-0.4425,DoG
-0.205,-0.49,qbuvsdbqof,pqfjtjzmev,Dog,gfhnjkzxiw,dog
uufucngbwh,nypnvuwdkt,tqiternpsw,-315,-0.031,-982,dOG
0.4875,-67,0.0105,tlcvjqsniz,utxlfcxmhc,vkclthbven,CAT
-397,-898,hrbojlrfrd,-0.3085,CaT,mflogrybok,CAT
755,cAT,omlkgygyoz,tokeqbhrkq,232,-0.024,owdxijqegi
-0.306,znbkfghhps,sebwxeotgr,mdufbitogg,wfquxpgwvx,juughzblzz,Cat
0.1235,-0.2965,788,aokspwbzhh,Dog,0.3595,803
oqtuhpjrwp,cat,0.4455,938,yntwozppfq,0.079,CaT
-0.08,-153,mosnezyvwd,-929,akylvkduik,0.158,Dog
cAt,dog,0.2485,-461,0.4805,ppcwvqcbef,Dog
125,0.15,swakpilwif,644,0.1015,-0.471,DoG
