bxkuuedbpk,PET,lrvlsefcgn,dpadkwmvhi,zvvnlqyxtp,ecdhwczwos,mxmeafgwwu
cat,ngenddhtbn,-739,pkuqjzwjxb,0.4545,nhiazwpjyt,doG
emysuhuncy,DOg,lttdmbtjhv,tdiephumui,dog,204,488
0.3325,Cat,mxopexshmj,CAt,-0.0505,CaT,CAT
252,DOG,ehsutcapin,ratdnmyfna,-0.132,-625,-215
335,Dog,-0.254,wclcagapga,-0.0135,182,0.1965
0.091,doG,tydwpcqkdp,gffjzzzaos,0.3965,268,nsoltdzhxh
kgjihvujbe,-0.488,0.086,tgsxmuhull,CAT,-0.4695,0.4605
-680,doG,328,-0.282,0.1985,0.4375,cat
-0.386,DOg,bznlizdxwu,eawsbluzvo,0.202,apzdnnqots,dOg
fbsjduwtdu,cAt,creydyuxjp,644,tpsfdmfeaj,465,caT
vjwjhzizqj,DOG,DOg,DOg,0.073,-0.0775,-934
0.0545,Cat,-73,phdyubrkvh,ievmfcympe,-581,hnflnoieqn
95,0.1105,bgloanflma,dOG,535,cAt,wafupbgefd
oilwoceejb,caT,972,0.326,108,-0.48,0.1995
-0.3735,0.1055,-0.499,eqlxqebysc,-524,0.296,657
cat,Dog,-815,-776,CaT,-446,Cat
hehcsuwuew,cAT,-553,-0.4535,0.2475,-0.424,667
jclazervep,cAT,ogiwisuyqb,-0.2955,-939,343,0.31
349,lwcbcxuked,vothgrtlrg,0.1455,0.3575,477,dOG
CaT,dog,598,caT,btxrxksdfg,-70,DoG
0.433,doG,tqyprxtecw,0.4255,-0.2755,CaT,0.421
-0.3625,CaT,CaT,DoG,mkwzpezanx,-0.225,-0.379
56,dOg,-357,-909,tvjbreyirj,jbpkzdecpv,0.229
wnkkcipglg,DOg,thxmcemzyy,-0.113,641,827,-0.4055
0.222,dOg,tihtyzvgpu,387,dog,xzxzjfhcnl,dOg
-835,cAT,CAt,-396,0.298,Cat,-461
hphzasmlrw,cAt,DOg,rramzkscqg,Cat,-0.4545,-0.3185
toqgkiraqk,dog,rabrhfqpcf,-0.311,0.384,0.2195,dOg
201,cAt,0.2835,-0.3965,mcagyrsptp,632,-0.486
-837,0.1955,-702,-121,-153,835,dog
-175,dog,qkfmvqlqkm,0.486,wfnsmqqzdw,0.2075,Dog
0.1525,CAT,-0.436,hchrplwgia,575,-0.3575,0.4365
CaT,Cat,0.385,efkpmjifvy,CaT,dsxtoncoan,0.2165
ndtubjyggd,CAt,nxthrkfqrs,213,CaT,cat,gircjybnci
-0.3685,CAT,DOG,dOg,zxuhovhndq,-834,0.419
doG,-0.0095,doG,-0.427,DoG,-0.089,-0.1435
qzumqxguuh,cAT,0.28,fzrhbrkcep,0.4465,cAT,902
0.4615,Cat,-0.0125,dOG,0.3075,frdgwvlgdb,276
-0.4795,cAT,DOG,-765,0.2295,-0.419,722
-0.153,CAt,gtthflumrq,DOg,xdogdjsijb,zybblhtjrz,-0.3405
CaT,dOg,CAT,0.425,ivttvkzetu,0.344,nuqmccqkhm
-698,CAT,-0.3105,-766,-0.162,dog,gqqwqjsaso
