jgqlsrustw,rnfgxcshmi,dfotowivct,gjtbedyncp,wrnqgwxcmc,utmamhllib
0.1655,0.278,486,0.4595,-870,vxnihpeyqz
0.3235,caT,0.4915,fvlodjksiw,ewzysdghno,975
-0.3125,dog,epdoeuyxqd,wplgpwdqpu,522,srlwkkawqz
-0.3025,-0.059,cltwnhaqyh,0.2405,650,0.295
CaT,-736,cAt,gydscjbkbp,qwsyxvlqpu,-139
lzmtcizsbg,DOg,456,-431,CaT,-751
upgvxayebu,dog,-533,caT,0.301,-0.4605
-0.3975,0.1775,iuazoszqiz,cat,DoG,erjrylqjgo
xzmqwvusop,707,CaT,uriodmcvni,mqfnkzwmup,whzrtzrvct
iktzirigus,101,dsauunzdcc,-0.058,tdatmipewl,sjaqwrduqo
llhjupvqer,cAT,dOG,Dog,swgffufzij,cAT
654,0.2955,-412,-0.492,0.3905,cAT
