cgbeidwtxd,elukgqwwex,dhgdfeddrb,sldhyfozzj,Pet,gdpfkkhwhl,qwukxlirbn
CAt,-0.355,doG,gxlgakjwis,-0.119,DOG,-0.258
biarojufvv,zcbsxuqjdg,-0.0365,0.287,cat,DoG,-0.276
xoxgkuziwg,gjhgpocmoa,cat,-0.2275,DoG,13,irbrkcpjid
uohptjptaa,-115,0.3675,0.1145,CAT,-901,0.1615
dOg,-0.2605,pchdpcakpr,wtjxyxwrel,DOg,qcnjlpjgvk,nbtcfdkopt
Cat,-301,0.1665,kqgbhwuwlo,dOG,-0.06,-451
-0.1825,wylstowsxe,pouryvuhsq,ysaqmvkqdj,cAT,0.1115,-0.1465
nmavpfirym,rcyzxjyvtn,Cat,Cat,CaT,0.3335,xalzqbfuvh
pmytjopmhv,ndwqwvvdpa,-0.142,oordxuduao,-476,ewjcfmtjgz,935
digjjmpwpd,-142,frjhexvzlg,dog,Cat,-0.005,437
-951,-0.1515,qdzurhipgw,zqgtelccyv,cAt,caT,dOg
dOG,0.3155,512,-646,-434,-0.3925,-0.493
-0.1555,fwoowcjwpm,CAT,pcliorxwfa,cAT,-874,0.1005
0.067,-0.4025,851,gwmuxugjdb,CaT,tqalebrmvq,jiqtqixwjm
-0.2035,zruedaimyi,lixjgskigk,zegkeidtxt,doG,58,efrvenxboq
ocreeebgke,wmkbmtvmlb,-195,503,fzztpzyhah,vtngintnjo,632
kppprzhvjo,0.21,0.1845,-0.2685,DOG,-0.081,0.1185
dog,DOG,ssapenihpa,arucvhvheo,CAt,doG,158
jnmkcjuyth,qsmirbgnsj,-0.1315,-826,doG,fkcbttyozv,-0.139
-524,166,fzfcaqsfyl,rqqugrpnes,0.437,477,CAT
0.188,0.1425,-382,Dog,CAt,968,cat
169,doG,sznfjlfxem,0.2335,0.237,caT,uwzrrqhhgm
uzomigpfoj,-207,0.2435,miitunzfer,evtpjrxvyu,0.4745,ukdjspmcts
-534,owxyyrvayp,-939,-0.399,cat,rdsletuhaw,gwacbfebzr
144,283,0.302,btonarbdra,dOG,phlcndatuz,0.328
-0.416,-0.147,clcjzwjwdr,gogxottzvr,DOG,Cat,0.2705
-32,-865,33,-0.334,DOG,-164,-0.0525
92,662,CAt,-993,Cat,0.474,-0.3545
-0.465,478,-407,292,CAT,273,-0.143
98,bynnhqiivd,425,-858,dog,0.1695,-880
689,690,0.5,nutciltcoz,azeskzbhet,881,524
Dog,0.256,-179,802,doG,CAt,epbhmymjrv
-790,-824,CAt,300,cAT,0.4745,-0.0385
-750,0.202,-0.2845,doG,CaT,-0.2065,gppiwhjfsx
vyjlxqhnqu,CAt,-179,0.068,dOg,306,961
-357,ecqpkvwjex,-876,0.4555,cat,330,DOg
-0.4385,lxlsyjcwoe,wieuxhqkhd,-508,cat,0.201,lndfpzsacy
517,0.155,pkbnunnjyh,5,-704,-340,dbjypovsil
pwhjmgwunj,lzsmwsyief,0.3495,xbdedqaqxs,doG,0.2085,-0.281
-103,-0.084,-0.3025,doG,Dog,vglwfihysy,yzijhtojja
0.0225,diypkvjjig,csubkaultc,363,dOG,-972,-641
lscjvjdvwx,cAT,dog,-658,DoG,gpcgrnyuio,-0.338
-0.326,ndevyhofsm,-547,0.363,Cat,-273,CAT
kjsgyljdfa,sqiszcmhgh,681,doG,Cat,63,jqeoxpevoj
21,lkqcggywus,pxiceuqrmq,-821,pmfrcnelvy,0.4,-0.492
kverhqdiws,-56,-101,mlihnazfej,fhrnwdjxcp,lgvgzorbsm,0.255
676,-35,340,-0.0235,CaT,0.484,19
0.01,sacgomgfed,fbpokiberm,-96,cat,-984,0.3835
odjcmzjlpl,tojowsnzsb,sqfihtxicp,-706,iyhokzocrm,cAt,CaT
-975,yqrazhryau,CAT,CAT,cAt,-0.4945,lkhgqnjpyz
