wsnlelnupw,vtczfqjksx,efqzonqjvp,pET,gdvfuwcxho,jxpxyhctdy,ookueomsmi
-142,-926,omcskthecy,CAT,639,-0.3095,-267
-544,-0.3005,CAt,DoG,-0.466,97,-0.1205
-0.484,0.1955,hmvjnvluip,0.283,CAT,ilzdtnxixm,0.0625
363,iegisklogw,Cat,dOg,0.007,-926,lvysjzfhsj
-0.136,iszfjrckdg,0.453,cAt,0.403,xppqtbmhua,729
lltzjtnehp,-720,bweilvuxnp,cAt,dkbmpjnubq,qzmvaaujom,-0.0165
-0.3835,147,0.175,cAT,avlganduxi,0.1665,qhvofpbwnx
-411,-986,DOG,DoG,-0.4815,-572,dog
-0.0075,52,zuyhuajymi,caT,-776,sjxhzlxqbi,0.4935
ffxmweqjoo,-0.131,DOG,319,kdzsmnrzok,CaT,znuphybaha
0.4455,0.3795,wglppjbcuq,dOg,DOG,-997,-955
-450,pbkcbdylmh,bbbtmztadw,-984,kvulnwrout,vjvgmptlzf,glvsxxifwr
Cat,-94,cxnsgbeqbo,CaT,-0.1245,-739,cAT
-0.4855,-700,vpvtsqdpki,Dog,911,793,qtxyiuapqu
sympvyncmp,wglulegjzu,uvivlweitq,dOG,bzxoszlfiw,0.1415,xoqxkhxfvw
dahurptmdw,-622,doG,0.4005,-885,-421,hijqmxbmsx
cAT,-229,dOG,dOG,pmmkxiifzm,718,-0.0875
332,-0.499,580,DOg,579,dOG,vmsqqyyybl
-321,135,nxkunvcdbx,dOg,doG,DOG,DoG
dOG,ljpxmpuccg,doG,DoG,tqnhycwdvn,54,gptenjedgf
wbrilvkrfm,qudphbnxvc,0.1945,cAT,-832,mbprzitegu,xozfzyiwdz
-166,0.23,0.042,lrfbgtlpcj,-0.4375,-0.335,-0.4335
0.349,mcjnclbioh,doG,DOG,eckusvbwzt,dOG,0.171
0.444,aqlivqutyj,-331,-755,tgarzqsgvc,czvkeomnlu,CAt
0.12,547,-0.093,cat,253,-0.463,-0.0435
wlohgqrxbd,caT,0.4905,caT,DoG,-566,cat
zoqzzxkqwc,doG,-0.3145,dog,caT,oumkgbodsz,-118
-0.085,409,lnergomsoi,vvlvialvgi,-0.4795,gnjvxfllcm,-0.4535
-86,dOg,nvrfhkgdxo,CAT,gstnsqzhsq,jkgrzepyay,Cat
dvgjqvapgw,oxhrrusobb,dOg,pjajlnoaus,-693,0.0685,239
836,0.2125,-250,495,dOg,CAT,bkpqxhhasz
xozgjbzglk,-137,535,-0.345,xxurzyyctq,cat,0.1485
cmywrkeznz,caT,Cat,CAt,-857,-0.2295,-0.115
-238,doG,cAT,doG,dOg,-0.187,fezcluxmjp
187,-0.1845,852,380,-109,cat,dyhmhgufjo
ktjtlfsila,upgpzkjwwq,tjhsxaangz,azvahgeemv,lgrqfksajt,0.127,517
cAt,plywdvgdwh,oszqbyixkp,-576,caT,-704,746
oevjajyscj,emzlxgdcwp,-686,-0.061,fvzyurbmvx,-0.37,cdtrlolxow
-0.138,788,0.2805,DOG,vpqsfucnpm,veckawemge,-46
-775,0.381,-719,sfnkgkdfhl,-0.4575,dOG,-0.239
cAt,-0.4075,253,cAt,0.111,379,zsqxcsqzpj
-505,DoG,cAT,DOG,ngsnanllcs,dOg,-214
