rhjtebqwcy,eelxvatnbj,tfojpauqpb,pebzcsonpn,noydwdibiw,vpkksubssa
-0.226,-15,cfjuafmabq,997,CAt,fbpbamjyck
gdmplkfskg,-0.377,0.1705,DOg,-822,audtqjfcyp
caT,0.238,-500,obuwvtcnfk,fbdwsanoiu,0.1375
-814,fplsntrykk,254,dOg,701,0.288
-37,0.3045,bgymqavqll,rxmrrpvvuv,0.056,-0.131
hptuyiijsd,DOG,0.289,0.0295,0.286,0.4585
-0.0255,euimkflacr,0.121,0.1815,538,0.0625
DOg,oerffuyame,-0.2425,0.379,-750,-0.292
CAt,-0.4775,0.0425,cydkksbjox,elmnnmlejb,0.404
dog,265,swurdvkknp,CaT,0.1755,xjrjqpuhyy
0.041,0.3935,-752,0.0305,xgqkpdbqpi,-0.198
qqrbjeodlg,0.4575,18,714,-427,uwemhtxhne
cat,Cat,rjsccrbjgq,-0.4715,-12,vlgpqgeran
mdryxoivqn,-84,-323,rmigvfibnp,0.175,sosfynhxvt
-0.118,-261,-0.2485,0.092,-0.0495,cat
cAt,-161,-755,-363,mgddvlafib,508
577,-576,-0.391,87,objfopckst,-0.176
-0.004,smuopgfxaf,0.1075,267,bdbfpwmkiw,bhgmoxwuxu
Dog,jxialapiuh,-0.3795,0.073,0.2435,0.2635
602,-962,36,-879,0.115,-412
-423,665,zgnfdfjhab,tvwlntahrc,11,CaT
