xgxibefkeg,pzilhglymz,ejqgicomdx,aehgnfwuoy,mwilzbfquw,dfvpkmxprg,sqlxzgvlxw
-437,460,doG,0.256,jrynajmawo,mxdpaxldjy,-0.09
757,caT,-0.4415,ukjkasoeup,716,0.411,-0.202
jlgkeayhku,dOg,-746,0.3825,0.298,-924,101
Cat,387,htbjkmrnfm,-0.0355,CaT,DoG,cAt
hmmlznstsl,0.312,amsuofhmds,pbgfhdxvmc,-0.189,-418,0.307
-0.0475,DOG,doG,opjjuzahkm,-473,-0.457,233
-145,-0.137,ounkkfxlkj,116,CAT,vsrvtgogcd,-0.135
0.1925,aaztcvqoen,swidhckbkm,aerhtgxzpo,-0.121,eryucoqgzx,-573
azdkctyqtg,ewvcbkpvry,-0.294,362,DOg,214,-0.408
ypzfuxylci,rkfcwpidck,DOg,dOg,DoG,0.4875,0.2405
-771,853,epzngsrryx,-106,0.4305,-0.0755,0.2945
zqbzgthlkg,reqrzpgbae,-666,CAt,CAt,irgrgsfgix,DoG
pyujtleimc,-418,Cat,-0.128,-384,cdrfhsajfk,-0.089
0.051,337,dhleydroag,0.3045,-0.0615,uwijwnemxp,-0.259
111,-0.112,-0.305,52,-435,-0.236,Dog
0.2325,831,olnnvedvmm,sdgqdyoxlq,oxmqkdxybn,-0.489,xofdxyjdnr
tkygpnrkub,0.211,DOG,691,fplrpzhanu,cat,-851
0.0805,-0.214,iwjmmchizp,qyhldoeqbe,-393,0.0715,-0.137
pgmksdmtgw,eupfrljjum,-0.1275,306,-722,ijzqagzart,bgiogiwhpz
796,-0.131,hdtktprulf,0.3195,-0.275,CAT,ncwajuckfo
-0.472,ciezaphkrr,487,hiseyqkrii,-0.3325,giweapbmai,-763
cat,-0.0015,-237,825,0.0495,0.0235,-398
-604,CaT,kbwndbdaiz,-0.318,rgytstbcne,208,fpytlfxdth
vfczdzwtam,kqlyzzrvqq,dOg,kdjophffab,196,817,-0.1715
0.4985,dOG,dOG,-0.2995,0.4035,82,-0.008
lwuqvczwco,Cat,jcolazfgig,116,zihagtecpf,dog,0.493
-0.463,0.166,480,-207,-793,-942,-0.1225
lztrtpwcbh,fctruhndwq,uwsavkzkad,707,322,-0.483,-325
-548,-0.1765,969,-996,-0.1305,-295,923
0.101,dOg,-0.381,0.3865,cAt,xefgrnvjxl,CAT
493,0.4725,hdyjdmuzzv,0.2155,jdsjllnmxu,CAt,-0.281
-574,onhaaffazc,690,972,dOG,36,lntqkfonkd
869,nzsgipwnkb,555,oquntgffya,-151,-0.349,-0.4165
qmkztcueay,quzmgtlrpa,-0.079,-0.025,itepehrwut,781,CAt
-0.2885,252,0.0685,-580,-0.12,vrmaurtxot,ilfjtshwog
502,ckzllnjmta,-163,caT,420,0.4245,0.4455
