pEt,kfqvymeuma,abxvwzikmm,uafvmnmtob,ajgrhfsbzc,iegjshinmh,hstdirtbdt
dOg,dog,CAT,0.271,enjvqduwtl,-0.193,yzozytsaht
-583,-45,dOg,451,-0.4635,27,-0.2375
DOG,caT,0.496,srxltmdhog,0.1735,ofwjzmsnyd,dog
dOG,cat,0.1905,pdsqlydtbi,aitoubvzzf,-0.257,-951
-75,CAt,-180,498,Cat,kezgocgwzs,jefbrgrudt
cat,954,257,-0.0995,zxfemkuvak,0.48,0.2855
doG,0.13,541,-0.344,melovrfsoe,-0.127,lkmonwtsvn
CaT,-485,0.3105,886,wadqmaesfr,rwlqwuclzx,idjvgqdmka
CAt,-146,-0.4005,0.015,Cat,Cat,136
CAt,0.481,-328,cAt,-0.2835,rcryinrftu,-0.133
cAt,0.3645,CAt,whwpicynwt,wxlodctfss,mzhiouiksn,-0.161
DOg,mcpteunyya,onxbtmsptg,pgktvognoe,-0.051,kqyyzzblcs,0.0975
doG,hfboxkdpcw,0.1685,zlmyhxvoku,-111,-0.1115,-306
Cat,-520,0.2985,-177,DOg,yplzelmhov,0.027
dog,-197,dog,caT,-0.2495,-0.059,CaT
Cat,DOg,0.4895,780,636,xvpinexxkb,Cat
dOg,Cat,-0.4255,-0.29,gishbonpth,leexxvrnqa,291
CAt,krlspbgobi,539,-324,DoG,sadjfzdfuq,ukjztfhhho
0.4195,svhqcppado,mdbagyavda,519,-0.3545,eopnzwrsyn,-0.1605
DOg,zquljofhpc,-0.3515,0.027,392,0.251,0.159
69,dOG,doG,0.3295,0.045,wligsovlpr,qlvmmrgunx
-0.217,-884,wsqmshcudt,0.4955,CaT,-874,CaT
DOg,-222,-0.197,0.365,95,-701,0.3425
cAt,pmvnqyneex,-0.227,495,0.33,uflpeulkoo,caT
dOg,-0.122,192,aexvnjatef,0.1015,0.017,epixnwxqud
-0.038,doG,yvkkzthnif,-0.177,-0.4625,ncqcfoksdf,-449
izrcukybcv,322,-0.0045,428,0.089,-0.046,vzoszrxikp
doG,oscqlxgsmx,DoG,knlchyttze,DOg,0.1655,0.071
DOG,-968,0.481,0.062,dOG,-728,-0.1075
0.1545,0.0865,-0.452,slvfzfqkiu,vkluenjcyh,evwtdttccd,DOG
DOG,-948,376,0.081,-0.3245,ijjeajgwpp,dfqdvulvpf
doG,dOG,-0.004,bldsuynzaj,7,-0.0245,inoevehpuc
CAt,703,dehjervemb,jaethckyfi,588,0.041,udbnowamjn
cAT,-395,-685,-40,-0.236,-127,-0.131
DOG,-840,jndvjfdawq,DOG,pbkfytcjnp,njwjdejqwl,mfinqtcyfn
pfwfwnkpul,433,0.2205,571,-78,830,lpukkmwkch
Cat,738,-481,dOG,wgxkuyzsns,wvwvpaqisr,-670
dOG,0.0335,-0.1745,-33,-945,dOg,-0.282
