byniieztzk,uqswewiomy,fjubzlubxw,rtfedqvkrc,mnlqueuyga,tunhuqctur
xigpbqftgc,esydsyiwlq,-841,pvwzbbtgcm,655,-988
daddodyazl,0.281,dOg,cAT,0.2125,0.4385
fcsexgckat,xfthkusixf,npoyjtwyvv,0.2915,-0.3875,dhmvdyljao
lkheshkcwy,Cat,dOg,-779,ictbqnrpbv,-635
495,768,0.1885,dlcsybasrv,vfmekioniu,cAT
rymauwuhbs,xbljgrktlf,188,whduqmasrp,-0.0475,0.3235
akeonjrrcs,dog,xksycrcpmf,-0.016,0.2275,vpulbxzacz
641,-0.0915,-233,63,731,0.375
-0.3925,0.407,-0.021,-879,-659,0.39
-0.07,kmaguokvha,cxrfoxlxmh,204,yaffnqchhk,774
-258,qozuuloybf,206,566,190,0.328
fvwdfxmpzu,0.276,glqzpuxzzz,-0.1855,ojepnywhxr,ispbqhumkj
942,890,857,-409,-0.4295,-22
-0.165,-440,Dog,403,-0.3035,uzqcfxjccp
0.328,uzokebjlnt,plozzzsxhq,0.2945,-0.269,-766
DOG,caT,pbxjgazatb,cudrsvbmow,-0.1395,cAT
earwqhrzgv,-387,CAT,-837,-0.205,CAt
-0.417,-0.0495,618,CAT,-161,lvhkzdztaf
doG,-0.146,-949,kubrcenzqu,-284,fwzifmibae
