xvhvlpbpkz,nxquelqcqo,wlyzmdtiug,gsmjwykyth,yyzhxubtmc,cqkqhuykqu
0.262,jktkdtlalx,DOg,kfpjgnjgrh,-0.2585,-781
djgnmtgffs,cAt,-0.409,avuyjbyonk,umqcjwkmpd,335
bwdfofnxwe,CAt,egfhebtyve,gqllphjtsp,edmmffnsws,Dog
356,-680,0.2325,uxquqxshsf,dvyttjptog,-0.014
caT,qutiudsdco,qkhdsvpjwy,vfarussbwl,-0.3875,ukkgniwknt
537,0.3185,-133,qkawlgqvbe,-0.3775,890
cxgbftemft,881,doG,418,-0.4415,zztyuyrlfz
-0.4675,dOg,0.094,918,yibljopfhj,kojyvwhjfn
-777,nsjsagokby,-507,118,0.033,-366
-690,0.406,aahqcxotgg,0.051,168,-47
-0.091,cAT,646,-0.1985,-61,-0.3895
0.0095,wptsyvcvgj,-458,oqtsamzijm,-323,-926
257,xqtucqqemq,DOG,dOG,DoG,-0.416
ecdwunneab,CAT,hhdpwqsbmg,jmpxcycljy,-0.455,DoG
DoG,683,cAt,415,0.308,0.207
-960,-642,-0.165,-179,0.383,-946
-56,rgtclhmrax,961,0.4575,dog,-10
0.321,544,0.247,-0.306,-0.4935,zapifylwnc
-0.396,cAT,0.074,346,cAt,iubbviohpw
DOG,101,dOg,-256,gwjhnrpjre,-358
-0.2115,-155,0.297,lxdtayfehg,0.0695,jipqhpfxkg
-676,874,-32,DOG,wlwebycpdw,0.4295
witqwsbagv,wukdsbluns,-737,hjsuxaotlc,cAT,0.2875
gswdtvjjoh,861,zayanbycfj,lxowjlymam,dOG,686
cAt,koicsmxvvr,222,0.472,CaT,0.3435
jxlgdrdzzu,-547,dOg,bhsxmreyhh,Cat,cAt
610,-0.124,-580,plxcegggxv,259,0.062
-80,xyeatxelbf,CAT,jigdyracpe,dkaneuogqx,-747
0.4985,-854,-155,-940,DOg,mczahvufjc
166,0.418,355,910,vxwdazdnzn,Cat
-0.2985,-164,vxfcgxthba,uitazftsdf,Cat,dOG
0.464,ewtuplhrxy,-0.1215,915,0.186,921
-340,vrguanvihs,fuecuxlfnm,218,pnglkoigfh,cAt
-997,aooywughwo,ppbkvjfmfc,19,-0.27,uftlykxrvm
pxiypggvtm,0.496,-721,szqipnftiw,-0.258,342
DoG,0.2725,286,-861,0.144,-0.349
-255,toceoannja,770,mqfmqpomfn,-714,-463
dOg,0.201,bwdangbnej,950,0.4125,376
dOG,DOg,srhcntcoxz,-104,948,298
cAT,uovfpqcuwp,lbtuffdgsl,44,-0.4815,jinbaudqou
0.1065,0.0225,-18,0.355,phpqyspicr,Cat
dtybguzidb,dOG,nqjkiuopzp,0.005,Cat,806
CaT,213,-0.2025,nonoswubcx,-242,-149
-80,dog,wjnotlbrzh,ecqhfsnejj,zoxdydnzwd,extxqldqpq
-0.121,-0.015,0.4345,zskwbpwfmc,dweagqrpze,cAt
DOg,0.251,-946,585,-0.5,385
doG,0.048,-219,597,0.2535,883
dOg,flvqoaftkv,caT,66,-190,dOg
exqeygngro,Cat,0.4175,401,Cat,vlmnywflod
-0.0195,ztyzdpsqsl,962,iobaphhfjk,0.105,caT
