umljubzsrf,rnwevshsqp,bipnojfize,qfgxbfgrsf,vwayjruddp,jqjfrrliqe,wjxydwqrgx
dOg,-0.025,Cat,0.0635,-614,89,dOg
DOG,0.2715,Cat,DOg,-0.3785,qkoqbfymfu,0.238
doG,-0.15,chvtgusxpv,rfxhiuxowz,eniwlozbmb,190,CAt
0.343,-0.2335,669,623,-713,svcwjuflom,dzrbwrvsyu
Dog,-512,-256,0.3435,-813,kxuyspzsaj,cat
-0.2475,zryiohwqab,-101,-0.255,270,-381,-0.1885
-132,yxspkbzfsi,-63,0.19,-857,ftzxmjdgnh,-999
697,-0.239,-960,-229,-0.18,173,0.4335
0.2765,-0.279,392,eydsvesxfz,0.3825,mpnswunjpx,dgqbpwopyn
-51,dOg,-0.4345,llrocajawt,0.143,caT,-0.0715
973,dOG,0.485,wdxqrgtjlf,qqlyyupnaw,-0.0095,lcgivsjpmb
645,axxlvgjdzi,dnpxmefvhw,-410,-0.2095,doG,765
0.032,-0.028,dOg,-0.4815,0.2245,pkhldyxsqo,0.407
948,-0.395,cAT,-768,twyjniavwp,-0.497,dog
-0.4125,fztbazfxov,xkrihwxnuk,0.331,0.291,buqpumapwb,0.3755
gxntggcted,-0.4365,gcaofobmca,-106,-0.0955,-170,0.0055
-671,qixabvbjqr,hseumgbdcp,-0.33,-0.1925,dtbvbaorlr,gcjshqudye
vhhigtboml,psmearrahe,324,dOG,CAT,-480,rpyfwslnkt
0.45,-795,gbyhuefvbe,kefwrotohv,cAt,-0.3085,449
-0.321,DOG,-0.2945,-863,uosesnucws,tdjiyynokp,0.0905
hofcdzbabn,-0.284,grkwpegzsb,-16,0.1645,0.3185,lvvyfszykg
ueyjvawibj,-636,caT,-0.2475,-669,lnusnzouky,fshtnfkjfr
-0.306,305,cat,tscwqcmrbr,mvjnfuhfym,-0.0815,ytgyjrpjyg
dog,0.071,cat,-0.185,-0.0325,pgtlmfobkd,-224
Dog,nrcaqhezzk,cat,-0.1465,uxrzkqfrrw,0.2855,fdoxcvkjvf
-0.2795,406,doG,0.1495,-0.2415,273,cAt
qpdxxlxkay,-240,0.395,cpaqwshmjz,fhhpommcxx,rvkqqwfcxl,mtwmutmzib
965,qziphreyqp,ctateawptq,114,rfdhhrwltc,qnzpdcrtjb,cat
-0.1555,0.0535,cAT,CaT,714,-856,dOG
caT,CAT,-878,0.4775,-0.191,cAt,-765
DOG,-595,-0.2165,-936,psltrrhgct,caT,lqyymdiybb
-523,111,lhebvhkhcy,xqftfbdtlh,0.258,0.1985,onmlkccetn
