jmfyisifwd,bkyehtsdbq,jwbxlpvpaw,kbeaijgtlm,ssdpirumqo,vwrtuwoezf,thvkrhmzri
-100,362,-491,CaT,doG,nlnpraouuh,isimnawftl
DOg,-0.277,0.3505,-0.288,-535,-417,erawznukwm
0.1575,Dog,389,pqjfmxirnq,taipmlakcm,qwbmnakhvt,509
0.4675,-186,382,rgmcehlvcu,634,124,DOG
jaiqntwdhh,leepgzwcua,owblyjiien,838,80,gqpjzcvfxk,-347
dog,0.346,lgyxzbugbm,-0.1475,cAt,-59,-0.448
dOG,594,rjsoifwpbv,CAt,0.2545,-662,0.2665
dOg,982,0.259,-813,904,srmngkwvsv,652
817,rsrsohvfpk,qopiqnlhia,xvjdgjivvb,0.1705,ucmryywiwj,116
qnisvgpmld,0.271,mtqpuysdpf,-398,-661,mfddngucxh,qjnpdhqdwl
-0.1475,473,-0.061,clyrenfabh,-0.227,-575,xjxkrhyugp
dmgpnuawwv,104,-0.058,afjxqemgye,nwtkkvwtdg,cltuxzvlpz,0.2995
-0.491,cAt,926,868,-152,498,0.4105
0.4285,ttwvzsxdcq,-984,dsyrihxprf,583,-0.355,-0.0355
0.0255,227,-274,938,cAt,Cat,381
205,0.3215,-0.4205,Cat,869,-0.4715,peplvjbkpk
DoG,0.122,629,qhxnbiifgm,dOG,oxkugsbhzd,-928
