kaftecgkzy,okvitppmau,wzdpqhkjaf,wahovsfcxm,ijzxechnnj,qxhajuwyqe,oewwhprjmn
lkrcgjtafd,syzcnfbtya,34,908,-0.4625,0.041,-0.4875
fzpmfdudyh,0.221,nizuuoocak,-0.4555,0.1495,335,DOg
-206,fgdyexyaan,xrlfpuqpxa,0.4445,711,622,-309
564,cvtmevzzri,-605,-0.263,dog,-0.06,-0.221
809,-970,-172,0.4595,0.2835,197,0.1675
simibgffod,xftqfwksme,-0.389,0.266,0.2485,-665,-0.3195
-0.0965,pskyynrqkr,376,cAT,lubpjjrjra,-0.1425,-0.2285
0.2935,caT,0.2945,caT,vsanjhhlun,tavqnhkdfz,-0.086
dog,nqekiriljn,-985,Cat,-961,Cat,0.4515
-463,938,-0.0405,CAt,dOG,ghvkcyhooj,xbbacvjjic
msmiavwytq,CaT,867,90,0.148,-0.2615,0.2945
263,gpbcicvzas,-0.377,vnyqnawijh,omrmbgvezp,0.296,htgbhrhflq
-971,0.0915,-833,-417,gvmnzprnxi,cfyyptjeil,-0.402
nzpqpmofkq,0.1105,bqjjkpnbae,937,0.147,tpvehvozef,hedzsjoffq
urbaayojok,fpctcjxifr,CaT,908,0.3455,cat,0.4755
cofmzccocc,661,llupdfjvog,wlwsowwbfz,-176,-0.282,-0.1955
DOg,-212,gbzxdltbiz,qbvcgwxfly,304,qdpxoctfpz,0.218
dog,-398,-0.2185,DOg,klegefdjcu,427,953
grnimdljxe,otwdovwbee,ugzsmyqxqq,0.104,eifqlnpdaa,948,mlpawbwxbl
uybxsdfqcn,96,zflxzfrsbh,evsfhiflnm,-0.2425,doG,984
-0.1425,aqgvglywgb,cAT,avkgnnegiy,0.163,cAt,-179
CaT,961,-0.4855,sakkpefvxs,-908,xnckouqpai,0.174
wetwcneiar,caT,qyqwigxxin,-0.244,0.3065,skwjsmoybw,DoG
-0.242,cat,omuenmipla,ttzfvbcdtq,DOG,-0.2045,-780
dOG,0.057,CaT,CaT,0.1345,dzyxtvaoiu,0.271
-0.2345,sxeiuxigaq,413,-499,-0.4035,0.1805,-0.08
-0.2655,-102,487,aysaaexhmh,-0.386,xbmiafytsj,-209
tbggqbvdku,-0.4535,0.3255,0.4795,-625,156,0.4945
dgjvoqekxn,vmxrqsudcc,zmzmdshdhi,-0.3755,622,552,153
qucziswkdq,dpmcerdpfu,-974,varpeslmsh,0.426,iepnabuykk,843
180,gqndpwqjxz,njghbqqkvw,mntuxqwqwe,CaT,defbvvjkns,-439
-587,0.115,DOG,-0.2065,64,361,nxflopbuxz
fqjnqjdmsr,26,781,dog,370,0.396,doG
0.153,494,klbotiqsep,-282,-0.4735,dhjhenlxlh,-192
225,0.0485,wguwvswmsn,789,-0.4905,708,xwxqblxtxy
-120,prztixnmsb,CAt,tuvlmkdjvy,Cat,0.455,cAt
DOG,cAT,kdnhztfxcc,-741,-931,-0.0985,ymrdtdcjtq
704,xqjjjnywvb,-0.212,942,0.431,0.4695,-0.172
-0.1205,-0.4725,-140,ceyetmrogc,pnysnvxrip,doG,-88
