bnwtpgiiev,drlvuvslpu,rhnjeosawx,dfghhlymoz,hlfcwspxoc,PeT,rzwkvjwkih
412,0.0925,xomgnqlrhu,315,doG,Dog,-554
0.1615,0.4605,-556,0.2505,cidxtwsgag,dOg,DOg
385,oavzoggkpy,0.1205,0.1315,-0.007,-0.492,jjmbbsxfkx
cat,0.033,cfztewzkcx,-0.406,226,doG,581
-299,caT,574,-0.0805,-886,cAT,-0.063
-0.3175,pfyivollkm,0.408,0.214,Dog,Dog,-565
0.4045,-0.151,DOg,-0.283,cAT,dOG,-0.307
ocwvuwmejk,tbpiyclvaz,stkehgulew,CaT,dOG,Dog,798
0.423,333,-0.084,596,cAT,doG,-559
wrfpmduxrc,-0.226,0.363,xoldaiivam,-148,DOg,0.1075
DoG,-0.4855,-917,0.269,ercyjezynz,cAt,-567
713,-0.334,yblcfnufos,zhoyioozod,cAT,DOg,260
960,-0.4115,-0.387,-856,430,cAT,rpqdxssbgc
0.4765,-0.1095,DOg,cnjkbaviym,0.2165,cat,0.125
xhfawvsunp,-0.4095,-0.4515,-708,itrsxgoift,Cat,755
bsrcytlfjn,-964,wxnopjwhvw,0.3375,doG,Dog,doG
-0.1045,-0.3365,iotrukxhuu,791,grlgrzhsrb,797,383
232,xmmhotlfrb,aoisazcaxm,-168,-0.1355,cat,-567
sjkhkshzhk,0.3945,-258,-0.0885,lzdukumxyk,CaT,-0.3065
caT,CaT,-0.107,-0.365,-0.144,DoG,dOg
orxzhmellp,-0.2785,fzdycgsooq,937,cat,DoG,-0.391
ekpzrajmuc,145,dgptjmtnxy,kcocfvexgz,0.0845,-0.371,oijdsmrvcp
0.177,nfgunnwxzv,0.4015,0.3705,doG,dOG,-744
ktmbnhncoa,iwegjxylnq,CaT,-0.3925,223,dog,81
0.2895,xqhyqbggvu,833,213,wlhhkzgycb,cAt,CaT
doG,-576,Cat,0.4465,keywuzdcae,CaT,kcixotvslw
-60,0.3155,njvnmtjyui,-0.346,811,Dog,CaT
dOg,-941,-0.2865,0.066,caT,Cat,-0.2565
zuppinyrpq,-63,966,cjnvskiecx,dOg,Dog,-821
-309,rjksqvpvfo,zugxvxyxtb,Dog,zeqyhvmmhb,DOG,ybeqooqxil
cAT,0.374,doG,cAt,dog,DoG,-0.354
Dog,0.3185,CAt,cAT,-0.003,dOG,485
-299,udkfszicyy,0.3505,pjqcswwbnk,kxxtebamde,filcsabzae,92
-0.2425,DOg,-880,-0.2815,0.2625,DOG,cat
