yynombbpkm,lbtxrvpbpk,wilzwutmjs,PeT,dqziynjjnk,loquzkuias
nygpryrbua,854,wcjprzxxds,DoG,fiddnrautw,0.3615
-161,uavktpniuj,CaT,doG,768,nuoszgasvs
Dog,0.0635,-208,inppmyjvvi,-0.476,791
0.225,220,Dog,CaT,-219,-0.335
finecjlvwp,-405,809,dOg,-387,-86
-0.1735,-780,322,caT,elmvfdhimu,-935
-0.012,527,vaoraxfhrp,997,DoG,Cat
xxsaqvvfuz,0.2855,0.1845,0.3845,doG,doG
fwppcpcvxj,jgvrfqvdio,210,-0.215,740,-151
Cat,amlgzphwgt,-0.147,dOG,855,523
-0.08,doG,-170,DOg,cxeqmdqjak,bxnamblnlv
keldsosghj,88,pylldewecv,dOG,lmyvpednvw,0.113
0.214,cAT,251,dog,-241,uxllhxlvvz
guiezydffs,612,-0.3245,0.0195,-0.221,-0.003
0.318,Dog,-0.2325,doG,doG,-525
mqpxvfehug,0.244,wcppojnpnm,DOg,-0.261,0.063
-256,tnwsqnlfqd,-0.074,doG,0.4835,0.19
446,zqtbqrrpli,0.2425,CAt,dOg,-368
-805,12,0.298,Dog,DOG,zfqxkptjdk
ghyzycktcn,ywuojdrdim,Dog,dog,926,740
244,DOG,kvxtfjlmkn,doG,gjzjdafhpu,925
-610,0.1655,-0.031,dOG,-819,0.287
-0.3215,148,379,DOG,-0.312,0.193
-752,sfdtjdbcky,-500,CAT,448,920
tzbtwjbdeo,-0.1475,964,dcckdzpcfe,0.4385,-0.3315
0.031,dog,0.4605,rflpmangmz,-0.475,-719
qotzeztnqv,721,-735,cAt,0.1765,-662
dqgbwtmmxm,-958,0.4695,caT,-0.4185,DOg
0.171,Dog,472,Dog,caT,892
xbctnaiupi,-154,effkftjild,CAt,0.422,dOg
-696,caT,DOG,Dog,-590,cAt
kogzlztaer,Dog,-524,dOg,yyrkygotez,crdfgyajmh
projsieweb,mmheqmhmwj,eokvcdxmrx,210,410,-10
-622,-256,Dog,DoG,-0.371,CAT
274,jyoflohhkf,nlauxjjtvt,rzxkcefqfq,hbadornvme,636
DOg,Cat,145,caT,-0.185,260
-0.4375,-0.069,-0.3125,doG,doG,-695
0.4065,cAT,-762,dOg,hdhmwxyzzb,cAt
DoG,0.245,0.475,dOG,iwaaeocqsp,-0.1405
175,tcpzwwhyot,caT,DOg,124,zcqqmpdocf
-0.4195,CAT,DoG,dOg,-645,caT
dOG,bztixcervu,cAt,CaT,-696,xlnuczlouv
-0.477,475,0.0915,Dog,-831,0.1415
cfhntfxuzp,0.23,-155,cat,0.289,-797
aiwdqvrxcf,0.2215,-171,qesejfulip,-0.264,0.36
-0.4285,118,viglzmaynp,Dog,-806,gymislteba
Dog,-0.1735,Dog,cAt,DOG,Dog
0.3355,904,0.104,DOG,jhwphpusld,-0.441
249,0.4235,766,Dog,382,dog
kjbhttibll,dOG,hntqjguidj,-424,-0.155,-0.2455
-0.0725,0.0665,CAt,DoG,boivxpwkij,Cat
-0.0295,0.2645,-0.396,dOG,-840,-0.47
