fdhwapfkjv,lkgbcqhflp,joaruwzdzx,pet,ttafvsslqk,szyhpmmggk,bncvmkfqfe
DOG,0.313,-951,-625,mettwhxzbg,jlkzwaddvk,doG
ugfsjofurm,DoG,xwubmsvgpd,204,kczidvtmtb,892,-37
264,CAT,-0.3055,dlwaylbxza,-780,0.3685,665
-556,CAt,-824,dOG,-557,xcnywpcucd,yedosqhcbo
xobygdukvw,cAt,doG,DoG,-670,-0.413,543
307,yhnozevefn,837,dog,-607,dodcktvoqp,0.338
qfrafkiydk,0.4385,0.2,CAT,0.178,-700,kztuqcvmul
doG,tnipzalula,-0.4715,-0.2615,ukdvpznxii,20,366
csaiwlkeod,0.2825,DoG,DoG,0.2535,235,-222
-173,Cat,744,Dog,-20,DOg,0.3555
238,CAt,cAt,ugiwoufnge,-186,-0.2015,-0.0985
-414,Cat,cAT,CAt,DOg,xafsdubomb,-58
npzogdzphi,226,0.02,DOG,oldwcadadh,625,doG
abmfvjmwqp,rqqtxxrbsi,0.0975,-0.432,cAT,0.018,-0.5
-0.2395,qqgkwsxjya,DoG,972,-0.0505,-852,gzkgkhyufz
lrkhtpqrtj,-0.3535,cAt,CAT,spwndfkhkc,-176,DoG
-859,nnqlcognjb,acmenxvypg,CAT,78,DOg,0.3035
owqjiijlxu,njgysynywv,-95,Cat,izuxjfasnv,-821,76
0.3905,-770,dhqlvidunr,cAT,CaT,dog,dismjnhypx
CAT,-779,-0.123,-347,krqdwqwhie,yklltbvitu,DoG
Dog,Cat,pyqlrmxeij,dOg,qxhljvvcsh,-111,-496
907,883,-201,-961,-749,0.0305,-291
cdqegzewrh,dog,-712,dOG,626,-0.2415,-475
rclekvuopt,CaT,0.2835,dog,womczwvtmy,DOG,CaT
vgmmppdusy,-0.0455,-0.294,Dog,CAT,kxplpyhxmi,-0.019
0.1455,141,dOg,dOG,doG,-0.369,-0.095
0.442,qsxcoctwmv,172,CAT,293,0.287,-991
0.1635,dog,0.07,CaT,vmatgdwhqt,mwvnbekvlt,cawscimpaf
dabafubtsg,-441,0.281,CAT,786,-44,0.172
-0.483,0.245,caT,0.0505,356,fhsqohkrtm,dwhakzjnmf
gibplwlnzr,inikrfshtp,hqgusfjafd,cat,ssymrywivc,-885,ioyvfbrskp
kxbwmmnmua,-815,-0.0495,xuwtonzmst,fbxdnjatqw,qpbuayoxqj,lzeadxbylx
kkkmtobgcr,-268,Cat,dog,-996,tswxgpxbox,-0.1165
cAT,180,doG,Dog,zjgzcfwxmz,99,659
DOG,-0.4345,rjfnncxozc,cat,CaT,oyisrqwitg,0.239
782,DoG,823,CaT,0.0795,-0.086,CAt
cAT,cwvifdhnci,arjyutfrfu,CAT,-652,-0.3885,lqklszcbbb
lgzvuklhgv,0.24,wcisusatil,cAt,0.469,-732,hdcimiwenb
dOg,-0.4335,0.262,ubqlgelbzp,yjzmuzveba,DOG,-0.381
craaylvhsn,vxhcxavgwo,dog,dOg,dOg,911,-882
bpwobutmzx,tomhziuuip,-0.2095,Dog,cAt,-0.2605,hkciuibtte
cAT,858,CAt,-0.197,-0.434,0.229,-952
949,kvoyfjzfdb,lgvjgjeuqv,cxwdygwkmv,eekyrnugra,0.166,263
0.304,ecnvsladiy,caT,DoG,ovidobhwdv,bprgcjjgxc,939
iygbqdialc,65,CaT,cAt,jptzrfcplb,llhpybvqwr,ibhqxdbsrb
