bqwdbvewll,mihnzwoweo,fihahztvse,rdjowpdbrq,kniclnhvyh,eagqubwyyc,toakkyrxto
cat,oucfcqcfcj,eknekzlgan,0.27,-563,0.079,vkkyuikxir
0.4255,tafcazxcph,fegujsscvd,Cat,-253,561,-365
0.27,0.225,Dog,-0.1085,0.271,0.191,823
0.2775,-0.0325,0.01,-0.021,dog,guetvzrocj,-109
lvyibbyluc,715,133,-54,kkzelmvhxh,-567,vyqvzgnfzg
-0.235,pjyvyvpiyn,wqgutrdbiq,lwzwipxsdu,884,xhqmhuremj,323
mcekgmbenz,pwfxfkitwt,-0.349,CAt,206,xluvlbubym,bgszypgtvi
0.1645,0.4825,0.106,fuftjvxdrr,-0.29,-437,-853
-936,binvvhprxi,-618,utggazmlan,DOG,lgftyusmop,jwrbpinlxr
caT,hquiocaaje,DOG,odvnbcrgfa,rlmwtukitf,mcsjxftqwu,bfkzvzbyno
poumhlanqu,Cat,-794,602,doG,570,0.38
140,217,-0.14,cAt,-805,-141,0.0515
mtaohytqti,bmjpxplots,0.0225,kxmnapgeus,513,pthzzjiair,zqzoxctvum
0.2965,dzwcyzpqfr,195,urzyatbumi,-245,cat,-0.2495
sitxefbzas,jxsnatnhvu,CAT,caT,0.1105,0.429,-0.232
-430,-0.233,-889,cat,caT,0.2335,CAT
-0.1915,-800,0.019,Cat,Cat,36,CaT
CaT,-848,dog,oyfkzattut,-267,wkjksyjeid,dog
cAT,swhkndcqnm,hzjgjhjuyw,-0.0265,vkhmqnlpso,uauanfpfpn,0.0315
-949,236,943,vdmwfiqufy,nwynreulhd,zlsqnqvuom,412
csdhxcrbps,exuuqzzlad,729,umqinpwdhw,riexpqvspk,dOG,-34
hwmfmxrokl,dOG,-858,CaT,-0.1045,sgfinpragv,DOg
mpujtezmuc,dog,-0.071,200,-0.337,nufvdtyrkr,DOG
jvgsichred,-0.3845,cAt,-499,-0.449,dOg,-0.4855
tffxanfuvl,dog,-128,427,vsyotoqhrs,-487,bptdvjobqx
whnruqipij,143,rubcwdtjll,-0.2705,0.1595,906,nxrxcfjnzi
-946,327,526,0.107,doG,-0.2315,cAt
ftijfqlrog,doG,pzqmruqkqv,mlqyyxbojv,Dog,Cat,dog
