pfxoycynay,xevoylssuy,klpnxijlvs,pxligvaqca,rkhkqcdwja,cvbwvfbfir,etrftybovz
608,ffdfgpgpoa,jrjuorcajt,-0.1475,0.21,nfrhyhmyok,CaT
gkhsfhvbtd,47,-0.4885,dxxrsfwwfl,-3,-0.0425,lbrmolrobx
-0.15,doG,0.151,teizjpekjk,44,-455,pqonpwkpre
uugcsldmxo,-0.4075,-320,0.4945,DoG,DOg,863
doG,0.495,cAT,0.4465,cAt,dOG,0.4515
dOG,nftwwxmqdc,wrrbqxmerl,447,-0.094,ixnsweticg,oumgznktmq
323,0.051,DOg,-484,caT,dcdyauiygb,DoG
ifbtccfeoz,-216,uyjfhlzmrk,-140,473,0.0515,699
934,0.2185,-311,cat,0.249,CAt,DOg
kkcetzobwc,178,ugvfpbiqyb,mqlhlhvndw,-363,0.1355,cqlmaigneh
0.2835,922,-931,mbhmhqmbwe,yjryfdlzdf,0.4755,-395
pvzdbbexru,DoG,-0.006,lomuyidfhm,-0.302,ymwmyyhrsr,207
588,ucgsfynnfe,fqzqaoqtfi,cAT,Cat,-0.0625,payilvbxkm
dog,950,-0.2145,fxdqylfkxr,cAt,azgffcidwp,-0.266
-980,-0.2515,yfydhgkzer,0.0965,cAT,-0.244,730
-0.314,-0.225,-0.159,evlqngwmny,-0.4635,CaT,CaT
nresnhhibn,-0.2265,-0.016,favufrsatd,-0.3865,802,lpifvmkoyb
dog,xamvzpsmjx,409,-0.236,lqqzwdcian,0.2155,DOg
wndqwdffjd,dog,-0.06,0.268,-859,ntibsujjlh,bkhkddegcs
Dog,0.347,0.2105,16,0.402,0.1715,0.391
487,0.031,-284,hwzkwqibzp,0.2095,sylnkoombk,0.497
-0.2505,235,-868,-0.1495,-648,431,soqvrnzses
954,cAT,awtodrzkmd,850,348,DoG,CAT
-0.386,cjfyltsurg,CAT,818,Dog,0.426,jrredzretn
-610,DOg,-0.4965,ljixlrcknd,DOG,Cat,-111
sliupgvgzz,cAT,350,-395,cAT,0.3835,-128
qcwwmqtjfc,cAt,0.28,-0.1565,0.1415,933,159
vksxqqlnup,246,daujwcdvib,-0.118,luhdvquegn,825,jvxmdedgiy
bjsfcfpnds,iwicagwvfr,-185,-0.4915,-0.445,ubkpffvkba,juwfnuwkdj
89,-469,0.4445,823,60,ugdkxvloqn,0.2685
801,caT,67,jlnqnbrwyy,836,luqqczdcpb,qkzgviaqhh
abvqvfzaqp,nqxysinnme,jenzymthnx,0.11,fiedvehyjz,-178,0.202
DoG,-244,flrlzczwbm,Dog,166,-896,0.0335
-0.433,caT,udmezcybzr,0.1185,DOG,-0.1925,caT
-427,-0.487,cAT,dmonorzkdy,cAT,Cat,xysuhbolgz
-486,dnhopeejlb,88,728,0.318,823,0.0955
dstczmdsqm,-780,0.317,dhxxwjfakf,jqdhxmspkf,owcjvfxyyn,lxpfxmdjxh
-148,-0.044,yhmggwdbzz,0.411,vhcsuhqqyg,0.1355,jzvzykbxde
dog,-0.15,xbxczqiunn,-971,dOg,-985,xbmalnvfxe
-0.134,0.452,-477,somqhkedhl,xwxuasgxya,qnapuejjai,bsizkmywmw
zbuuzmahfc,-0.4405,-494,583,veankqlett,doG,-490
515,dOG,qvvfohtjgn,cvhkrquesn,-80,lfhmtnqbyz,207
ifurkkpchf,myynjysvge,doG,-0.395,177,0.028,CaT
cAT,-836,grdjlijtmp,Dog,-0.4555,0.47,CAT
caT,0.485,-268,0.0375,389,443,amtaunvzmo
673,etiugmnsyk,-661,Cat,fhmjlpatdc,kpyhswxyky,-941
-552,aceuyynxfh,0.4815,ydhrtwshpj,-0.0465,-0.443,DoG
dog,0.4715,lgyxgrwdvf,0.371,knbdmydttr,sbrygjudto,-0.3025
-0.2645,0.0785,horpjhnqnq,206,cAt,-0.105,joqhbohvbt
-0.389,348,-0.0455,Cat,-168,CAt,nfvpdvqcdj
-136,0.3615,dfhyvnxbbb,CAt,0.418,712,-460
-0.4425,-0.089,-0.121,ghegvrdzfa,CAt,dkqlpcanbj,715
