Pet,bfnbdesubp,jyueaafugq,lgyudmtqag,pmlpfuqgrz,uyqwekzspr,krlqolwhfi
nfdtoolyfj,-0.448,-632,-0.362,0.0905,0.076,qcskvkvens
Cat,0.3525,dieacgtunp,yuptbvpxuz,759,xzaeqjfdtm,980
caT,pbttgsacvv,nmfgngeyne,xpqktqmveu,0.072,lzpthczhth,0.4455
cAT,dOg,CAT,645,-0.4555,dOg,161
DOg,552,997,wcvrscianb,cAt,-0.174,-0.1015
doG,-472,Dog,0.458,-0.4255,805,boctltyrhf
doG,dOg,-151,btacxpuvsu,zgtladoumg,-5,-137
DOG,-652,ryvmaqgxxb,CAT,qhnsljgvng,hvplkhxjut,petyyakdle
Cat,kmwhtsytke,cAt,-0.201,gvioklszcv,CAt,-797
CAt,CAT,CAt,971,-993,-0.0565,vxarwvvtcf
992,cat,0.433,dog,0.3,nrkfifdtcp,-0.2855
DoG,luhbvnddhv,854,0.4325,doG,flpoeshnuu,-934
DOG,-0.466,dxzwfuerhm,-886,umadsqffkd,0.465,DoG
dog,374,-865,dOG,-0.0735,0.134,-735
dog,976,lifvmzqcvx,caT,aheihcfemf,0.4935,-0.4215
DoG,gcvzmewnru,0.0355,DOG,0.4125,tpzxtaoljh,DOG
0.1905,DoG,doG,byqbcozbyb,nvyjvsmvnq,0.4805,caT
caT,DOG,0.16,-0.245,dOg,-0.2285,707
0.315,-0.2295,-380,-946,-0.4555,ejtumnnvtv,snkachruqz
DOG,hdristbchw,zrzxfqqtpa,xsmdcsfkve,0.2765,romtqxjlye,-0.1615
cat,534,dog,-634,tkrpemfflj,wltlgmcdzm,485
0.4015,cAt,txjspfcpxr,caT,jxfzshhhcu,loqtpzgjfm,fzfnvtlbek
CaT,851,-603,0.279,doG,-0.0495,dog
caT,oybcnpswdq,kxtujvslmq,vunklvapez,0.063,wusvzhbjcr,521
Cat,ewkjzznvpl,CaT,cAT,hphlgovqtf,njdxdanwzs,cAt
dog,-0.0135,0.371,qyegtrvcmp,CAT,669,evhtkplkhz
-0.1465,0.4915,cat,-73,caT,CAt,-0.4975
CAT,iktccovqbq,-388,-987,Dog,caT,-620
dOG,-738,-470,doG,-459,dOg,ynygtkikul
CAt,nofzhjumuc,zsrantxfmp,vgejzdpiad,-0.0225,diosretvdx,DOG
caT,-0.4555,liyjqcmwbq,onhxagdjwh,dOg,DoG,-948
flqwdwosbu,0.07,-424,-0.298,0.451,-226,253
CAT,-0.173,dog,Dog,489,mwxtellcpe,-61
CaT,0.4735,0.309,492,-0.236,-0.029,CAT
cAt,-685,DOg,tbsvxkabcm,-857,-0.3305,mhiwrkqhuh
DOG,-240,0.1355,cAt,-0.457,0.336,bxbmroprrj
dOg,nafodpoivj,lrcwrowxps,dOG,kgmlaronkh,Cat,ibuzeilyny
